Package,Module,Class,Function,LOC,CC,PC
inferno-pytorch_inferno.docs,conf,Mock,__getattr__,2,1,2
inferno-pytorch_inferno.examples,plot_cheap_unet,CheapConv,__init__,14,2,3
inferno-pytorch_inferno.examples,plot_cheap_unet,CheapConv,forward,5,1,1
inferno-pytorch_inferno.examples,plot_cheap_unet,CheapConvBlock,__init__,12,2,3
inferno-pytorch_inferno.examples,plot_cheap_unet,CheapConvBlock,forward,10,3,1
inferno-pytorch_inferno.examples,plot_cheap_unet,MySimple2DCpUnet,__init__,3,1,4
inferno-pytorch_inferno.examples,plot_cheap_unet,MySimple2DCpUnet,conv_op_factory,3,2,4
inferno-pytorch_inferno.examples,plot_cheap_unet,,label_transform,2,1,1
inferno-pytorch_inferno.examples,plot_cheap_unet,,train_model,11,2,2
inferno-pytorch_inferno.examples,plot_cheap_unet,,predict,34,3,3
inferno-pytorch_inferno.examples,plot_train_side_loss_unet,MySideLossUNet,__init__,27,3,3
inferno-pytorch_inferno.examples,plot_train_side_loss_unet,MySideLossUNet,forward,10,2,1
inferno-pytorch_inferno.examples,plot_train_side_loss_unet,MySideLoss,__init__,5,1,0
inferno-pytorch_inferno.examples,plot_train_side_loss_unet,MySideLoss,forward,11,3,2
inferno-pytorch_inferno.examples,plot_unet_tutorial,MySimple2DUnet,__init__,3,1,3
inferno-pytorch_inferno.examples,plot_unet_tutorial,MySimple2DUnet,conv_op_factory,25,2,4
inferno-pytorch_inferno.examples,plot_unet_tutorial,MySimple2DUnet,downsample_op_factory,2,1,1
inferno-pytorch_inferno.examples,plot_unet_tutorial,MySimple2DUnet,upsample_op_factory,2,1,1
inferno-pytorch_inferno.examples,plot_unet_tutorial,,label_transform,2,1,1
inferno-pytorch_inferno.examples,plot_unet_tutorial,,train_model,11,2,2
inferno-pytorch_inferno.examples,plot_unet_tutorial,,predict,34,3,3
inferno-pytorch_inferno.examples,regularized_mnist,RegularizedLinear,__init__,5,1,0
inferno-pytorch_inferno.examples,regularized_mnist,RegularizedLinear,forward,5,1,1
inferno-pytorch_inferno.examples,regularized_mnist,,model_fn,9,1,0
inferno-pytorch_inferno.examples,regularized_mnist,,mnist_data_loaders,16,1,1
inferno-pytorch_inferno.examples,regularized_mnist,,train_model,26,2,1
