Package,Module,Class,Smell,Function/Method,Line no,File,Details
interpretml_interpret-text.notebooks.test_utils,utils_data_shared,,Complex method,maybe_download,23 - 65,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_data_shared.py,"Method 'maybe_download' has a cyclomatic complexity of 7, exceeding the max of 6."
interpretml_interpret-text.notebooks.test_utils,utils_data_shared,,Long statement,maybe_download,24,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_data_shared.py,A line with 505 chars in maybe_download exceeds the maximum length of 120 characters.
interpretml_interpret-text.notebooks.test_utils,utils_data_shared,,Long statement,extract_zip,69,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_data_shared.py,A line with 289 chars in extract_zip exceeds the maximum length of 120 characters.
interpretml_interpret-text.notebooks.test_utils,utils_data_shared,,Long statement,download_and_unzip,86,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_data_shared.py,A line with 407 chars in download_and_unzip exceeds the maximum length of 120 characters.
interpretml_interpret-text.notebooks.test_utils,utils_data_shared,,Long statement,load_glove_embeddings,109,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_data_shared.py,A line with 296 chars in load_glove_embeddings exceeds the maximum length of 120 characters.
interpretml_interpret-text.notebooks.test_utils,utils_data_shared,,Magic number,maybe_download,46,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_data_shared.py,Magic number 1024 used in maybe_download.
interpretml_interpret-text.notebooks.test_utils,utils_mnli,,Long statement,download_file_and_extract,28,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_mnli.py,A line with 269 chars in download_file_and_extract exceeds the maximum length of 120 characters.
interpretml_interpret-text.notebooks.test_utils,utils_mnli,,Long statement,load_mnli_pandas_df,43,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_mnli.py,A line with 434 chars in load_mnli_pandas_df exceeds the maximum length of 120 characters.
interpretml_interpret-text.notebooks.test_utils,utils_mnli,,Long statement,,8,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_mnli.py,A line with 157 chars in utils_mnli exceeds the maximum length of 120 characters.
interpretml_interpret-text.notebooks.test_utils,utils_sst2,,Long statement,load_sst2_pandas_df,22,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_sst2.py,A line with 437 chars in load_sst2_pandas_df exceeds the maximum length of 120 characters.
interpretml_interpret-text.notebooks.test_utils,utils_sst2,,Long statement,load_data,44,/Volumes/BrokeExt/NICHE/interpretml_interpret-text/notebooks/test_utils/utils_sst2.py,A line with 239 chars in load_data exceeds the maximum length of 120 characters.
