Package,Module,Class,Function,LOC,CC,PC
jettify_pytorch-optimizer,setup,,_read,3,1,1
jettify_pytorch-optimizer,setup,,_read_version,13,3,0
jettify_pytorch-optimizer.examples,mnist,Net,__init__,8,1,0
jettify_pytorch-optimizer.examples,mnist,Net,forward,13,1,1
jettify_pytorch-optimizer.examples,mnist,Config,__init__,9,1,8
jettify_pytorch-optimizer.examples,mnist,,train,22,3,7
jettify_pytorch-optimizer.examples,mnist,,test,25,2,6
jettify_pytorch-optimizer.examples,mnist,,prepare_loaders,34,1,2
jettify_pytorch-optimizer.examples,mnist,,main,28,4,0
jettify_pytorch-optimizer.examples,viz_optimizers,,rosenbrock,3,1,1
jettify_pytorch-optimizer.examples,viz_optimizers,,rastrigin,9,1,2
jettify_pytorch-optimizer.examples,viz_optimizers,,execute_steps,14,2,5
jettify_pytorch-optimizer.examples,viz_optimizers,,objective_rastrigin,11,1,1
jettify_pytorch-optimizer.examples,viz_optimizers,,objective_rosenbrok,11,1,1
jettify_pytorch-optimizer.examples,viz_optimizers,,plot_rastrigin,18,1,3
jettify_pytorch-optimizer.examples,viz_optimizers,,plot_rosenbrok,18,1,3
jettify_pytorch-optimizer.examples,viz_optimizers,,execute_experiments,25,2,6
jettify_pytorch-optimizer.examples,viz_optimizers,,LookaheadYogi,3,1,0
jettify_pytorch-optimizer.tests,test_basic,,rosenbrock,3,1,1
jettify_pytorch-optimizer.tests,test_basic,,quadratic,5,1,1
jettify_pytorch-optimizer.tests,test_basic,,beale,8,1,1
jettify_pytorch-optimizer.tests,test_basic,,ids,3,1,1
jettify_pytorch-optimizer.tests,test_basic,,build_lookahead,3,1,0
jettify_pytorch-optimizer.tests,test_basic,,test_benchmark_function,14,2,2
jettify_pytorch-optimizer.tests,test_optimizer,TestOptim,_test_basic_cases_template,31,7,5
jettify_pytorch-optimizer.tests,test_optimizer,TestOptim,_test_state_dict,49,3,4
jettify_pytorch-optimizer.tests,test_optimizer,TestOptim,_test_basic_cases,38,4,3
jettify_pytorch-optimizer.tests,test_optimizer,TestOptim,test_optimizer,2,1,1
jettify_pytorch-optimizer.tests,test_optimizer,,assert_dict_equal,14,9,3
jettify_pytorch-optimizer.tests,test_optimizer,,_build_params_dict,2,1,2
jettify_pytorch-optimizer.tests,test_optimizer,,_build_params_dict_single,2,1,2
