Package,Module,Class,Function,LOC,CC,PC
junyanz_pytorch-CycleGAN-and-pix2pix.data,__init__,CustomDatasetDataLoader,__init__,11,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,__init__,CustomDatasetDataLoader,load_data,2,1,0
junyanz_pytorch-CycleGAN-and-pix2pix.data,__init__,CustomDatasetDataLoader,__len__,2,1,0
junyanz_pytorch-CycleGAN-and-pix2pix.data,__init__,CustomDatasetDataLoader,__iter__,5,3,0
junyanz_pytorch-CycleGAN-and-pix2pix.data,__init__,,find_dataset_using_name,13,5,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,__init__,,get_option_setter,3,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,__init__,,create_dataset,5,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,aligned_dataset,AlignedDataset,__init__,8,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,aligned_dataset,AlignedDataset,__getitem__,14,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,aligned_dataset,AlignedDataset,__len__,2,1,0
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,BaseDataset,__init__,4,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,BaseDataset,modify_commandline_options,3,1,2
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,BaseDataset,__len__,2,1,0
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,BaseDataset,__getitem__,3,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,,get_params,13,3,2
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,,get_transform,28,12,5
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,,__transforms2pil_resize,6,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,,__make_power_2,9,2,3
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,,__scale_width,8,2,4
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,,__crop,7,2,3
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,,__flip,4,1,2
junyanz_pytorch-CycleGAN-and-pix2pix.data,base_dataset,,__print_size_warning,7,2,4
junyanz_pytorch-CycleGAN-and-pix2pix.data,colorization_dataset,ColorizationDataset,modify_commandline_options,4,1,2
junyanz_pytorch-CycleGAN-and-pix2pix.data,colorization_dataset,ColorizationDataset,__init__,7,2,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,colorization_dataset,ColorizationDataset,__getitem__,11,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,colorization_dataset,ColorizationDataset,__len__,2,1,0
junyanz_pytorch-CycleGAN-and-pix2pix.data,image_folder,ImageFolder,__init__,10,2,4
junyanz_pytorch-CycleGAN-and-pix2pix.data,image_folder,ImageFolder,__getitem__,9,2,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,image_folder,ImageFolder,__len__,2,1,0
junyanz_pytorch-CycleGAN-and-pix2pix.data,image_folder,,is_image_file,2,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,image_folder,,make_dataset,9,4,2
junyanz_pytorch-CycleGAN-and-pix2pix.data,image_folder,,default_loader,2,1,1
junyanz_pytorch-CycleGAN-and-pix2pix.data,single_dataset,SingleDataset,__init__,6,1,1
