Package,Module,Class,Smell,Function/Method,Line no,File,Details
kaushaltrivedi_fast-bert,setup,,Long statement,,14,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/setup.py,A line with 705 chars in setup exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert,download_pretrained_models,,Long statement,main,24,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/download_pretrained_models.py,A line with 139 chars in main exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert,predictor,ScoringService,Long message chain,predict_batch,80,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: output_labels_count = int(os.environ.get('OUTPUT_LABELS_COUNT', len(predictor_model.learner.data.labels)))."
kaushaltrivedi_fast-bert.container.bert,predictor,,Long method,transformation,147 - 197,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,Method 'transformation' is too long (48 lines).
kaushaltrivedi_fast-bert.container.bert,predictor,,Long statement,ping,124,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,A line with 144 chars in ping exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert,predictor,,Long statement,transformation,148,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,A line with 281 chars in transformation exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert,predictor,ScoringService,Long statement,get_predictor_model,46,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,A line with 226 chars in get_predictor_model exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert,predictor,ScoringService,Long statement,predict,59,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,A line with 220 chars in predict exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert,predictor,ScoringService,Long statement,predict_batch,73,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,A line with 220 chars in predict_batch exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert,predictor,,Magic number,ping,130,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,Magic number 200 used in ping.
kaushaltrivedi_fast-bert.container.bert,predictor,,Magic number,ping,130,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,Magic number 404 used in ping.
kaushaltrivedi_fast-bert.container.bert,predictor,,Magic number,get_execution_parameters,137,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,Magic number 3 used in get_execution_parameters.
kaushaltrivedi_fast-bert.container.bert,predictor,,Magic number,get_execution_parameters,139,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert/predictor.py,Magic number 6 used in get_execution_parameters.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,ScoringService,Long message chain,predict_batch,80,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,"A long message chain has 4 attributes/calls chained together, more than the recommended 3 in the following statement: output_labels_count = int(os.environ.get('OUTPUT_LABELS_COUNT', len(predictor_model.learner.data.labels)))."
kaushaltrivedi_fast-bert.container.bert_batch,predictor,,Long method,transformation,147 - 197,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,Method 'transformation' is too long (48 lines).
kaushaltrivedi_fast-bert.container.bert_batch,predictor,,Long statement,ping,124,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,A line with 144 chars in ping exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,,Long statement,transformation,148,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,A line with 281 chars in transformation exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,ScoringService,Long statement,get_predictor_model,46,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,A line with 226 chars in get_predictor_model exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,ScoringService,Long statement,predict,59,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,A line with 220 chars in predict exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,ScoringService,Long statement,predict_batch,73,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,A line with 220 chars in predict_batch exceeds the maximum length of 120 characters.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,,Magic number,ping,130,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,Magic number 200 used in ping.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,,Magic number,ping,130,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,Magic number 404 used in ping.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,,Magic number,get_execution_parameters,137,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,Magic number 3 used in get_execution_parameters.
kaushaltrivedi_fast-bert.container.bert_batch,predictor,,Magic number,get_execution_parameters,139,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container/bert_batch/predictor.py,Magic number 6 used in get_execution_parameters.
kaushaltrivedi_fast-bert.container_lm.bert,download_pretrained_models,,Complex method,download_pretrained_files,150 - 211,/Volumes/BrokeExt/NICHE/kaushaltrivedi_fast-bert/container_lm/bert/download_pretrained_models.py,"Method 'download_pretrained_files' has a cyclomatic complexity of 10, exceeding the max of 6."
