Package,Module,Class,Smell,Function/Method,Line no,File,Details
keiohta_tf2rl,setup,,Long statement,,51,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/setup.py,A line with 302 chars in setup exceeds the maximum length of 120 characters.
keiohta_tf2rl.examples,run_apex_ddpg,,Long statement,policy_fn,18,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_apex_ddpg.py,A line with 298 chars in policy_fn exceeds the maximum length of 120 characters.
keiohta_tf2rl.examples,run_apex_ddpg,,Magic number,policy_fn,17,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_apex_ddpg.py,Magic number 0.3 used in policy_fn.
keiohta_tf2rl.examples,run_apex_dqn,policy_fn,Long parameter list,__init__,20 - 28,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_apex_dqn.py,"__init__ has 7 parameters, exceeding the max of 5."
keiohta_tf2rl.examples,run_apex_dqn,policy_fn,Long statement,__call__,32,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_apex_dqn.py,A line with 535 chars in __call__ exceeds the maximum length of 120 characters.
keiohta_tf2rl.examples,run_apex_dqn,,Long statement,,92,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_apex_dqn.py,A line with 161 chars in run_apex_dqn exceeds the maximum length of 120 characters.
keiohta_tf2rl.examples,run_apex_dqn,policy_fn,Magic number,__call__,31,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_apex_dqn.py,Magic number 0.3 used in __call__.
keiohta_tf2rl.examples,run_bi_res_ddpg,,Long statement,,15,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_bi_res_ddpg.py,A line with 253 chars in run_bi_res_ddpg exceeds the maximum length of 120 characters.
keiohta_tf2rl.examples,run_categorical_dqn,,Long statement,,19,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_categorical_dqn.py,A line with 369 chars in run_categorical_dqn exceeds the maximum length of 120 characters.
keiohta_tf2rl.examples,run_curl,,Long method,main,8 - 78,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_curl.py,Method 'main' is too long (63 lines).
keiohta_tf2rl.examples,run_curl,,Long statement,main,35,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_curl.py,A line with 262 chars in main exceeds the maximum length of 120 characters.
keiohta_tf2rl.examples,run_curl,,Long statement,main,56,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_curl.py,A line with 400 chars in main exceeds the maximum length of 120 characters.
keiohta_tf2rl.examples,run_curl,,Magic number,main,31,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_curl.py,Magic number 100 used in main.
keiohta_tf2rl.examples,run_curl,,Magic number,main,31,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_curl.py,Magic number 100 used in main.
keiohta_tf2rl.examples,run_curl,,Magic number,main,31,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_curl.py,Magic number 9 used in main.
keiohta_tf2rl.examples,run_curl,,Magic number,main,32,/Volumes/BrokeExt/NICHE/keiohta_tf2rl/examples/run_curl.py,Magic number 84 used in main.
