Package,Module,Class,Smell,Function/Method,Line no,File,Details
keras-team_keras-tuner,pip_build,,Complex method,build,22 - 74,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/pip_build.py,"Method 'build' has a cyclomatic complexity of 8, exceeding the max of 6."
keras-team_keras-tuner,pip_build,,Long method,build,22 - 74,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/pip_build.py,Method 'build' is too long (52 lines).
keras-team_keras-tuner,setup,,Long statement,,45,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/setup.py,A line with 1188 chars in setup exceeds the maximum length of 120 characters.
keras-team_keras-tuner.keras_tuner,api_export,,Long statement,,20,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/api_export.py,A line with 306 chars in api_export exceeds the maximum length of 120 characters.
keras-team_keras-tuner.keras_tuner,utils,,Long statement,save_json,82,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/utils.py,A line with 221 chars in save_json exceeds the maximum length of 120 characters.
keras-team_keras-tuner.keras_tuner,utils,,Long statement,load_json,98,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/utils.py,A line with 133 chars in load_json exceeds the maximum length of 120 characters.
keras-team_keras-tuner.keras_tuner,utils_test,,Long identifier,test_to_list_with_tuple_return_list,19,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/utils_test.py,Identifier'test_to_list_with_tuple_return_list' exceeds the maximum length of 30 characters.
keras-team_keras-tuner.keras_tuner,utils_test,,Long identifier,test_create_directory_and_remove_existing,32,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/utils_test.py,Identifier'test_create_directory_and_remove_existing' exceeds the maximum length of 30 characters.
keras-team_keras-tuner.keras_tuner,utils_test,,Magic number,test_to_list_with_tuple_return_list,22,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/utils_test.py,Magic number 2 used in test_to_list_with_tuple_return_list.
keras-team_keras-tuner.keras_tuner,utils_test,,Magic number,test_to_list_with_tuple_return_list,22,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/utils_test.py,Magic number 3 used in test_to_list_with_tuple_return_list.
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Complex method,__init__,155 - 204,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,"Method '__init__' has a cyclomatic complexity of 7, exceeding the max of 6."
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Long parameter list,__init__,155 - 204,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,"__init__ has 7 parameters, exceeding the max of 5."
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Long statement,_build_randaug_layers,223,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,A line with 124 chars in _build_randaug_layers exceeds the maximum length of 120 characters.
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Long statement,_register_transform,258,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,A line with 542 chars in _register_transform exceeds the maximum length of 120 characters.
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Magic number,__init__,159,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,Magic number 0.5 used in __init__.
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Magic number,__init__,160,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,Magic number 0.4 used in __init__.
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Magic number,__init__,161,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,Magic number 0.4 used in __init__.
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Magic number,__init__,162,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,Magic number 0.3 used in __init__.
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Magic number,__init__,163,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,Magic number 3 used in __init__.
keras-team_keras-tuner.keras_tuner.applications,augment,HyperImageAugment,Magic number,_register_transform,274,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment.py,Magic number 2 used in _register_transform.
keras-team_keras-tuner.keras_tuner.applications,augment_test,,Long identifier,test_model_construction_factor_zero,64,/Volumes/BrokeExt/NICHE/keras-team_keras-tuner/keras_tuner/applications/augment_test.py,Identifier'test_model_construction_factor_zero' exceeds the maximum length of 30 characters.
