Package,Module,Class,Function,LOC,CC,PC
keunwoochoi_kapre.docs,conf,,setup,2,1,1
keunwoochoi_kapre.kapre,augmentation,ChannelSwap,__init__,7,2,1
keunwoochoi_kapre.kapre,augmentation,ChannelSwap,call,19,3,2
keunwoochoi_kapre.kapre,augmentation,ChannelSwap,get_config,8,1,0
keunwoochoi_kapre.kapre,augmentation,SpecAugment,__init__,14,3,6
keunwoochoi_kapre.kapre,augmentation,SpecAugment,_generate_axis_mask,7,1,1
keunwoochoi_kapre.kapre,augmentation,SpecAugment,_apply_masks_to_axis,30,5,4
keunwoochoi_kapre.kapre,augmentation,SpecAugment,_apply_spec_augment,16,4,1
keunwoochoi_kapre.kapre,augmentation,SpecAugment,call,15,3,2
keunwoochoi_kapre.kapre,augmentation,SpecAugment,get_config,13,1,0
keunwoochoi_kapre.kapre,backend,,get_window_fn,26,5,1
keunwoochoi_kapre.kapre,backend,,validate_data_format_str,8,2,1
keunwoochoi_kapre.kapre,backend,,magnitude_to_decibel,18,2,4
keunwoochoi_kapre.kapre,backend,,filterbank_mel,12,1,7
keunwoochoi_kapre.kapre,backend,,filterbank_log,28,4,6
keunwoochoi_kapre.kapre,backend,,mu_law_encoding,6,1,2
keunwoochoi_kapre.kapre,backend,,mu_law_decoding,9,1,2
keunwoochoi_kapre.kapre,composed,,get_stft_magnitude_layer,27,3,14
keunwoochoi_kapre.kapre,composed,,get_melspectrogram_layer,39,3,20
keunwoochoi_kapre.kapre,composed,,get_log_frequency_spectrogram_layer,46,3,19
keunwoochoi_kapre.kapre,composed,,get_perfectly_reconstructing_stft_istft,43,6,10
keunwoochoi_kapre.kapre,composed,,get_stft_mag_phase,31,2,14
keunwoochoi_kapre.kapre,composed,,get_frequency_aware_conv2d,13,6,2
keunwoochoi_kapre.kapre,signal,Frame,__init__,15,3,5
keunwoochoi_kapre.kapre,signal,Frame,call,11,1,1
keunwoochoi_kapre.kapre,signal,Frame,get_config,12,1,0
keunwoochoi_kapre.kapre,signal,Energy,__init__,17,3,7
keunwoochoi_kapre.kapre,signal,Energy,call,18,1,1
keunwoochoi_kapre.kapre,signal,Energy,get_config,12,1,0
keunwoochoi_kapre.kapre,signal,MuLawEncoding,__init__,3,1,1
keunwoochoi_kapre.kapre,signal,MuLawEncoding,call,5,1,1
keunwoochoi_kapre.kapre,signal,MuLawEncoding,get_config,8,1,0
keunwoochoi_kapre.kapre,signal,MuLawDecoding,__init__,3,1,1
keunwoochoi_kapre.kapre,signal,MuLawDecoding,call,5,1,1
keunwoochoi_kapre.kapre,signal,MuLawDecoding,get_config,8,1,0
keunwoochoi_kapre.kapre,signal,LogmelToMFCC,__init__,12,3,2
keunwoochoi_kapre.kapre,signal,LogmelToMFCC,call,11,3,1
keunwoochoi_kapre.kapre,signal,LogmelToMFCC,get_config,4,1,0
keunwoochoi_kapre.kapre,tflite_compatible_stft,,_rdft_matrix,7,1,1
keunwoochoi_kapre.kapre,tflite_compatible_stft,,_rdft,14,1,2
keunwoochoi_kapre.kapre,tflite_compatible_stft,,fixed_frame,27,2,3
keunwoochoi_kapre.kapre,tflite_compatible_stft,,stft_tflite,15,2,6
keunwoochoi_kapre.kapre,tflite_compatible_stft,,continued_fraction_arctan,9,2,3
keunwoochoi_kapre.kapre,tflite_compatible_stft,,atan2_tflite,12,1,4
keunwoochoi_kapre.kapre,time_frequency,STFT,__init__,18,3,8
keunwoochoi_kapre.kapre,time_frequency,STFT,call,24,4,1
keunwoochoi_kapre.kapre,time_frequency,STFT,get_config,15,1,0
keunwoochoi_kapre.kapre,time_frequency,InverseSTFT,__init__,18,3,6
keunwoochoi_kapre.kapre,time_frequency,InverseSTFT,call,18,3,1
keunwoochoi_kapre.kapre,time_frequency,InverseSTFT,get_config,13,1,0
keunwoochoi_kapre.kapre,time_frequency,Magnitude,call,4,1,1
keunwoochoi_kapre.kapre,time_frequency,Phase,__init__,3,1,1
keunwoochoi_kapre.kapre,time_frequency,Phase,call,6,1,1
keunwoochoi_kapre.kapre,time_frequency,Phase,get_config,8,1,0
keunwoochoi_kapre.kapre,time_frequency,MagnitudeToDecibel,__init__,5,1,3
keunwoochoi_kapre.kapre,time_frequency,MagnitudeToDecibel,call,6,1,1
keunwoochoi_kapre.kapre,time_frequency,MagnitudeToDecibel,get_config,10,1,0
keunwoochoi_kapre.kapre,time_frequency,ApplyFilterbank,__init__,17,5,3
keunwoochoi_kapre.kapre,time_frequency,ApplyFilterbank,call,7,2,1
keunwoochoi_kapre.kapre,time_frequency,ApplyFilterbank,get_config,10,1,0
keunwoochoi_kapre.kapre,time_frequency,Delta,__init__,22,5,3
keunwoochoi_kapre.kapre,time_frequency,Delta,call,14,3,1
keunwoochoi_kapre.kapre,time_frequency,Delta,get_config,6,1,0
keunwoochoi_kapre.kapre,time_frequency,ConcatenateFrequencyMap,__init__,8,2,1
keunwoochoi_kapre.kapre,time_frequency,ConcatenateFrequencyMap,call,4,1,1
keunwoochoi_kapre.kapre,time_frequency,ConcatenateFrequencyMap,_concat_frequency_map,19,1,1
keunwoochoi_kapre.kapre,time_frequency,ConcatenateFrequencyMap,get_config,8,1,0
keunwoochoi_kapre.kapre,time_frequency,,_shape_spectrum_output,8,2,2
keunwoochoi_kapre.kapre,time_frequency_tflite,STFTTflite,call,24,4,1
keunwoochoi_kapre.kapre,time_frequency_tflite,MagnitudeTflite,call,4,1,1
keunwoochoi_kapre.kapre,time_frequency_tflite,PhaseTflite,call,4,1,1
keunwoochoi_kapre.tests,test_augmentation,,test_channel_swap_correctness,14,2,3
keunwoochoi_kapre.tests,test_augmentation,,test_spec_augment_apply_masks_to_axis,33,3,1
keunwoochoi_kapre.tests,test_augmentation,,test_spec_augment_depth_exception,14,1,0
keunwoochoi_kapre.tests,test_augmentation,,test_spec_augment_layer,19,1,2
keunwoochoi_kapre.tests,test_augmentation,,test_save_load_channel_swap,10,1,2
keunwoochoi_kapre.tests,test_augmentation,,test_save_load_spec_augment,19,1,2
keunwoochoi_kapre.tests,test_backend,,test_magnitude_to_decibel,20,2,2
keunwoochoi_kapre.tests,test_backend,,test_mel,24,1,7
keunwoochoi_kapre.tests,test_backend,,test_filterbank_log,11,1,6
keunwoochoi_kapre.tests,test_backend,,test_mu_law_correctness,15,1,1
keunwoochoi_kapre.tests,test_backend,,test_fb_log_fail,2,1,0
keunwoochoi_kapre.tests,test_backend,,test_unsupported_window,2,1,0
keunwoochoi_kapre.tests,test_backend,,test_validate_fail,2,1,0
keunwoochoi_kapre.tests,test_signal,,test_frame_correctness,21,2,2
keunwoochoi_kapre.tests,test_signal,,test_energy_correctness,30,2,1
keunwoochoi_kapre.tests,test_signal,,test_mfcc_correctness,19,2,2
keunwoochoi_kapre.tests,test_signal,,test_save_load,38,1,2
keunwoochoi_kapre.tests,test_signal,,test_wrong_data_format,2,1,0
keunwoochoi_kapre.tests,test_time_frequency,,_num_frame_valid,2,1,3
keunwoochoi_kapre.tests,test_time_frequency,,_num_frame_same,2,1,2
keunwoochoi_kapre.tests,test_time_frequency,,allclose_phase,5,1,3
keunwoochoi_kapre.tests,test_time_frequency,,assert_approx_phase,6,1,4
keunwoochoi_kapre.tests,test_time_frequency,,allclose_complex_numbers,5,1,3
keunwoochoi_kapre.tests,test_time_frequency,,test_spectrogram_correctness,40,3,5
keunwoochoi_kapre.tests,test_time_frequency,,test_spectrogram_correctness_more,46,3,2
keunwoochoi_kapre.tests,test_time_frequency,,test_melspectrogram_correctness,52,2,10
keunwoochoi_kapre.tests,test_time_frequency,,test_spectrogram_tflite_correctness,68,3,7
keunwoochoi_kapre.tests,test_time_frequency,,test_log_spectrogram_runnable,4,1,1
keunwoochoi_kapre.tests,test_time_frequency,,test_log_spectrogram_fail,3,1,0
keunwoochoi_kapre.tests,test_time_frequency,,test_delta,9,1,0
keunwoochoi_kapre.tests,test_time_frequency,,test_mag_phase,46,1,1
keunwoochoi_kapre.tests,test_time_frequency,,test_perfectly_reconstructing_stft_istft,42,5,3
keunwoochoi_kapre.tests,test_time_frequency,,test_save_load,46,2,1
keunwoochoi_kapre.tests,test_time_frequency,,test_concatenate_frequency_map,18,1,1
keunwoochoi_kapre.tests,test_time_frequency,,test_get_frequency_aware_conv2d,10,2,1
keunwoochoi_kapre.tests,test_time_frequency,,test_wrong_input_data_format,2,1,1
keunwoochoi_kapre.tests,test_time_frequency,,test_wrong_input_data_format,2,1,1
keunwoochoi_kapre.tests,test_time_frequency,,test_wrong_data_format,2,1,1
keunwoochoi_kapre.tests,utils,,get_audio,17,4,4
keunwoochoi_kapre.tests,utils,,get_spectrogram,14,4,5
keunwoochoi_kapre.tests,utils,,save_load_compare,24,4,7
keunwoochoi_kapre.tests,utils,,predict_using_tflite,34,3,2
