Package,Module,Class,Smell,Function/Method,Line no,File,Details
kipoi_kipoi,setup,,Long statement,,13,/Volumes/BrokeExt/NICHE/kipoi_kipoi/setup.py,A line with 243 chars in setup exceeds the maximum length of 120 characters.
kipoi_kipoi,setup,,Long statement,,32,/Volumes/BrokeExt/NICHE/kipoi_kipoi/setup.py,A line with 254 chars in setup exceeds the maximum length of 120 characters.
kipoi_kipoi,setup,,Long statement,,53,/Volumes/BrokeExt/NICHE/kipoi_kipoi/setup.py,A line with 627 chars in setup exceeds the maximum length of 120 characters.
kipoi_kipoi.example.code.hail,get_schemas,,Long statement,get_dataloader_descr,70,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/code/hail/get_schemas.py,A line with 168 chars in get_dataloader_descr exceeds the maximum length of 120 characters.
kipoi_kipoi.example.code.hail,get_schemas,,Long statement,get_dataloader_descr,94,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/code/hail/get_schemas.py,A line with 179 chars in get_dataloader_descr exceeds the maximum length of 120 characters.
kipoi_kipoi.example.code.hail,get_schemas,,Long statement,,1,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/code/hail/get_schemas.py,A line with 630 chars in get_schemas exceeds the maximum length of 120 characters.
kipoi_kipoi.example.code.hail,get_schemas,,Magic number,test_get_dataloader_descr,118,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/code/hail/get_schemas.py,Magic number 919 used in test_get_dataloader_descr.
kipoi_kipoi.example.code.hail,get_schemas,,Magic number,test_get_dataloader_descr,123,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/code/hail/get_schemas.py,Magic number 164 used in test_get_dataloader_descr.
kipoi_kipoi.example.models.non_bedinput_model,dataloader,DistToClosestLandmarkExtractor,Long statement,_extract,95,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/non_bedinput_model/dataloader.py,A line with 156 chars in _extract exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.non_bedinput_model,dataloader,SeqDistDataset,Long statement,__getitem__,184,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/non_bedinput_model/dataloader.py,A line with 135 chars in __getitem__ exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.non_bedinput_model,dataloader,DistToClosestLandmarkExtractor,Magic number,_extract,88,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/non_bedinput_model/dataloader.py,Magic number 2 used in _extract.
kipoi_kipoi.example.models.pyt,dataloader,SeqDataset,Magic number,__getitem__,62,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/dataloader.py,Magic number 1000 used in __getitem__.
kipoi_kipoi.example.models.pyt,pyt,,Long statement,get_model,21,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/pyt.py,A line with 128 chars in get_model exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.pyt,pyt,,Magic number,get_model,19,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/pyt.py,Magic number 4000 used in get_model.
kipoi_kipoi.example.models.pyt,pyt,,Magic number,get_model,19,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/pyt.py,Magic number 100 used in get_model.
kipoi_kipoi.example.models.pyt,pyt,,Magic number,generate_exmaple_model,43,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/pyt.py,Magic number 10 used in generate_exmaple_model.
kipoi_kipoi.example.models.pyt.model_files,pyt,,Long statement,get_model,21,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/model_files/pyt.py,A line with 128 chars in get_model exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.pyt.model_files,pyt,,Magic number,get_model,19,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/model_files/pyt.py,Magic number 4000 used in get_model.
kipoi_kipoi.example.models.pyt.model_files,pyt,,Magic number,get_model,19,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/model_files/pyt.py,Magic number 100 used in get_model.
kipoi_kipoi.example.models.pyt.model_files,pyt,,Magic number,generate_exmaple_model,43,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt/model_files/pyt.py,Magic number 10 used in generate_exmaple_model.
kipoi_kipoi.example.models.pyt_class,dataloader,SeqDataset,Magic number,__len__,18,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt_class/dataloader.py,Magic number 3 used in __len__.
kipoi_kipoi.example.models.pyt_class,pyt,PyTNet,Magic number,__init__,10,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt_class/pyt.py,Magic number 2 used in __init__.
kipoi_kipoi.example.models.pyt_class,pyt,PyTNet,Magic number,__init__,11,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt_class/pyt.py,Magic number 3 used in __init__.
kipoi_kipoi.example.models.pyt_class.model_files,pyt,PyTNet,Magic number,__init__,10,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt_class/model_files/pyt.py,Magic number 2 used in __init__.
kipoi_kipoi.example.models.pyt_class.model_files,pyt,PyTNet,Magic number,__init__,11,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/pyt_class/model_files/pyt.py,Magic number 3 used in __init__.
kipoi_kipoi.example.models.rbp,dataloader,DistanceTransformer,Long statement,__init__,89,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/rbp/dataloader.py,A line with 158 chars in __init__ exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.rbp,dataloader,DistanceTransformer,Long statement,transform,115,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/rbp/dataloader.py,A line with 134 chars in transform exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.rbp,dataloader,DistToClosestLandmarkExtractor,Long statement,_extract,159,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/rbp/dataloader.py,A line with 156 chars in _extract exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.rbp,dataloader,SeqDistDataset,Long statement,__getitem__,248,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/rbp/dataloader.py,A line with 135 chars in __getitem__ exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.rbp,dataloader,DistanceTransformer,Magic number,__init__,102,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/rbp/dataloader.py,Magic number 2 used in __init__.
kipoi_kipoi.example.models.rbp,dataloader,DistToClosestLandmarkExtractor,Magic number,_extract,152,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/rbp/dataloader.py,Magic number 2 used in _extract.
kipoi_kipoi.example.models.tal1_model,dataloader,SeqDataset,Magic number,__getitem__,88,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/tal1_model/dataloader.py,Magic number 2 used in __getitem__.
kipoi_kipoi.example.models.tal1_model,dataloader,SeqDataset,Magic number,__getitem__,89,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/tal1_model/dataloader.py,Magic number 2 used in __getitem__.
kipoi_kipoi.example.models.tal1_model,dataloader,SeqDataset,Magic number,__getitem__,90,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/tal1_model/dataloader.py,Magic number 2 used in __getitem__.
kipoi_kipoi.example.models.tal1_model,dataloader,SeqDataset,Magic number,__getitem__,90,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/tal1_model/dataloader.py,Magic number 2 used in __getitem__.
kipoi_kipoi.example.models.var_seqlen_model,dataloader,DistToClosestLandmarkExtractor,Long statement,_extract,95,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/var_seqlen_model/dataloader.py,A line with 156 chars in _extract exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.var_seqlen_model,dataloader,SeqDistDataset,Long statement,__getitem__,179,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/var_seqlen_model/dataloader.py,A line with 123 chars in __getitem__ exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.var_seqlen_model,dataloader,SeqDistDataset,Long statement,__getitem__,183,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/var_seqlen_model/dataloader.py,A line with 135 chars in __getitem__ exceeds the maximum length of 120 characters.
kipoi_kipoi.example.models.var_seqlen_model,dataloader,DistToClosestLandmarkExtractor,Magic number,_extract,88,/Volumes/BrokeExt/NICHE/kipoi_kipoi/example/models/var_seqlen_model/dataloader.py,Magic number 2 used in _extract.
kipoi_kipoi.kipoi,__main__,,Complex method,main,75 - 107,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/__main__.py,"Method 'main' has a cyclomatic complexity of 9, exceeding the max of 6."
kipoi_kipoi.kipoi,__main__,,Long statement,main,85,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/__main__.py,A line with 128 chars in main exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,__main__,,Long statement,,46,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/__main__.py,A line with 944 chars in __main__ exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,__main__,,Magic number,main,87,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/__main__.py,Magic number 2 used in main.
kipoi_kipoi.kipoi,__main__,,Magic number,main,90,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/__main__.py,Magic number 2 used in main.
kipoi_kipoi.kipoi,__main__,,Magic number,main,91,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/__main__.py,Magic number 2 used in main.
kipoi_kipoi.kipoi,config,,Long statement,model_sources,33,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/config.py,A line with 244 chars in model_sources exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,config,,Long statement,get_source,53,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/config.py,A line with 174 chars in get_source exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,config,,Long statement,get_source,64,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/config.py,A line with 155 chars in get_source exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,config,,Long statement,add_source,70,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/config.py,A line with 213 chars in add_source exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,config,,Long statement,list_sources,91,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/config.py,A line with 166 chars in list_sources exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,config,,Long statement,list_models,104,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/config.py,A line with 146 chars in list_models exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,config,,Long statement,list_dataloaders,130,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/config.py,A line with 151 chars in list_dataloaders exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,config,,Long statement,,1,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/config.py,A line with 202 chars in config exceeds the maximum length of 120 characters.
kipoi_kipoi.kipoi,data,,Complex method,kipoi_dataloader,173 - 235,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/data.py,"Method 'kipoi_dataloader' has a cyclomatic complexity of 9, exceeding the max of 6."
kipoi_kipoi.kipoi,data,,Complex method,get_dataloader,563 - 699,/Volumes/BrokeExt/NICHE/kipoi_kipoi/kipoi/data.py,"Method 'get_dataloader' has a cyclomatic complexity of 13, exceeding the max of 6."
