Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
kk7nc_RMDL,setup,,4,1,1,1,3,2,0,0,0
kk7nc_RMDL.Examples,CIFAR,,0,0,0,0,9,9,-1,0,0
kk7nc_RMDL.Examples,IMDB,,0,0,0,0,10,10,-1,0,0
kk7nc_RMDL.Examples,LFW,,0,0,0,0,15,15,-1,0,0
kk7nc_RMDL.Examples,MNIST,,0,0,0,0,11,11,-1,0,0
kk7nc_RMDL.Examples,ORL,,0,0,0,0,10,10,-1,0,0
kk7nc_RMDL.Examples,Reuters21578,,0,0,0,0,12,12,-1,0,0
kk7nc_RMDL.Examples,Text_classification_demo,,0,0,0,0,12,12,-1,0,0
kk7nc_RMDL.Examples,Text_pandas,,0,0,0,0,9,9,-1,0,0
kk7nc_RMDL.Examples,WOS11967,,0,0,0,0,11,11,-1,0,0
kk7nc_RMDL.Examples,WOS46985,,0,0,0,0,11,11,-1,0,0
kk7nc_RMDL.Examples,WOS5736,,0,0,0,0,11,11,-1,0,0
kk7nc_RMDL.Examples,_20NewsGroup,,0,0,0,0,11,11,-1,0,0
kk7nc_RMDL.RMDL,BuildModel,,303,40,9,9,37,37,0.22,0,0
kk7nc_RMDL.RMDL,Global,,5,2,1,1,0,0,0,0,0
kk7nc_RMDL.RMDL,Plot,,72,10,3,3,1,1,1,0,0
kk7nc_RMDL.RMDL,RMDL_Image,,198,20,1,1,13,13,0,0,0
kk7nc_RMDL.RMDL,RMDL_Text,,299,33,1,1,28,28,0,0,0
kk7nc_RMDL.RMDL,__init__,,0,0,0,0,1,0,-1,0,0
kk7nc_RMDL.RMDL,text_feature_extraction,,97,16,4,4,9,9,0.5,0,0
kk7nc_RMDL.RMDL.Download,Download_Glove,,34,7,1,1,4,4,0,0,0
kk7nc_RMDL.RMDL.Download,Download_WOS,,21,3,1,1,3,3,0,0,0
kk7nc_RMDL.RMDL.Download,__init__,,0,0,0,0,1,0,-1,0,0
