Package,Module,Class,Smell,Function/Method,Line no,File,Details
kubeflow-kale_kale.backend,setup,,Long statement,,18,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/setup.py,A line with 1166 chars in setup exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,cli,,Long method,main,46 - 113,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,Method 'main' is too long (58 lines).
kubeflow-kale_kale.backend.kale,cli,,Long method,kale_volumes,123 - 211,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,Method 'kale_volumes' is too long (74 lines).
kubeflow-kale_kale.backend.kale,cli,,Long statement,main,89,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,A line with 151 chars in main exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,cli,,Long statement,main,102,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,A line with 157 chars in main exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,cli,,Long statement,main,109,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,A line with 149 chars in main exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,cli,,Long statement,kale_volumes,168,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,A line with 161 chars in kale_volumes exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,cli,,Long statement,kale_volumes,181,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,A line with 143 chars in kale_volumes exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,cli,,Long statement,,22,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,A line with 781 chars in cli exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,cli,,Long statement,,117,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/cli.py,A line with 131 chars in cli exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,compiler,Compiler,Long statement,generate_dsl,82,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/compiler.py,A line with 129 chars in generate_dsl exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,compiler,Compiler,Long statement,generate_pipeline,119,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/compiler.py,A line with 136 chars in generate_pipeline exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,compiler,Compiler,Long statement,_run_compiled_code,166,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/compiler.py,A line with 123 chars in _run_compiled_code exceeds the maximum length of 120 characters.
kubeflow-kale_kale.backend.kale,pipeline,Pipeline,Long identifier,override_pipeline_parameters_from_kwargs,303,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/pipeline.py,Identifier'override_pipeline_parameters_from_kwargs' exceeds the maximum length of 30 characters.
kubeflow-kale_kale.backend.kale,pipeline,Pipeline,Long statement,get_ordered_ancestors,279,/Volumes/BrokeExt/NICHE/kubeflow-kale_kale/backend/kale/pipeline.py,A line with 187 chars in get_ordered_ancestors exceeds the maximum length of 120 characters.
