Package,Module,Class,Smell,Function/Method,Line no,File,Details
kubeflow_fairing,setup,,Long statement,,6,/Volumes/BrokeExt/NICHE/kubeflow_fairing/setup.py,A line with 1035 chars in setup exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_creds_,_DefaultKeychain,Empty catch block,Resolve,239,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_creds_.py,Empty catch block found in Resolve.
kubeflow_fairing.containerregistry.client,docker_creds_,OAuth2,Long statement,__init__,103,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_creds_.py,A line with 166 chars in __init__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_creds_,Helper,Long statement,__init__,136,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_creds_.py,A line with 173 chars in __init__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_creds_,Keychain,Long statement,Resolve,185,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_creds_.py,A line with 215 chars in Resolve exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_name_,,Empty catch block,from_string,305,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,Empty catch block found in from_string.
kubeflow_fairing.containerregistry.client,docker_name_,,Long statement,_check_element,42,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,A line with 416 chars in _check_element exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_name_,,Long statement,from_string,290,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,A line with 311 chars in from_string exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_name_,Repository,Long statement,__eq__,168,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,A line with 132 chars in __eq__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_name_,Tag,Long statement,__eq__,228,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,A line with 160 chars in __eq__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_name_,Digest,Long statement,__eq__,275,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,A line with 166 chars in __eq__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client,docker_name_,Repository,Magic number,__init__,138,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,Magic number 2 used in __init__.
kubeflow_fairing.containerregistry.client,docker_name_,Tag,Magic number,__init__,191,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,Magic number 2 used in __init__.
kubeflow_fairing.containerregistry.client,docker_name_,Digest,Magic number,__init__,247,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/docker_name_.py,Magic number 2 used in __init__.
kubeflow_fairing.containerregistry.client.v1,docker_http_,,Long parameter list,Request,50 - 85,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_http_.py,"Request has 6 parameters, exceeding the max of 5."
kubeflow_fairing.containerregistry.client.v1,docker_http_,,Long statement,Request,56,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_http_.py,A line with 598 chars in Request exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,,Complex method,_get_top,238 - 261,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,"Method '_get_top' has a cyclomatic complexity of 7, exceeding the max of 6."
kubeflow_fairing.containerregistry.client.v1,docker_image_,DockerImage,Long statement,parent,62,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,A line with 226 chars in parent exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,DockerImage,Long statement,json,78,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,A line with 183 chars in json exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,DockerImage,Long statement,layer,92,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,A line with 196 chars in layer exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,DockerImage,Long statement,ancestry,118,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,A line with 212 chars in ancestry exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,FromTarball,Long statement,__init__,271,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,A line with 127 chars in __init__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,FromRegistry,Long statement,_content,312,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,A line with 241 chars in _content exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,FromRegistry,Long statement,__enter__,339,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,A line with 292 chars in __enter__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,FromRegistry,Long statement,__enter__,358,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,A line with 273 chars in __enter__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_image_,_FakeTime,Magic number,time,147,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 1225856967.109 used in time.
kubeflow_fairing.containerregistry.client.v1,docker_image_,FromShardedTarball,Magic number,__init__,160,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 9 used in __init__.
kubeflow_fairing.containerregistry.client.v1,docker_image_,FromTarball,Magic number,__init__,270,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 9 used in __init__.
kubeflow_fairing.containerregistry.client.v1,docker_image_,Random,Magic number,__init__,383,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 5 used in __init__.
kubeflow_fairing.containerregistry.client.v1,docker_image_,Random,Magic number,__init__,384,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 64 used in __init__.
kubeflow_fairing.containerregistry.client.v1,docker_image_,Random,Magic number,_next_layer,445,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 1024 used in _next_layer.
kubeflow_fairing.containerregistry.client.v1,docker_image_,Random,Magic number,_next_layer,445,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 1024 used in _next_layer.
kubeflow_fairing.containerregistry.client.v1,docker_image_,Random,Magic number,_next_layer,446,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 1024 used in _next_layer.
kubeflow_fairing.containerregistry.client.v1,docker_image_,Random,Magic number,_next_layer,446,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_image_.py,Magic number 1024 used in _next_layer.
kubeflow_fairing.containerregistry.client.v1,docker_session_,Push,Long statement,__init__,42,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_session_.py,A line with 283 chars in __init__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_session_,Push,Long statement,__enter__,65,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_session_.py,A line with 339 chars in __enter__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_session_,Push,Long statement,_exists,91,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_session_.py,A line with 295 chars in _exists exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_session_,Push,Long statement,_put_json,105,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_session_.py,A line with 279 chars in _put_json exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_session_,Push,Long statement,_put_layer,119,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_session_.py,A line with 307 chars in _put_layer exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_session_,Push,Long statement,_put_tag,165,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_session_.py,A line with 334 chars in _put_tag exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_session_,Push,Long statement,_put_images,178,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_session_.py,A line with 298 chars in _put_images exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,docker_session_,,Long statement,,14,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/docker_session_.py,A line with 165 chars in docker_session_ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,save_,,Long statement,multi_image_tarball,35,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/save_.py,A line with 220 chars in multi_image_tarball exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v1,save_,,Long statement,tarball,85,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v1/save_.py,A line with 250 chars in tarball exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v2,append_,Layer,Complex method,__init__,40 - 88,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v2/append_.py,"Method '__init__' has a cyclomatic complexity of 7, exceeding the max of 6."
kubeflow_fairing.containerregistry.client.v2,append_,Layer,Long statement,__init__,42,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v2/append_.py,A line with 454 chars in __init__ exceeds the maximum length of 120 characters.
kubeflow_fairing.containerregistry.client.v2,docker_http_,Transport,Complex method,Request,303 - 364,/Volumes/BrokeExt/NICHE/kubeflow_fairing/containerregistry/client/v2/docker_http_.py,"Method 'Request' has a cyclomatic complexity of 10, exceeding the max of 6."
