Package,Module,Class,Smell,Function/Method,Line no,File,Details
kubeflow_katib.cmd.metricscollector.v1beta1.tfevent-metricscollector,main,,Long statement,,64,/Volumes/BrokeExt/NICHE/kubeflow_katib/cmd/metricscollector/v1beta1/tfevent-metricscollector/main.py,A line with 142 chars in main exceeds the maximum length of 120 characters.
kubeflow_katib.cmd.metricscollector.v1beta1.tfevent-metricscollector,main,,Long statement,,79,/Volumes/BrokeExt/NICHE/kubeflow_katib/cmd/metricscollector/v1beta1/tfevent-metricscollector/main.py,A line with 150 chars in main exceeds the maximum length of 120 characters.
kubeflow_katib.docs.release,changelog,,Long statement,,43,/Volumes/BrokeExt/NICHE/kubeflow_katib/docs/release/changelog.py,A line with 179 chars in changelog exceeds the maximum length of 120 characters.
kubeflow_katib.docs.release,changelog,,Long statement,,52,/Volumes/BrokeExt/NICHE/kubeflow_katib/docs/release/changelog.py,A line with 359 chars in changelog exceeds the maximum length of 120 characters.
kubeflow_katib.examples.v1beta1.kubeflow-pipelines,mpi-job-horovod,,Long method,horovod_mnist_hpo,51 - 221,/Volumes/BrokeExt/NICHE/kubeflow_katib/examples/v1beta1/kubeflow-pipelines/mpi-job-horovod.py,Method 'horovod_mnist_hpo' is too long (143 lines).
kubeflow_katib.examples.v1beta1.kubeflow-pipelines,mpi-job-horovod,,Long statement,horovod_mnist_hpo,68,/Volumes/BrokeExt/NICHE/kubeflow_katib/examples/v1beta1/kubeflow-pipelines/mpi-job-horovod.py,A line with 150 chars in horovod_mnist_hpo exceeds the maximum length of 120 characters.
kubeflow_katib.examples.v1beta1.kubeflow-pipelines,mpi-job-horovod,,Long statement,horovod_mnist_hpo,75,/Volumes/BrokeExt/NICHE/kubeflow_katib/examples/v1beta1/kubeflow-pipelines/mpi-job-horovod.py,A line with 265 chars in horovod_mnist_hpo exceeds the maximum length of 120 characters.
kubeflow_katib.examples.v1beta1.kubeflow-pipelines,mpi-job-horovod,,Long statement,horovod_mnist_hpo,165,/Volumes/BrokeExt/NICHE/kubeflow_katib/examples/v1beta1/kubeflow-pipelines/mpi-job-horovod.py,A line with 550 chars in horovod_mnist_hpo exceeds the maximum length of 120 characters.
kubeflow_katib.examples.v1beta1.kubeflow-pipelines,mpi-job-horovod,,Long statement,horovod_mnist_hpo,186,/Volumes/BrokeExt/NICHE/kubeflow_katib/examples/v1beta1/kubeflow-pipelines/mpi-job-horovod.py,A line with 258 chars in horovod_mnist_hpo exceeds the maximum length of 120 characters.
kubeflow_katib.examples.v1beta1.kubeflow-pipelines,mpi-job-horovod,,Long statement,horovod_mnist_hpo,198,/Volumes/BrokeExt/NICHE/kubeflow_katib/examples/v1beta1/kubeflow-pipelines/mpi-job-horovod.py,A line with 178 chars in horovod_mnist_hpo exceeds the maximum length of 120 characters.
