Package,Module,Class,Smell,Function/Method,Line no,File,Details
kundajelab_deeplift,setup,,Long statement,,4,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/setup.py,A line with 836 chars in setup exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,dinuc_shuffle,,Complex method,dinuc_shuffle,43 - 114,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/dinuc_shuffle.py,"Method 'dinuc_shuffle' has a cyclomatic complexity of 11, exceeding the max of 6."
kundajelab_deeplift.deeplift,dinuc_shuffle,,Long method,dinuc_shuffle,43 - 114,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/dinuc_shuffle.py,Method 'dinuc_shuffle' is too long (49 lines).
kundajelab_deeplift.deeplift,dinuc_shuffle,,Long statement,string_to_char_array,5,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/dinuc_shuffle.py,A line with 124 chars in string_to_char_array exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,dinuc_shuffle,,Long statement,char_array_to_string,13,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/dinuc_shuffle.py,A line with 126 chars in char_array_to_string exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,dinuc_shuffle,,Long statement,one_hot_to_tokens,21,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/dinuc_shuffle.py,A line with 284 chars in one_hot_to_tokens exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,dinuc_shuffle,,Long statement,tokens_to_one_hot,34,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/dinuc_shuffle.py,A line with 206 chars in tokens_to_one_hot exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,dinuc_shuffle,,Long statement,dinuc_shuffle,44,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/dinuc_shuffle.py,A line with 829 chars in dinuc_shuffle exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,dinuc_shuffle,,Magic number,dinuc_shuffle,62,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/dinuc_shuffle.py,Magic number 2 used in dinuc_shuffle.
kundajelab_deeplift.deeplift,models,Model,Complex method,_get_func,36 - 110,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,"Method '_get_func' has a cyclomatic complexity of 11, exceeding the max of 6."
kundajelab_deeplift.deeplift,models,Model,Long identifier,get_target_contribs_of_input_with_filter_ref_func,118,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,Identifier'get_target_contribs_of_input_with_filter_ref_func' exceeds the maximum length of 30 characters.
kundajelab_deeplift.deeplift,models,Model,Long identifier,_set_scoring_mode_for_target_layer,125,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,Identifier'_set_scoring_mode_for_target_layer' exceeds the maximum length of 30 characters.
kundajelab_deeplift.deeplift,models,Model,Long identifier,load_model_from_yaml_contents_only,156,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,Identifier'load_model_from_yaml_contents_only' exceeds the maximum length of 30 characters.
kundajelab_deeplift.deeplift,models,Model,Long method,_get_func,36 - 110,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,Method '_get_func' is too long (72 lines).
kundajelab_deeplift.deeplift,models,Model,Long statement,_get_func,59,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 128 chars in _get_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_get_func,66,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 190 chars in _get_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_get_func,75,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 142 chars in _get_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_get_func,84,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 148 chars in _get_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_get_func,89,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 139 chars in _get_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_get_func,98,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 208 chars in _get_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_set_scoring_mode_for_target_layer,128,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 273 chars in _set_scoring_mode_for_target_layer exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_set_scoring_mode_for_target_layer,137,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 143 chars in _set_scoring_mode_for_target_layer exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_set_scoring_mode_for_target_layer,145,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 196 chars in _set_scoring_mode_for_target_layer exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,Model,Long statement,_get_prediction_function,172,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 149 chars in _get_prediction_function exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,SequentialModel,Long statement,_get_func,197,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 181 chars in _get_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,SequentialModel,Long statement,get_prediction_function,204,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 169 chars in get_prediction_function exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,GraphModel,Long statement,_get_func,230,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 264 chars in _get_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,GraphModel,Long statement,get_prediction_function,239,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 227 chars in get_prediction_function exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,,Long statement,,18,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,A line with 150 chars in models exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,models,SequentialModel,Magic number,_get_func,191,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/models.py,Magic number 2 used in _get_func.
kundajelab_deeplift.deeplift,util,,Complex method,run_function_in_batches,111 - 144,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,"Method 'run_function_in_batches' has a cyclomatic complexity of 7, exceeding the max of 6."
kundajelab_deeplift.deeplift,util,,Complex method,get_file_handle,184 - 211,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,"Method 'get_file_handle' has a cyclomatic complexity of 11, exceeding the max of 6."
kundajelab_deeplift.deeplift,util,,Complex method,get_shuffle_seq_ref_function,345 - 418,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,"Method 'get_shuffle_seq_ref_function' has a cyclomatic complexity of 12, exceeding the max of 6."
kundajelab_deeplift.deeplift,util,,Long identifier,mean_normalise_weights_for_sequence_convolution,147,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,Identifier'mean_normalise_weights_for_sequence_convolution' exceeds the maximum length of 30 characters.
kundajelab_deeplift.deeplift,util,,Long identifier,get_integrated_gradients_function,233,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,Identifier'get_integrated_gradients_function' exceeds the maximum length of 30 characters.
kundajelab_deeplift.deeplift,util,,Long identifier,get_hypothetical_contribs_func_onehot,286,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,Identifier'get_hypothetical_contribs_func_onehot' exceeds the maximum length of 30 characters.
kundajelab_deeplift.deeplift,util,,Long method,get_integrated_gradients_function,233 - 283,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,Method 'get_integrated_gradients_function' is too long (50 lines).
kundajelab_deeplift.deeplift,util,,Long method,get_shuffle_seq_ref_function,345 - 418,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,Method 'get_shuffle_seq_ref_function' is too long (72 lines).
kundajelab_deeplift.deeplift,util,,Long parameter list,run_function_in_batches,111 - 144,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,"run_function_in_batches has 6 parameters, exceeding the max of 5."
kundajelab_deeplift.deeplift,util,,Long statement,compile_func,42,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,A line with 177 chars in compile_func exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,util,,Long statement,assert_type,77,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,A line with 173 chars in assert_type exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,util,,Long statement,superclass_in_base_classes,88,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,A line with 244 chars in superclass_in_base_classes exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,util,,Long statement,run_function_in_batches,130,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,A line with 127 chars in run_function_in_batches exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,util,,Long statement,mean_normalise_weights_for_sequence_convolution,163,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,A line with 124 chars in mean_normalise_weights_for_sequence_convolution exceeds the maximum length of 120 characters.
kundajelab_deeplift.deeplift,util,,Long statement,get_integrated_gradients_function,241,/Volumes/BrokeExt/NICHE/kundajelab_deeplift/deeplift/util.py,A line with 161 chars in get_integrated_gradients_function exceeds the maximum length of 120 characters.
