Package,Module,Class,Smell,Function/Method,Line no,File,Details
lsds_KungFu,setup,CMakeBuild,Complex method,build_extension,48 - 100,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup.py,"Method 'build_extension' has a cyclomatic complexity of 9, exceeding the max of 6."
lsds_KungFu,setup,CMakeBuild,Long method,build_extension,48 - 100,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup.py,Method 'build_extension' is too long (45 lines).
lsds_KungFu,setup,,Long statement,cmake_tf_ext_flags,30,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup.py,A line with 225 chars in cmake_tf_ext_flags exceeds the maximum length of 120 characters.
lsds_KungFu,setup,CMakeBuild,Long statement,build_extension,63,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup.py,A line with 354 chars in build_extension exceeds the maximum length of 120 characters.
lsds_KungFu,setup,,Long statement,,106,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup.py,A line with 383 chars in setup exceeds the maximum length of 120 characters.
lsds_KungFu,setup_mindspore,CMakeBuild,Complex method,build_extension,35 - 87,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup_mindspore.py,"Method 'build_extension' has a cyclomatic complexity of 9, exceeding the max of 6."
lsds_KungFu,setup_mindspore,CMakeBuild,Long method,build_extension,35 - 87,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup_mindspore.py,Method 'build_extension' is too long (45 lines).
lsds_KungFu,setup_mindspore,CMakeBuild,Long statement,build_extension,50,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup_mindspore.py,A line with 329 chars in build_extension exceeds the maximum length of 120 characters.
lsds_KungFu,setup_mindspore,,Long statement,,93,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup_mindspore.py,A line with 383 chars in setup_mindspore exceeds the maximum length of 120 characters.
lsds_KungFu,setup_pytorch,,Long statement,create_extension,46,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup_pytorch.py,A line with 155 chars in create_extension exceeds the maximum length of 120 characters.
lsds_KungFu,setup_pytorch,,Long statement,,56,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup_pytorch.py,A line with 199 chars in setup_pytorch exceeds the maximum length of 120 characters.
lsds_KungFu,setup_tensorflow,CMakeBuild,Complex method,build_extension,48 - 100,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup_tensorflow.py,"Method 'build_extension' has a cyclomatic complexity of 9, exceeding the max of 6."
lsds_KungFu,setup_tensorflow,CMakeBuild,Long method,build_extension,48 - 100,/Volumes/BrokeExt/NICHE/lsds_KungFu/setup_tensorflow.py,Method 'build_extension' is too long (45 lines).
