Package,Module,Class,Function,LOC,CC,PC
lukemelas_EfficientNet-PyTorch,hubconf,,_create_model_fn,34,1,1
lukemelas_EfficientNet-PyTorch,setup,UploadCommand,status,2,1,1
lukemelas_EfficientNet-PyTorch,setup,UploadCommand,initialize_options,2,1,0
lukemelas_EfficientNet-PyTorch,setup,UploadCommand,finalize_options,2,1,0
lukemelas_EfficientNet-PyTorch,setup,UploadCommand,run,14,2,0
lukemelas_EfficientNet-PyTorch,sotabench,,get_img_id,2,1,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,MBConvBlock,__init__,31,4,3
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,MBConvBlock,forward,25,6,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,MBConvBlock,set_swish,3,1,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,__init__,42,5,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,set_swish,5,2,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,extract_endpoints,18,5,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,extract_features,10,3,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,forward,9,2,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,from_name,7,1,3
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,from_pretrained,7,1,6
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,get_image_size,5,1,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,_check_model_name_is_valid,4,2,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,model,EfficientNet,_change_in_channels,6,2,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,SwishImplementation,forward,4,1,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,SwishImplementation,backward,4,1,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,MemoryEfficientSwish,forward,2,1,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,Conv2dDynamicSamePadding,__init__,3,1,7
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,Conv2dDynamicSamePadding,forward,10,3,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,Conv2dStaticSamePadding,__init__,15,3,5
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,Conv2dStaticSamePadding,forward,4,1,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,MaxPool2dDynamicSamePadding,__init__,5,1,6
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,MaxPool2dDynamicSamePadding,forward,11,3,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,MaxPool2dStaticSamePadding,__init__,16,3,3
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,MaxPool2dStaticSamePadding,forward,5,1,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,BlockDecoder,_decode_block_string,21,6,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,BlockDecoder,_encode_block_string,15,3,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,BlockDecoder,decode,7,2,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,BlockDecoder,encode,6,2,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,round_filters,13,3,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,round_repeats,6,1,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,drop_connect,12,1,3
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,get_width_and_height_from_size,8,3,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,calculate_output_image_size,9,1,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,get_same_padding_conv2d,6,1,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,get_same_padding_maxPool2d,6,1,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,efficientnet_params,16,1,1
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,efficientnet,27,1,7
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,get_model_params,13,3,2
lukemelas_EfficientNet-PyTorch.efficientnet_pytorch,utils,,load_pretrained_weights,20,4,6
lukemelas_EfficientNet-PyTorch.examples.imagenet,main,AverageMeter,__init__,4,1,2
lukemelas_EfficientNet-PyTorch.examples.imagenet,main,AverageMeter,reset,5,1,0
lukemelas_EfficientNet-PyTorch.examples.imagenet,main,AverageMeter,update,5,1,2
