Package,Module,Class,Smell,Function/Method,Line no,File,Details
michaelhush_M-LOOP,setup,,Long method,main,12 - 68,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/setup.py,Method 'main' is too long (58 lines).
michaelhush_M-LOOP,setup,,Long statement,main,20,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/setup.py,A line with 1633 chars in main exceeds the maximum length of 120 characters.
michaelhush_M-LOOP.docs,conf,,Long identifier,,40,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/docs/conf.py,Identifier'napoleon_include_private_with_doc' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.docs,conf,,Long identifier,,41,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/docs/conf.py,Identifier'napoleon_include_special_with_doc' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.docs,conf,,Long identifier,,42,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/docs/conf.py,Identifier'napoleon_use_admonition_for_examples' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.docs,conf,,Long identifier,,43,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/docs/conf.py,Identifier'napoleon_use_admonition_for_notes' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.docs,conf,,Long identifier,,44,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/docs/conf.py,Identifier'napoleon_use_admonition_for_references' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.docs,conf,,Long statement,,299,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/docs/conf.py,A line with 139 chars in conf exceeds the maximum length of 120 characters.
michaelhush_M-LOOP.examples,python_controlled_experiment,,Long statement,main,55,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/examples/python_controlled_experiment.py,A line with 160 chars in main exceeds the maximum length of 120 characters.
michaelhush_M-LOOP.mloop,__init__,,Long statement,,1,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/__init__.py,A line with 511 chars in __init__ exceeds the maximum length of 120 characters.
michaelhush_M-LOOP.mloop,__init__,,Long statement,,16,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/__init__.py,A line with 126 chars in __init__ exceeds the maximum length of 120 characters.
michaelhush_M-LOOP.mloop,cmd,,Long statement,run_mloop,14,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/cmd.py,A line with 303 chars in run_mloop exceeds the maximum length of 120 characters.
michaelhush_M-LOOP.mloop,cmd,,Long statement,run_mloop,28,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/cmd.py,A line with 223 chars in run_mloop exceeds the maximum length of 120 characters.
michaelhush_M-LOOP.mloop,controllers,,Complex method,create_controller,30 - 81,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,"Method 'create_controller' has a cyclomatic complexity of 11, exceeding the max of 6."
michaelhush_M-LOOP.mloop,controllers,Controller,Complex method,__init__,169 - 309,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,"Method '__init__' has a cyclomatic complexity of 11, exceeding the max of 6."
michaelhush_M-LOOP.mloop,controllers,Controller,Complex method,_get_cost_and_in_dict,483 - 551,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,"Method '_get_cost_and_in_dict' has a cyclomatic complexity of 12, exceeding the max of 6."
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Complex method,__init__,769 - 834,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,"Method '__init__' has a cyclomatic complexity of 7, exceeding the max of 6."
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Complex method,_optimization_routine,867 - 941,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,"Method '_optimization_routine' has a cyclomatic complexity of 9, exceeding the max of 6."
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Complex method,_shut_down,943 - 973,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,"Method '_shut_down' has a cyclomatic complexity of 7, exceeding the max of 6."
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Empty catch block,_shut_down,960,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Empty catch block found in _shut_down.
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Empty catch block,_shut_down,967,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Empty catch block found in _shut_down.
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Empty catch block,print_results,987,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Empty catch block found in print_results.
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Empty catch block,print_results,991,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Empty catch block found in print_results.
michaelhush_M-LOOP.mloop,controllers,Controller,Long identifier,,83,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Identifier'max_num_runs_without_better_params' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.mloop,controllers,DifferentialEvolutionController,Long identifier,,739,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Identifier'DifferentialEvolutionController' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.mloop,controllers,Controller,Long identifier,_update_controller_with_learner_attributes,349,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Identifier'_update_controller_with_learner_attributes' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Long identifier,_update_controller_with_machine_learner_attributes,837,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Identifier'_update_controller_with_machine_learner_attributes' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.mloop,controllers,,Long identifier,,20,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Identifier'default_controller_archive_filename' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.mloop,controllers,,Long identifier,,21,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Identifier'default_controller_archive_file_type' exceeds the maximum length of 30 characters.
michaelhush_M-LOOP.mloop,controllers,Controller,Long method,__init__,169 - 309,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Method '__init__' is too long (106 lines).
michaelhush_M-LOOP.mloop,controllers,Controller,Long method,_get_cost_and_in_dict,483 - 551,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Method '_get_cost_and_in_dict' is too long (56 lines).
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Long method,__init__,769 - 834,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Method '__init__' is too long (51 lines).
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Long method,_optimization_routine,867 - 941,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,Method '_optimization_routine' is too long (70 lines).
michaelhush_M-LOOP.mloop,controllers,Controller,Long parameter list,__init__,169 - 309,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,"__init__ has 9 parameters, exceeding the max of 5."
michaelhush_M-LOOP.mloop,controllers,MachineLearnerController,Long parameter list,__init__,769 - 834,/Volumes/BrokeExt/NICHE/michaelhush_M-LOOP/mloop/controllers.py,"__init__ has 11 parameters, exceeding the max of 5."
