Package,Module,Class,Function,LOC,CC,PC
microsoft_tf2-gnn.tf2_gnn.cli,test,,test,6,1,4
microsoft_tf2-gnn.tf2_gnn.cli,test,,run_from_args,12,1,1
microsoft_tf2-gnn.tf2_gnn.cli,test,,run,38,1,0
microsoft_tf2-gnn.tf2_gnn.cli,train,,run,18,4,0
microsoft_tf2-gnn.tf2_gnn.cli_utils,dataset_utils,,get_model_file_path,10,2,2
microsoft_tf2-gnn.tf2_gnn.cli_utils,dataset_utils,,load_dataset_for_prediction,8,1,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,dataset_utils,,get_dataset,28,6,6
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,_get_name_to_variable_map,16,4,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,save_model,26,3,5
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,_read_weights_from_hdf5,17,3,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,backward_compat_weight_renaming_fn,4,2,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,load_weights_verbosely,27,10,5
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,load_dataset_for_prediction,8,1,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,load_model_for_prediction,15,1,3
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,get_model,30,6,9
microsoft_tf2-gnn.tf2_gnn.cli_utils,model_utils,,get_model_and_dataset,68,15,10
microsoft_tf2-gnn.tf2_gnn.cli_utils,param_helpers,,to_bool,5,1,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,param_helpers,,str_to_list_of_ints,6,1,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,param_helpers,,override_model_params_with_hyperdrive_params,20,9,2
microsoft_tf2-gnn.tf2_gnn.cli_utils,task_utils,,register_task,8,1,5
microsoft_tf2-gnn.tf2_gnn.cli_utils,task_utils,,clear_known_tasks,2,1,0
microsoft_tf2-gnn.tf2_gnn.cli_utils,task_utils,,get_known_tasks,3,2,0
microsoft_tf2-gnn.tf2_gnn.cli_utils,task_utils,,task_name_to_dataset_class,7,2,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,task_utils,,task_name_to_model_class,7,2,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,training_utils,,make_run_id,5,1,3
microsoft_tf2-gnn.tf2_gnn.cli_utils,training_utils,,log_line,4,1,2
microsoft_tf2-gnn.tf2_gnn.cli_utils,training_utils,,train_loop,49,5,9
microsoft_tf2-gnn.tf2_gnn.cli_utils,training_utils,,train,18,1,9
microsoft_tf2-gnn.tf2_gnn.cli_utils,training_utils,,unwrap_tf_tracked_data,7,1,1
microsoft_tf2-gnn.tf2_gnn.cli_utils,training_utils,,run_train_from_args,67,7,2
microsoft_tf2-gnn.tf2_gnn.cli_utils,training_utils,,get_train_cli_arg_parser,122,3,1
microsoft_tf2-gnn.tf2_gnn.data,graph_dataset,GraphSample,__init__,5,1,3
microsoft_tf2-gnn.tf2_gnn.data,graph_dataset,GraphSample,adjacency_lists,2,1,0
microsoft_tf2-gnn.tf2_gnn.data,graph_dataset,GraphSample,type_to_node_to_num_inedges,2,1,0
microsoft_tf2-gnn.tf2_gnn.data,graph_dataset,GraphSample,node_features,2,1,0
microsoft_tf2-gnn.tf2_gnn.data,graph_dataset,GraphDataset,get_default_hyperparameters,4,1,1
microsoft_tf2-gnn.tf2_gnn.data,graph_dataset,GraphDataset,__init__,4,1,3
microsoft_tf2-gnn.tf2_gnn.data,graph_dataset,GraphDataset,name,2,1,0
microsoft_tf2-gnn.tf2_gnn.data,graph_dataset,GraphDataset,params,2,1,0
