Package,Module,Class,Function,LOC,CC,PC
mljar_mljar-supervised.supervised,automl,AutoML,__init__,35,1,30
mljar_mljar-supervised.supervised,automl,AutoML,fit,10,2,5
mljar_mljar-supervised.supervised,automl,AutoML,predict,4,1,1
mljar_mljar-supervised.supervised,automl,AutoML,predict_proba,5,1,1
mljar_mljar-supervised.supervised,automl,AutoML,predict_all,5,1,1
mljar_mljar-supervised.supervised,automl,AutoML,score,3,1,3
mljar_mljar-supervised.supervised,automl,AutoML,report,2,1,2
mljar_mljar-supervised.supervised,automl,AutoML,need_retrain,3,1,4
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,__init__,50,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_tuner_params,6,1,3
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_check_can_load,8,4,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,load,98,14,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,get_leaderboard,43,14,2
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,keep_model,32,6,2
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,create_dir,6,3,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_expected_learners_cnt,8,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,train_model,41,2,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,verbose_print,4,2,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,ensemble_step,27,2,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,can_we_stack_them,2,1,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,get_stacked_data,25,5,2
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_perform_model_stacking,23,6,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,get_stacking_minimum_time_needed,7,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,prepare_for_stacking,56,5,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_save_data,39,8,5
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_handle_drastic_imbalance,40,10,4
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_save_data_info,25,4,4
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,save_progress,11,3,2
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,load_progress,11,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_X_predict,7,2,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_build_dataframe,71,16,4
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_apply_constraints,48,24,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_fastest_validation,5,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_set_adjusted_validation,44,7,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_apply_constraints_stack_models,24,11,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_fit,272,34,5
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_update_errors_report,12,1,2
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,select_and_save_best,122,18,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,get_ensemble_models,7,1,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,models_needed_on_predict,36,3,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_base_predict,61,14,2
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_predict,7,1,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_predict_proba,6,2,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_predict_all,2,1,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_score,9,2,3
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_mode,3,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_ml_task,15,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_results_path,33,8,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_total_time_limit,5,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_model_time_limit,3,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_algorithms,44,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_train_ensemble,3,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_stack_models,9,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_eval_metric,14,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_validation_strategy,37,8,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_verbose,3,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_explain_level,13,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_golden_features,13,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_features_selection,13,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_start_random_models,13,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_hill_climbing_steps,13,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_top_models_to_improve,13,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_boost_on_errors,16,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_kmeans_features,13,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_mix_encoding,13,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_max_single_prediction_time,8,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_optuna_time_budget,11,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_optuna_init_params,6,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_optuna_verbose,5,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_n_jobs,3,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_random_state,3,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_mode,6,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_ml_task,7,4,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_results_path,6,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_total_time_limit,5,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_model_time_limit,3,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_algorithms,8,5,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_train_ensemble,2,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_stack_models,4,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_eval_metric,38,9,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_validation_strategy,13,5,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_verbose,2,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_explain_level,11,5,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_golden_features,6,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_features_selection,7,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_start_random_models,7,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_hill_climbing_steps,7,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_top_models_to_improve,7,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_boost_on_errors,4,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_kmeans_features,4,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_mix_encoding,4,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_max_single_prediction_time,6,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_optuna_time_budget,4,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_optuna_init_params,7,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_optuna_verbose,4,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_n_jobs,2,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_random_state,2,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_validate_fairness_metric,23,7,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_fairness_metric,11,2,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_fairness_threshold,24,3,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_privileged_groups,5,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_get_underprivileged_groups,5,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,to_json,8,1,0
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,from_json,9,2,1
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_md_to_html,55,13,4
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_show_report,7,1,3
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_report,52,3,2
mljar_mljar-supervised.supervised,base_automl,BaseAutoML,_need_retrain,25,3,4
mljar_mljar-supervised.supervised,ensemble,Ensemble,__init__,30,1,8
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_train_time,2,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_final_loss,2,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,is_valid,2,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,is_fast_enough,6,1,1
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_type,3,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_name,2,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,involved_model_names,7,3,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_metric_name,2,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_metric,2,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_out_of_folds,14,2,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,_get_mean,6,2,3
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_oof_matrix,42,12,1
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_additional_metrics,40,5,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_sensitive_features_names,4,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_fairness_metric,4,1,1
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_fairness_optimization,4,1,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_worst_fairness,22,6,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,get_best_fairness,18,6,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,is_fair,13,3,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,fit,78,15,4
mljar_mljar-supervised.supervised,ensemble,Ensemble,predict,40,5,2
mljar_mljar-supervised.supervised,ensemble,Ensemble,to_json,14,2,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,from_json,19,2,1
mljar_mljar-supervised.supervised,ensemble,Ensemble,save,34,3,2
mljar_mljar-supervised.supervised,ensemble,Ensemble,model_markdown,13,2,0
mljar_mljar-supervised.supervised,ensemble,Ensemble,load,21,3,3
mljar_mljar-supervised.supervised,exceptions,AutoMLException,__init__,3,1,1
mljar_mljar-supervised.supervised,exceptions,NotTrainedException,__init__,3,1,1
mljar_mljar-supervised.supervised,model_framework,ModelFramework,__init__,40,3,2
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_train_time,2,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,predictions,38,5,10
mljar_mljar-supervised.supervised,model_framework,ModelFramework,train,185,12,2
mljar_mljar-supervised.supervised,model_framework,ModelFramework,release_learners,5,3,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_metric_name,8,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_metric,5,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_out_of_folds,22,3,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_final_loss,8,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_type,2,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_name,2,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,involved_model_names,2,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,is_valid,3,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,is_fast_enough,6,1,1
mljar_mljar-supervised.supervised,model_framework,ModelFramework,predict,17,4,1
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_additional_metrics,45,6,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_sensitive_features_names,4,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_fairness_metric,4,1,1
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_fairness_optimization,4,1,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_worst_fairness,22,6,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,get_best_fairness,18,6,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,is_fair,13,3,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,save,54,4,2
mljar_mljar-supervised.supervised,model_framework,ModelFramework,model_markdown,24,6,0
mljar_mljar-supervised.supervised,model_framework,ModelFramework,load,41,6,3
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,__init__,9,1,1
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,set_learner_name,2,1,3
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,is_fitted,2,1,0
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,reload,3,3,0
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,fit,2,1,8
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,predict,2,1,1
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,predict_proba,5,2,1
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,update,2,1,1
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,copy,2,1,0
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,save,2,1,1
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,load,2,1,1
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,get_fname,2,1,0
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,interpret,26,4,11
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,get_metric_name,2,1,0
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,get_params,12,3,0
mljar_mljar-supervised.supervised.algorithms,algorithm,BaseAlgorithm,set_params,14,2,2
mljar_mljar-supervised.supervised.algorithms,baseline,BaselineClassifierAlgorithm,__init__,8,1,1
mljar_mljar-supervised.supervised.algorithms,baseline,BaselineClassifierAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,baseline,BaselineClassifierAlgorithm,is_fitted,6,2,0
mljar_mljar-supervised.supervised.algorithms,baseline,BaselineRegressorAlgorithm,__init__,6,1,1
mljar_mljar-supervised.supervised.algorithms,baseline,BaselineRegressorAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,baseline,BaselineRegressorAlgorithm,is_fitted,6,2,0
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,__init__,61,11,1
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,_assess_iterations,25,2,5
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,fit,85,18,8
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,is_fitted,2,2,0
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,predict,7,1,1
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,copy,2,1,0
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,save,4,1,1
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,load,7,2,1
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,catboost,CatBoostAlgorithm,get_metric_name,23,1,0
mljar_mljar-supervised.supervised.algorithms,catboost,,catboost_eval_metric,27,1,2
mljar_mljar-supervised.supervised.algorithms,catboost,,catboost_objective,17,4,2
mljar_mljar-supervised.supervised.algorithms,decision_tree,DecisionTreeAlgorithm,__init__,10,1,1
mljar_mljar-supervised.supervised.algorithms,decision_tree,DecisionTreeAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,decision_tree,DecisionTreeAlgorithm,interpret,41,3,11
mljar_mljar-supervised.supervised.algorithms,decision_tree,DecisionTreeRegressorAlgorithm,__init__,10,1,1
mljar_mljar-supervised.supervised.algorithms,decision_tree,DecisionTreeRegressorAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,decision_tree,DecisionTreeRegressorAlgorithm,interpret,48,4,11
mljar_mljar-supervised.supervised.algorithms,decision_tree,,get_rules,42,6,3
mljar_mljar-supervised.supervised.algorithms,decision_tree,,save_rules,9,3,5
mljar_mljar-supervised.supervised.algorithms,extra_trees,ExtraTreesAlgorithm,__init__,19,1,1
mljar_mljar-supervised.supervised.algorithms,extra_trees,ExtraTreesAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,extra_trees,ExtraTreesRegressorAlgorithm,__init__,21,1,1
mljar_mljar-supervised.supervised.algorithms,extra_trees,ExtraTreesRegressorAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,factory,AlgorithmFactory,get_algorithm,8,2,2
mljar_mljar-supervised.supervised.algorithms,factory,AlgorithmFactory,load,6,2,4
mljar_mljar-supervised.supervised.algorithms,knn,KNNFit,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,knn,KNNFit,is_fitted,6,2,0
mljar_mljar-supervised.supervised.algorithms,knn,KNNFit,fit,9,2,8
mljar_mljar-supervised.supervised.algorithms,knn,KNNFit,_classes,5,1,0
mljar_mljar-supervised.supervised.algorithms,knn,KNeighborsAlgorithm,__init__,11,1,1
mljar_mljar-supervised.supervised.algorithms,knn,KNeighborsRegressorAlgorithm,__init__,11,1,1
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,__init__,59,15,1
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,update,2,1,1
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,fit,66,7,8
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,is_fitted,2,1,0
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,predict,3,1,1
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,copy,3,1,0
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,save,4,1,1
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,load,4,1,1
mljar_mljar-supervised.supervised.algorithms,lightgbm,LightgbmAlgorithm,get_metric_name,12,1,0
mljar_mljar-supervised.supervised.algorithms,lightgbm,,lightgbm_objective,9,3,2
mljar_mljar-supervised.supervised.algorithms,lightgbm,,lightgbm_eval_metric,38,2,2
mljar_mljar-supervised.supervised.algorithms,linear,LinearAlgorithm,__init__,8,1,1
mljar_mljar-supervised.supervised.algorithms,linear,LinearAlgorithm,is_fitted,6,2,0
mljar_mljar-supervised.supervised.algorithms,linear,LinearAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,linear,LinearAlgorithm,interpret,46,5,11
mljar_mljar-supervised.supervised.algorithms,linear,LinearRegressorAlgorithm,__init__,6,1,1
mljar_mljar-supervised.supervised.algorithms,linear,LinearRegressorAlgorithm,is_fitted,6,2,0
mljar_mljar-supervised.supervised.algorithms,linear,LinearRegressorAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,linear,LinearRegressorAlgorithm,interpret,30,2,11
mljar_mljar-supervised.supervised.algorithms,nn,NNFit,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,nn,NNFit,is_fitted,6,2,0
mljar_mljar-supervised.supervised.algorithms,nn,NNFit,fit,18,3,8
mljar_mljar-supervised.supervised.algorithms,nn,MLPAlgorithm,__init__,21,1,1
mljar_mljar-supervised.supervised.algorithms,nn,MLPAlgorithm,get_metric_name,2,1,0
mljar_mljar-supervised.supervised.algorithms,nn,MLPRegressorAlgorithm,__init__,21,1,1
mljar_mljar-supervised.supervised.algorithms,nn,MLPRegressorAlgorithm,get_metric_name,2,1,0
mljar_mljar-supervised.supervised.algorithms,random_forest,RandomForestAlgorithm,__init__,19,1,1
mljar_mljar-supervised.supervised.algorithms,random_forest,RandomForestAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,random_forest,RandomForestRegressorAlgorithm,__init__,21,1,1
mljar_mljar-supervised.supervised.algorithms,random_forest,RandomForestRegressorAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,registry,AlgorithmsRegistry,add,11,1,6
mljar_mljar-supervised.supervised.algorithms,registry,AlgorithmsRegistry,get_supported_ml_tasks,2,1,0
mljar_mljar-supervised.supervised.algorithms,registry,AlgorithmsRegistry,get_algorithm_class,2,1,2
mljar_mljar-supervised.supervised.algorithms,registry,AlgorithmsRegistry,get_long_name,4,1,2
mljar_mljar-supervised.supervised.algorithms,registry,AlgorithmsRegistry,get_max_rows_limit,4,1,2
mljar_mljar-supervised.supervised.algorithms,registry,AlgorithmsRegistry,get_max_cols_limit,4,1,2
mljar_mljar-supervised.supervised.algorithms,registry,AlgorithmsRegistry,get_eval_metric,4,1,3
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnAlgorithm,__init__,2,1,1
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnAlgorithm,fit,6,2,8
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnAlgorithm,copy,2,1,0
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnAlgorithm,save,4,1,1
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnAlgorithm,load,4,1,1
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnAlgorithm,is_fitted,6,2,0
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnAlgorithm,predict,7,1,1
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnTreesEnsembleClassifierAlgorithm,__init__,12,2,1
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnTreesEnsembleClassifierAlgorithm,fit,69,12,8
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnTreesEnsembleClassifierAlgorithm,get_metric_name,2,1,0
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnTreesEnsembleRegressorAlgorithm,__init__,4,1,1
mljar_mljar-supervised.supervised.algorithms,sklearn,SklearnTreesEnsembleRegressorAlgorithm,get_metric_name,2,1,0
mljar_mljar-supervised.supervised.algorithms,sklearn,,predict_proba_function_binary,2,1,2
mljar_mljar-supervised.supervised.algorithms,sklearn,,predict_proba_function_multiclass,2,1,2
mljar_mljar-supervised.supervised.algorithms,sklearn,,predict_function,2,1,2
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithmException,__init__,3,1,1
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,__init__,50,14,1
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,fit,74,9,8
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,is_fitted,2,1,0
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,predict,14,3,1
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,copy,2,1,0
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,save,4,1,1
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,load,5,1,1
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,file_extension,2,1,0
mljar_mljar-supervised.supervised.algorithms,xgboost,XgbAlgorithm,get_metric_name,7,1,0
mljar_mljar-supervised.supervised.algorithms,xgboost,,time_constraint,2,1,1
mljar_mljar-supervised.supervised.algorithms,xgboost,,xgboost_eval_metric,6,3,2
mljar_mljar-supervised.supervised.algorithms,xgboost,,xgboost_objective,9,3,2
mljar_mljar-supervised.supervised.callbacks,callback,Callback,__init__,5,1,1
mljar_mljar-supervised.supervised.callbacks,callback,Callback,add_and_set_learner,3,1,1
mljar_mljar-supervised.supervised.callbacks,callback,Callback,on_learner_train_start,2,1,1
mljar_mljar-supervised.supervised.callbacks,callback,Callback,on_learner_train_end,2,1,1
mljar_mljar-supervised.supervised.callbacks,callback,Callback,on_iteration_start,2,1,1
mljar_mljar-supervised.supervised.callbacks,callback,Callback,on_iteration_end,2,1,2
mljar_mljar-supervised.supervised.callbacks,callback,Callback,on_framework_train_end,2,1,1
mljar_mljar-supervised.supervised.callbacks,callback_list,CallbackList,__init__,2,1,1
mljar_mljar-supervised.supervised.callbacks,callback_list,CallbackList,add_and_set_learner,3,2,1
mljar_mljar-supervised.supervised.callbacks,callback_list,CallbackList,on_learner_train_start,3,2,1
mljar_mljar-supervised.supervised.callbacks,callback_list,CallbackList,on_learner_train_end,3,2,1
mljar_mljar-supervised.supervised.callbacks,callback_list,CallbackList,on_iteration_start,3,2,1
mljar_mljar-supervised.supervised.callbacks,callback_list,CallbackList,on_iteration_end,3,2,2
mljar_mljar-supervised.supervised.callbacks,callback_list,CallbackList,on_framework_train_end,3,2,1
