Package,Module,Class,Function,LOC,CC,PC
mlmed_torchxrayvision.scripts,dataset_utils,,get_data,102,16,8
mlmed_torchxrayvision.scripts,train_utils,,tqdm,5,3,0
mlmed_torchxrayvision.scripts,train_utils,,train,96,8,3
mlmed_torchxrayvision.scripts,train_utils,,train_epoch,66,13,8
mlmed_torchxrayvision.scripts,train_utils,,valid_test_epoch,55,10,7
mlmed_torchxrayvision.scripts,train_utils_ae,,tqdm,5,3,0
mlmed_torchxrayvision.scripts,train_utils_ae,,train,118,16,3
mlmed_torchxrayvision.scripts,train_utils_ae,,train_epoch,32,5,8
mlmed_torchxrayvision.scripts,train_utils_ae,,valid_test_epoch,29,5,7
mlmed_torchxrayvision.scripts.CrossReferenceWithNIH,utils,,draw_confusion_matrix,35,6,7
mlmed_torchxrayvision.tests,test_baseline_models,,test_baselinemodels_load,3,1,0
mlmed_torchxrayvision.tests,test_baseline_models,,test_baselinemodel_jfhealthcare_function,9,1,0
mlmed_torchxrayvision.tests,test_baseline_models,,test_baselinemodel_emory_hiti_function,9,1,0
mlmed_torchxrayvision.tests,test_baseline_models,,test_baselinemodel_riken_age_function,10,2,0
mlmed_torchxrayvision.tests,test_baseline_models,,test_baselinemodel_xinario_function,9,1,0
mlmed_torchxrayvision.tests,test_baseline_models_seg,,test_baselinemodel_pretrained,7,1,0
mlmed_torchxrayvision.tests,test_covid_dataloader,,resource,7,1,1
mlmed_torchxrayvision.tests,test_covid_dataloader,,test_covid_dataloader_basic,5,1,0
mlmed_torchxrayvision.tests,test_covid_dataloader,,test_covid_dataloader_get,7,2,0
mlmed_torchxrayvision.tests,test_dataloaders,,is_pydicom_installed,6,1,0
mlmed_torchxrayvision.tests,test_dataloaders,,get_clazz_imgpath,2,1,1
mlmed_torchxrayvision.tests,test_dataloaders,,create_test_img,4,1,3
mlmed_torchxrayvision.tests,test_dataloaders,,create_test_images,10,2,1
mlmed_torchxrayvision.tests,test_dataloaders,,test_dataloader_basic,12,4,2
mlmed_torchxrayvision.tests,test_dataloaders,,test_dataloader_merging,10,5,1
mlmed_torchxrayvision.tests,test_dataloaders,,test_dataloader_merging_dups,12,5,0
mlmed_torchxrayvision.tests,test_dataloaders,,test_dataloader_merging_incorrect_alignment,16,1,0
mlmed_torchxrayvision.tests,test_dataloaders,,test_dataloader_relabelling,4,1,1
mlmed_torchxrayvision.tests,test_dataloaders,,test_errors_when_doing_things_that_should_not_work,32,3,0
mlmed_torchxrayvision.tests,test_dicom_reader,,test_dicomreader_end2end,9,2,5
mlmed_torchxrayvision.tests,test_dicom_reader,,test_dicomreader_photometric_interpretation,4,1,0
mlmed_torchxrayvision.tests,test_models,,test_model_basic,2,1,0
mlmed_torchxrayvision.tests,test_models,,test_model_pretrained,4,1,0
mlmed_torchxrayvision.tests,test_models,,test_model_function,11,2,0
mlmed_torchxrayvision.tests,test_models,,test_autoencoder_pretrained,2,1,0
mlmed_torchxrayvision.tests,test_models,,test_autoencoder_function,7,1,0
mlmed_torchxrayvision.tests,test_models,,test_autoencoder_resolution_check,4,1,0
mlmed_torchxrayvision.tests,test_models,,test_num_classes,9,3,0
mlmed_torchxrayvision.tests,test_models,,test_normalization_check,32,4,0
mlmed_torchxrayvision.torchxrayvision,autoencoders,Bottleneck,__init__,13,1,5
mlmed_torchxrayvision.torchxrayvision,autoencoders,Bottleneck,forward,16,2,1
mlmed_torchxrayvision.torchxrayvision,autoencoders,DeconvBottleneck,__init__,21,2,5
mlmed_torchxrayvision.torchxrayvision,autoencoders,DeconvBottleneck,forward,16,2,1
mlmed_torchxrayvision.torchxrayvision,autoencoders,_ResNetAE,__init__,21,1,4
mlmed_torchxrayvision.torchxrayvision,autoencoders,_ResNetAE,__repr__,5,1,0
mlmed_torchxrayvision.torchxrayvision,autoencoders,_ResNetAE,_make_downlayer,13,4,4
mlmed_torchxrayvision.torchxrayvision,autoencoders,_ResNetAE,_make_up_block,13,4,4
mlmed_torchxrayvision.torchxrayvision,autoencoders,_ResNetAE,encode,14,4,2
mlmed_torchxrayvision.torchxrayvision,autoencoders,_ResNetAE,features,2,1,1
mlmed_torchxrayvision.torchxrayvision,autoencoders,_ResNetAE,decode,8,1,2
mlmed_torchxrayvision.torchxrayvision,autoencoders,_ResNetAE,forward,5,1,1
mlmed_torchxrayvision.torchxrayvision,autoencoders,,ResNetAE50,2,1,0
mlmed_torchxrayvision.torchxrayvision,autoencoders,,ResNetAE101,2,1,0
mlmed_torchxrayvision.torchxrayvision,autoencoders,,ResNetAE,32,5,2
mlmed_torchxrayvision.torchxrayvision,datasets,Dataset,__init__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,Dataset,totals,4,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,Dataset,__repr__,6,2,0
mlmed_torchxrayvision.torchxrayvision,datasets,Dataset,check_paths_exist,5,3,0
mlmed_torchxrayvision.torchxrayvision,datasets,Dataset,limit_to_selected_views,11,4,1
mlmed_torchxrayvision.torchxrayvision,datasets,MergeDataset,__init__,32,7,3
mlmed_torchxrayvision.torchxrayvision,datasets,MergeDataset,__setattr__,6,3,2
mlmed_torchxrayvision.torchxrayvision,datasets,MergeDataset,string,8,3,0
mlmed_torchxrayvision.torchxrayvision,datasets,MergeDataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,MergeDataset,__getitem__,5,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,FilterDataset,__init__,12,3,2
mlmed_torchxrayvision.torchxrayvision,datasets,FilterDataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,FilterDataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,FilterDataset,__getitem__,2,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,SubsetDataset,__init__,11,2,2
mlmed_torchxrayvision.torchxrayvision,datasets,SubsetDataset,__setattr__,6,3,2
mlmed_torchxrayvision.torchxrayvision,datasets,SubsetDataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,SubsetDataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,SubsetDataset,__getitem__,2,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Dataset,__init__,43,5,9
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Dataset,__getitem__,13,2,1
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Dataset,get_mask_dict,21,3,2
mlmed_torchxrayvision.torchxrayvision,datasets,RSNA_Pneumonia_Dataset,__init__,31,3,10
mlmed_torchxrayvision.torchxrayvision,datasets,RSNA_Pneumonia_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,RSNA_Pneumonia_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,RSNA_Pneumonia_Dataset,__getitem__,21,4,1
mlmed_torchxrayvision.torchxrayvision,datasets,RSNA_Pneumonia_Dataset,get_mask_dict,23,4,2
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Google_Dataset,__init__,28,4,8
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Google_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Google_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,NIH_Google_Dataset,__getitem__,11,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,PC_Dataset,__init__,87,6,8
mlmed_torchxrayvision.torchxrayvision,datasets,PC_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,PC_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,PC_Dataset,__getitem__,11,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,CheX_Dataset,__init__,59,8,8
mlmed_torchxrayvision.torchxrayvision,datasets,CheX_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,CheX_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,CheX_Dataset,__getitem__,12,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,MIMIC_Dataset,__init__,45,4,8
mlmed_torchxrayvision.torchxrayvision,datasets,MIMIC_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,MIMIC_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,MIMIC_Dataset,__getitem__,13,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,Openi_Dataset,__init__,74,12,11
mlmed_torchxrayvision.torchxrayvision,datasets,Openi_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,Openi_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,Openi_Dataset,__getitem__,11,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,COVID19_Dataset,__init__,32,4,7
mlmed_torchxrayvision.torchxrayvision,datasets,COVID19_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,COVID19_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,COVID19_Dataset,__getitem__,13,2,1
mlmed_torchxrayvision.torchxrayvision,datasets,COVID19_Dataset,get_semantic_mask_dict,13,2,2
mlmed_torchxrayvision.torchxrayvision,datasets,NLMTB_Dataset,__init__,19,3,5
mlmed_torchxrayvision.torchxrayvision,datasets,NLMTB_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,NLMTB_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,NLMTB_Dataset,__getitem__,11,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,SIIM_Pneumothorax_Dataset,__init__,26,5,7
mlmed_torchxrayvision.torchxrayvision,datasets,SIIM_Pneumothorax_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,SIIM_Pneumothorax_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,SIIM_Pneumothorax_Dataset,__getitem__,17,3,1
mlmed_torchxrayvision.torchxrayvision,datasets,SIIM_Pneumothorax_Dataset,get_pathology_mask_dict,38,5,2
mlmed_torchxrayvision.torchxrayvision,datasets,VinBrain_Dataset,__init__,44,5,7
mlmed_torchxrayvision.torchxrayvision,datasets,VinBrain_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,VinBrain_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,VinBrain_Dataset,__getitem__,30,6,1
mlmed_torchxrayvision.torchxrayvision,datasets,VinBrain_Dataset,get_mask_dict,14,7,2
mlmed_torchxrayvision.torchxrayvision,datasets,StonyBrookCOVID_Dataset,__init__,23,1,6
mlmed_torchxrayvision.torchxrayvision,datasets,StonyBrookCOVID_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,StonyBrookCOVID_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,StonyBrookCOVID_Dataset,__getitem__,10,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,ObjectCXR_Dataset,__init__,17,1,5
mlmed_torchxrayvision.torchxrayvision,datasets,ObjectCXR_Dataset,string,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,ObjectCXR_Dataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,ObjectCXR_Dataset,__getitem__,11,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,ToPILImage,__init__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,ToPILImage,__call__,2,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,XRayResizer,__init__,5,2,2
mlmed_torchxrayvision.torchxrayvision,datasets,XRayResizer,__call__,13,2,1
mlmed_torchxrayvision.torchxrayvision,datasets,XRayCenterCrop,crop_center,6,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,XRayCenterCrop,__call__,2,1,1
mlmed_torchxrayvision.torchxrayvision,datasets,CovariateDataset,__init__,115,9,10
mlmed_torchxrayvision.torchxrayvision,datasets,CovariateDataset,__repr__,3,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,CovariateDataset,__len__,2,1,0
mlmed_torchxrayvision.torchxrayvision,datasets,CovariateDataset,__getitem__,10,2,1
mlmed_torchxrayvision.torchxrayvision,datasets,,normalize,3,1,3
mlmed_torchxrayvision.torchxrayvision,datasets,,apply_transforms,22,7,3
mlmed_torchxrayvision.torchxrayvision,datasets,,relabel_dataset,20,6,3
mlmed_torchxrayvision.torchxrayvision,models,Model,features,3,1,1
mlmed_torchxrayvision.torchxrayvision,models,Model,forward,3,1,1
mlmed_torchxrayvision.torchxrayvision,models,_DenseLayer,__init__,11,1,4
mlmed_torchxrayvision.torchxrayvision,models,_DenseLayer,forward,5,2,1
mlmed_torchxrayvision.torchxrayvision,models,_DenseBlock,__init__,5,2,5
mlmed_torchxrayvision.torchxrayvision,models,_Transition,__init__,7,1,2
mlmed_torchxrayvision.torchxrayvision,models,DenseNet,__init__,64,15,11
mlmed_torchxrayvision.torchxrayvision,models,DenseNet,__repr__,5,1,0
mlmed_torchxrayvision.torchxrayvision,models,DenseNet,features2,7,1,1
mlmed_torchxrayvision.torchxrayvision,models,DenseNet,forward,11,5,1
mlmed_torchxrayvision.torchxrayvision,models,ResNet,__init__,28,6,3
mlmed_torchxrayvision.torchxrayvision,models,ResNet,__repr__,5,1,0
mlmed_torchxrayvision.torchxrayvision,models,ResNet,features,14,1,1
mlmed_torchxrayvision.torchxrayvision,models,ResNet,forward,10,5,1
mlmed_torchxrayvision.torchxrayvision,models,,op_norm,9,1,2
mlmed_torchxrayvision.torchxrayvision,models,,get_densenet_params,12,4,1
mlmed_torchxrayvision.torchxrayvision,models,,get_model,7,2,1
mlmed_torchxrayvision.torchxrayvision,models,,get_weights,16,4,2
mlmed_torchxrayvision.torchxrayvision,utils,,get_cache_dir,2,1,0
mlmed_torchxrayvision.torchxrayvision,utils,,in_notebook,10,1,0
mlmed_torchxrayvision.torchxrayvision,utils,,download,17,3,2
mlmed_torchxrayvision.torchxrayvision,utils,,normalize,14,5,3
mlmed_torchxrayvision.torchxrayvision,utils,,load_image,9,3,1
mlmed_torchxrayvision.torchxrayvision,utils,,read_xray_dcm,18,6,3
mlmed_torchxrayvision.torchxrayvision,utils,,infer,14,2,4
mlmed_torchxrayvision.torchxrayvision,utils,,fix_resolution,12,4,3
mlmed_torchxrayvision.torchxrayvision,utils,,warn_normalization,12,4,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det,__init__,PSPNet,__init__,30,4,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det,__init__,PSPNet,forward,8,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det,__init__,PSPNet,__repr__,2,1,0
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det,__init__,,_convert_state_dict,7,2,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,pspnet,pspnet,__init__,34,1,4
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,pspnet,pspnet,forward,22,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,conv2DBatchNorm,__init__,13,2,8
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,conv2DBatchNorm,forward,3,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,conv2DGroupNorm,__init__,11,1,8
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,conv2DGroupNorm,forward,3,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,deconv2DBatchNorm,__init__,13,1,6
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,deconv2DBatchNorm,forward,3,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,conv2DBatchNormRelu,__init__,15,2,8
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,conv2DBatchNormRelu,forward,3,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,conv2DGroupNormRelu,__init__,12,1,8
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,conv2DGroupNormRelu,forward,3,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,deconv2DBatchNormRelu,__init__,14,1,6
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,deconv2DBatchNormRelu,forward,3,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,unetConv2,__init__,18,2,3
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,unetConv2,forward,4,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,unetUp,__init__,7,2,3
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,unetUp,forward,6,1,2
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,segnetDown2,__init__,5,1,2
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,segnetDown2,forward,6,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,segnetDown3,__init__,6,1,2
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,segnetDown3,forward,7,1,1
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,segnetUp2,__init__,5,1,2
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,segnetUp2,forward,5,1,3
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,segnetUp3,__init__,6,1,2
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,segnetUp3,forward,6,1,3
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,residualBlock,__init__,9,1,4
mlmed_torchxrayvision.torchxrayvision.baseline_models.chestx_det.ptsemseg,utils,residualBlock,forward,9,2,1
