Package,Module,Class,Smell,Function/Method,Line no,File,Details
mozilla_TTS,setup,,Long statement,,93,/Volumes/BrokeExt/NICHE/mozilla_TTS/setup.py,A line with 133 chars in setup exceeds the maximum length of 120 characters.
mozilla_TTS,setup,,Long statement,,95,/Volumes/BrokeExt/NICHE/mozilla_TTS/setup.py,A line with 1576 chars in setup exceeds the maximum length of 120 characters.
mozilla_TTS.TTS.bin,compute_attention_masks,,Long statement,,19,/Volumes/BrokeExt/NICHE/mozilla_TTS/TTS/bin/compute_attention_masks.py,A line with 913 chars in compute_attention_masks exceeds the maximum length of 120 characters.
mozilla_TTS.TTS.bin,compute_attention_masks,,Long statement,,49,/Volumes/BrokeExt/NICHE/mozilla_TTS/TTS/bin/compute_attention_masks.py,A line with 140 chars in compute_attention_masks exceeds the maximum length of 120 characters.
mozilla_TTS.TTS.bin,compute_attention_masks,,Long statement,,55,/Volumes/BrokeExt/NICHE/mozilla_TTS/TTS/bin/compute_attention_masks.py,A line with 142 chars in compute_attention_masks exceeds the maximum length of 120 characters.
mozilla_TTS.TTS.bin,compute_attention_masks,,Long statement,,71,/Volumes/BrokeExt/NICHE/mozilla_TTS/TTS/bin/compute_attention_masks.py,A line with 129 chars in compute_attention_masks exceeds the maximum length of 120 characters.
mozilla_TTS.TTS.bin,compute_attention_masks,,Long statement,,96,/Volumes/BrokeExt/NICHE/mozilla_TTS/TTS/bin/compute_attention_masks.py,A line with 380 chars in compute_attention_masks exceeds the maximum length of 120 characters.
mozilla_TTS.TTS.bin,compute_attention_masks,,Long statement,,109,/Volumes/BrokeExt/NICHE/mozilla_TTS/TTS/bin/compute_attention_masks.py,A line with 134 chars in compute_attention_masks exceeds the maximum length of 120 characters.
mozilla_TTS.TTS.bin,compute_attention_masks,,Long statement,,143,/Volumes/BrokeExt/NICHE/mozilla_TTS/TTS/bin/compute_attention_masks.py,A line with 216 chars in compute_attention_masks exceeds the maximum length of 120 characters.
mozilla_TTS.TTS.bin,compute_embeddings,,Long statement,,15,/Volumes/BrokeExt/NICHE/mozilla_TTS/TTS/bin/compute_embeddings.py,A line with 212 chars in compute_embeddings exceeds the maximum length of 120 characters.
