Package,Module,Class,Function,LOC,CC,PC
mozilla_fathom.cli.fathom_web,accuracy,,accuracy_per_tag,14,1,4
mozilla_fathom.cli.fathom_web,accuracy,,per_tag_metrics,30,11,3
mozilla_fathom.cli.fathom_web,accuracy,,max_default,5,1,2
mozilla_fathom.cli.fathom_web,accuracy,,print_per_tag_report,50,6,1
mozilla_fathom.cli.fathom_web,accuracy,,confidence_interval,7,2,2
mozilla_fathom.cli.fathom_web,accuracy,,thermometer,5,1,1
mozilla_fathom.cli.fathom_web,accuracy,,pretty_accuracy,34,3,6
mozilla_fathom.cli.fathom_web,utils,,tensor,2,1,1
mozilla_fathom.cli.fathom_web,utils,,tensors_from,17,5,2
mozilla_fathom.cli.fathom_web,utils,,classifier,12,3,3
mozilla_fathom.cli.fathom_web,utils,,mini_histogram,9,1,1
mozilla_fathom.cli.fathom_web,utils,,speed_readout,5,1,1
mozilla_fathom.cli.fathom_web,utils,,fit_unicode,11,4,2
mozilla_fathom.cli.fathom_web,utils,,samples_from_dir,10,3,1
mozilla_fathom.cli.fathom_web,utils,,read_chunks,6,3,2
mozilla_fathom.cli.fathom_web,utils,,path_or_none,2,1,3
mozilla_fathom.cli.fathom_web,vectorizer,SilentRequestHandler,log_message,2,1,1
mozilla_fathom.cli.fathom_web,vectorizer,SilentHTTPServer,handle_error,9,2,2
mozilla_fathom.cli.fathom_web,vectorizer,,make_or_find_vectors,25,4,8
mozilla_fathom.cli.fathom_web,vectorizer,,out_of_date,26,6,3
mozilla_fathom.cli.fathom_web,vectorizer,,vectorize,13,1,8
mozilla_fathom.cli.fathom_web,vectorizer,,fathom_fox_addon,29,1,1
mozilla_fathom.cli.fathom_web,vectorizer,,add_cmd_if_windows,5,1,1
mozilla_fathom.cli.fathom_web,vectorizer,,remove_old_fathom_caches,24,4,2
mozilla_fathom.cli.fathom_web,vectorizer,,locked_cached_fathom,70,4,0
mozilla_fathom.cli.fathom_web,vectorizer,,zip_dir,4,2,2
mozilla_fathom.cli.fathom_web,vectorizer,,http_server,12,3,1
mozilla_fathom.cli.fathom_web,vectorizer,,serving,12,2,1
mozilla_fathom.cli.fathom_web,vectorizer,,running_firefox,52,4,3
mozilla_fathom.cli.fathom_web,vectorizer,,run_vectorizer,48,6,8
mozilla_fathom.cli.fathom_web,vectorizer,,get_fathom_fox_uuid,12,1,1
mozilla_fathom.cli.fathom_web,vectorizer,,extract_error_from,8,3,1
mozilla_fathom.cli.fathom_web,vectorizer,,wait_for_vectors_in,8,2,1
mozilla_fathom.cli.fathom_web,vectorizer,,retry,10,3,3
mozilla_fathom.cli.fathom_web,vectorizer,,hash_path,3,1,1
mozilla_fathom.cli.fathom_web,vectorizer,,hash_fathom,3,1,0
mozilla_fathom.cli.fathom_web,vectorizer,,hash_file,5,2,1
mozilla_fathom.cli.fathom_web,vectorizer,,fathom_zip,3,1,0
mozilla_fathom.cli.fathom_web,vectorizer,,cache_directory,8,3,0
mozilla_fathom.cli.fathom_web,vectorizer,,unlink_if_exists,5,2,1
mozilla_fathom.cli.fathom_web,vectorizer,,run,13,3,0
mozilla_fathom.cli.fathom_web.commands,__init__,,fathom,1,1,0
mozilla_fathom.cli.fathom_web.commands,extract,,extract,31,8,2
mozilla_fathom.cli.fathom_web.commands,extract,,extract_base64_data_from_html_page,42,3,1
mozilla_fathom.cli.fathom_web.commands,extract,,generate_filename,13,4,2
mozilla_fathom.cli.fathom_web.commands,extract,,decode,9,3,1
mozilla_fathom.cli.fathom_web.commands,fox,,fox,9,1,1
mozilla_fathom.cli.fathom_web.commands,fox,,ruleset_or_default,13,2,1
mozilla_fathom.cli.fathom_web.commands,histogram,,histogram,22,5,9
mozilla_fathom.cli.fathom_web.commands,histogram,,feature_metrics,25,4,5
mozilla_fathom.cli.fathom_web.commands,histogram,,print_feature_report,31,4,1
mozilla_fathom.cli.fathom_web.commands,histogram,,is_boolean_feature,2,1,1
mozilla_fathom.cli.fathom_web.commands,label,HTMLParserSubclass,__init__,4,1,1
mozilla_fathom.cli.fathom_web.commands,label,HTMLParserSubclass,handle_starttag,6,2,2
mozilla_fathom.cli.fathom_web.commands,label,,label,25,6,4
mozilla_fathom.cli.fathom_web.commands,label,,label_task,15,3,5
