Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
namisan_mt-dnn,calc_metrics,,17,3,1,1,16,16,0,0,1
namisan_mt-dnn,int_test_encoder,,31,3,1,1,8,8,0,0,0
namisan_mt-dnn,int_test_prepro_std,,16,3,2,2,6,6,0,0,0
namisan_mt-dnn,predict,,3,1,1,1,26,26,0,0,3
namisan_mt-dnn,prepare_distillation_data,,0,0,0,0,12,12,-1,0,1
namisan_mt-dnn,prepro_gen_std,,136,18,7,7,16,16,0.29,0,1
namisan_mt-dnn,prepro_std,,218,28,9,9,19,19,0.33,0,1
namisan_mt-dnn,pretrained_models,,0,0,0,0,1,1,-1,0,0
namisan_mt-dnn,train,,658,57,8,8,56,56,0.38,0,3
namisan_mt-dnn.data_utils,__init__,,75,14,2,2,9,9,1,0,0
namisan_mt-dnn.data_utils,log_wrapper,,23,3,1,1,3,3,0,0,0
namisan_mt-dnn.data_utils,metrics,,109,29,14,14,9,9,1,0,0
