Package,Module,Class,Smell,Function/Method,Line no,File,Details
nanoporetech_medaka,build,,Long statement,,43,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/build.py,A line with 689 chars in build exceeds the maximum length of 120 characters.
nanoporetech_medaka,build,,Long statement,,69,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/build.py,A line with 121 chars in build exceeds the maximum length of 120 characters.
nanoporetech_medaka.docs,conf,,Long statement,,26,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/docs/conf.py,A line with 123 chars in conf exceeds the maximum length of 120 characters.
nanoporetech_medaka.docs,conf,,Long statement,,200,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/docs/conf.py,A line with 135 chars in conf exceeds the maximum length of 120 characters.
nanoporetech_medaka.docs,conf,,Long statement,,244,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/docs/conf.py,A line with 172 chars in conf exceeds the maximum length of 120 characters.
nanoporetech_medaka.medaka,__init__,,Empty catch block,check_minimap2_version,33,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/medaka/__init__.py,Empty catch block found in check_minimap2_version.
nanoporetech_medaka.medaka,__init__,,Empty catch block,check_htslib_tool_version,57,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/medaka/__init__.py,Empty catch block found in check_htslib_tool_version.
nanoporetech_medaka.medaka,__init__,,Long statement,check_htslib_tool_version,40,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/medaka/__init__.py,A line with 280 chars in check_htslib_tool_version exceeds the maximum length of 120 characters.
nanoporetech_medaka.medaka,__init__,,Long statement,report_binaries,90,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/medaka/__init__.py,A line with 128 chars in report_binaries exceeds the maximum length of 120 characters.
nanoporetech_medaka.medaka,__init__,,Long statement,,10,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/medaka/__init__.py,A line with 154 chars in __init__ exceeds the maximum length of 120 characters.
nanoporetech_medaka.medaka,__init__,,Long statement,,16,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/medaka/__init__.py,A line with 153 chars in __init__ exceeds the maximum length of 120 characters.
nanoporetech_medaka.medaka,__init__,,Magic number,check_htslib_tool_version,39,/Volumes/BrokeExt/NICHE/nanoporetech_medaka/medaka/__init__.py,Magic number 2 used in check_htslib_tool_version.
