Package,Module,Class,Smell,Function/Method,Line no,File,Details
nerox8664_pytorch2keras,setup,,Long statement,,17,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/setup.py,A line with 740 chars in setup exceeds the maximum length of 120 characters.
nerox8664_pytorch2keras.pytorch2keras,converter,,Complex method,pytorch_to_keras,12 - 75,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/pytorch2keras/converter.py,"Method 'pytorch_to_keras' has a cyclomatic complexity of 8, exceeding the max of 6."
nerox8664_pytorch2keras.pytorch2keras,converter,,Long parameter list,pytorch_to_keras,12 - 75,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/pytorch2keras/converter.py,"pytorch_to_keras has 7 parameters, exceeding the max of 5."
nerox8664_pytorch2keras.pytorch2keras,converter,,Long statement,pytorch_to_keras,17,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/pytorch2keras/converter.py,A line with 441 chars in pytorch_to_keras exceeds the maximum length of 120 characters.
nerox8664_pytorch2keras.pytorch2keras,converter,,Long statement,pytorch_to_keras,67,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/pytorch2keras/converter.py,A line with 148 chars in pytorch_to_keras exceeds the maximum length of 120 characters.
nerox8664_pytorch2keras.pytorch2keras,converter,,Long statement,pytorch_to_keras,72,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/pytorch2keras/converter.py,A line with 173 chars in pytorch_to_keras exceeds the maximum length of 120 characters.
nerox8664_pytorch2keras.tests.layers,multiple_inputs,,Long statement,,40,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/tests/layers/multiple_inputs.py,A line with 132 chars in multiple_inputs exceeds the maximum length of 120 characters.
nerox8664_pytorch2keras.tests.layers,multiple_inputs,,Magic number,check_error,16,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/tests/layers/multiple_inputs.py,Magic number 1e-05 used in check_error.
nerox8664_pytorch2keras.tests.layers,upsample_nearest,TestUpsampleNearest2d,Magic number,__init__,12,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/tests/layers/upsample_nearest.py,Magic number 10 used in __init__.
nerox8664_pytorch2keras.tests.layers,upsample_nearest,TestUpsampleNearest2d,Magic number,__init__,12,/Volumes/BrokeExt/NICHE/nerox8664_pytorch2keras/tests/layers/upsample_nearest.py,Magic number 16 used in __init__.
