Package,Module,Class,Function,LOC,CC,PC
norse_norse.norse.benchmark,bindsnet_lif,BindsNetModule,__init__,21,1,1
norse_norse.norse.benchmark,bindsnet_lif,BindsNetModule,forward,5,1,1
norse_norse.norse.benchmark,bindsnet_lif,,lif_feed_forward_benchmark,20,1,1
norse_norse.norse.benchmark,genn_lif,,lif_feed_forward_benchmark,10,1,1
norse_norse.norse.benchmark,main,,benchmark,44,6,3
norse_norse.norse.benchmark,main,,collect,13,1,2
norse_norse.norse.benchmark,main,,main,33,5,1
norse_norse.norse.benchmark,main,,run_benchmark,18,1,3
norse_norse.norse.benchmark,norse_lif,LIFBenchmark,__init__,4,1,1
norse_norse.norse.benchmark,norse_lif,LIFBenchmark,forward,3,1,3
norse_norse.norse.benchmark,norse_lif,,lif_feed_forward_benchmark,49,2,1
norse_norse.norse.benchmark,plot,,plot_frames,3,1,2
norse_norse.norse.benchmark,plot,,save_frames,3,1,3
norse_norse.norse.benchmark,plot,,render_frames,34,4,2
norse_norse.norse.dataset,memory,MemoryStoreRecallDataset,__init__,19,1,8
norse_norse.norse.dataset,memory,MemoryStoreRecallDataset,__len__,2,1,0
norse_norse.norse.dataset,memory,MemoryStoreRecallDataset,_generate_sequence,33,0,2
norse_norse.norse.dataset,memory,MemoryStoreRecallDataset,__getitem__,8,1,1
norse_norse.norse.dataset,speech_commands,SpeechCommandsDataset,__init__,4,1,2
norse_norse.norse.dataset,speech_commands,SpeechCommandsDataset,__getitem__,7,1,1
norse_norse.norse.dataset,speech_commands,SpeechCommandsDataset,__len__,2,1,0
norse_norse.norse.dataset,speech_commands,,generate_background_noise,20,3,1
norse_norse.norse.dataset,speech_commands,,prepare_dataset,40,2,1
norse_norse.norse.dataset,speech_commands,,label_to_index,24,2,1
norse_norse.norse.dataset,spiking_heidelberg,SpikingHeidelbergDigitsDataset,__init__,13,2,5
norse_norse.norse.dataset,spiking_heidelberg,SpikingHeidelbergDigitsDataset,_check_integrity,9,3,0
norse_norse.norse.dataset,spiking_heidelberg,SpikingHeidelbergDigitsDataset,_bin_spikes,10,2,1
norse_norse.norse.dataset,spiking_heidelberg,SpikingHeidelbergDigitsDataset,download,9,3,0
norse_norse.norse.dataset,spiking_heidelberg,SpikingHeidelbergDigitsDataset,__iter__,9,1,0
norse_norse.norse.task,cartpole,ANNPolicy,__init__,9,1,0
norse_norse.norse.task,cartpole,ANNPolicy,forward,7,1,1
norse_norse.norse.task,cartpole,Policy,__init__,16,1,0
norse_norse.norse.task,cartpole,Policy,forward,18,2,1
norse_norse.norse.task,cartpole,LSNNPolicy,__init__,16,1,1
norse_norse.norse.task,cartpole,LSNNPolicy,forward,19,2,1
norse_norse.norse.task,cartpole,,select_action,7,1,3
norse_norse.norse.task,cartpole,,finish_episode,18,3,3
norse_norse.norse.task,cartpole,,main,59,11,1
norse_norse.norse.task,cifar10,LIFConvNet,__init__,34,1,7
norse_norse.norse.task,cifar10,LIFConvNet,forward,15,2,1
norse_norse.norse.task,cifar10,LIFConvNet,training_step,11,1,2
norse_norse.norse.task,cifar10,LIFConvNet,validation_step,8,1,2
norse_norse.norse.task,cifar10,LIFConvNet,test_step,8,1,2
norse_norse.norse.task,cifar10,LIFConvNet,training_epoch_end,3,2,1
norse_norse.norse.task,cifar10,LIFConvNet,configure_optimizers,16,2,0
norse_norse.norse.task,cifar10,LIFConvNet,__accuracy,14,2,3
norse_norse.norse.task,cifar10,,label_smoothing_loss,6,1,3
norse_norse.norse.task,cifar10,,main,32,1,1
norse_norse.norse.task,correlation_experiment,,main,113,3,0
norse_norse.norse.task,memory,LSNNLIFNet,__init__,10,1,4
norse_norse.norse.task,memory,LSNNLIFNet,forward,10,2,2
norse_norse.norse.task,memory,MemoryNet,__init__,37,3,3
norse_norse.norse.task,memory,MemoryNet,configure_optimizers,17,3,0
norse_norse.norse.task,memory,MemoryNet,forward,24,4,1
norse_norse.norse.task,memory,MemoryNet,test_step,26,2,2
norse_norse.norse.task,memory,MemoryNet,training_step,14,1,2
norse_norse.norse.task,memory,MemoryNet,validation_step,26,2,2
norse_norse.norse.task,memory,,_plot_run,64,2,4
norse_norse.norse.task,memory,,main,44,1,1
norse_norse.norse.task,mnist,LIFConvNet,__init__,8,1,5
norse_norse.norse.task,mnist,LIFConvNet,forward,20,4,1
norse_norse.norse.task,mnist,,train,60,10,13
norse_norse.norse.task,mnist,,test,24,2,6
norse_norse.norse.task,mnist,,save,10,1,5
norse_norse.norse.task,mnist,,load,6,1,3
norse_norse.norse.task,mnist,,main,106,8,1
norse_norse.norse.task,mnist_pl,LIFConvNet,__init__,13,2,8
norse_norse.norse.task,mnist_pl,LIFConvNet,forward,7,1,1
norse_norse.norse.task,mnist_pl,LIFConvNet,training_step,5,1,2
norse_norse.norse.task,mnist_pl,LIFConvNet,configure_optimizers,10,2,0
norse_norse.norse.task,mnist_pl,,main,36,1,1
norse_norse.norse.task.speech_commands,model,SNNModel,__init__,7,1,4
norse_norse.norse.task.speech_commands,model,SNNModel,forward,10,2,1
norse_norse.norse.task.speech_commands,model,LSTMModel,__init__,7,1,3
norse_norse.norse.task.speech_commands,model,LSTMModel,forward,5,1,1
norse_norse.norse.task.speech_commands,model,,lsnn_model,2,1,3
norse_norse.norse.task.speech_commands,model,,lif_model,2,1,3
norse_norse.norse.task.speech_commands,run,,test,23,2,3
norse_norse.norse.torch.functional,coba_lif,,coba_lif_step,31,1,6
norse_norse.norse.torch.functional,coba_lif,,coba_lif_feed_forward_step,21,1,4
norse_norse.norse.torch.functional,correlation_sensor,,pre_mask,4,1,2
norse_norse.norse.torch.functional,correlation_sensor,,post_mask,3,1,2
norse_norse.norse.torch.functional,correlation_sensor,,post_pre_update,2,1,3
