Package,Module,Class,Smell,Function/Method,Line no,File,Details
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Complex method,list_attributes,208 - 240,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,"Method 'list_attributes' has a cyclomatic complexity of 7, exceeding the max of 6."
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Complex method,list_categories,271 - 326,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,"Method 'list_categories' has a cyclomatic complexity of 15, exceeding the max of 6."
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Complex method,render_image,609 - 730,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,"Method 'render_image' has a cyclomatic complexity of 19, exceeding the max of 6."
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long method,list_categories,271 - 326,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,Method 'list_categories' is too long (44 lines).
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long method,render_image,609 - 730,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,Method 'render_image' is too long (84 lines).
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long parameter list,render_image,609 - 730,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,"render_image has 10 parameters, exceeding the max of 5."
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,__init__,35,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 380 chars in __init__ exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,__init__,47,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 148 chars in __init__ exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,__getattr__,83,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 230 chars in __getattr__ exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,get,94,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 235 chars in get exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,getind,105,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 245 chars in getind exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,load_tables,127,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 154 chars in load_tables exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,_load_lazy,135,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 267 chars in _load_lazy exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,__load_table__,149,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 148 chars in __load_table__ exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,shortcut,168,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 452 chars in shortcut exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,check_sweeps,192,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 137 chars in check_sweeps exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,check_sweeps,196,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 168 chars in check_sweeps exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,check_sweeps,202,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 191 chars in check_sweeps exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,list_attributes,209,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 156 chars in list_attributes exceeds the maximum length of 120 characters.
nutonomy_nuscenes-devkit.python-sdk.nuimages,nuimages,NuImages,Long statement,list_categories,272,/Volumes/BrokeExt/NICHE/nutonomy_nuscenes-devkit/python-sdk/nuimages/nuimages.py,A line with 280 chars in list_categories exceeds the maximum length of 120 characters.
