Package,Module,Class,Function,LOC,CC,PC
nyanp_nyaggle,setup,,get_long_description,5,1,0
nyanp_nyaggle,setup,,get_version,6,3,0
nyanp_nyaggle.examples.kaggle-days-tokyo,kaggle_days_tokyo,,transform,10,2,3
nyanp_nyaggle.nyaggle,environment,,requires_torch,3,2,0
nyanp_nyaggle.nyaggle,environment,,requires_mlflow,3,2,0
nyanp_nyaggle.nyaggle,environment,,requires_lightgbm,3,2,0
nyanp_nyaggle.nyaggle,environment,,requires_catboost,3,2,0
nyanp_nyaggle.nyaggle,environment,,requires_xgboost,3,2,0
nyanp_nyaggle.nyaggle.ensemble,averaging,,averaging,26,6,6
nyanp_nyaggle.nyaggle.ensemble,averaging,,averaging_opt,21,4,8
nyanp_nyaggle.nyaggle.ensemble,averaging,,_to_rank,5,2,2
nyanp_nyaggle.nyaggle.ensemble,stacking,,stacking,33,4,8
nyanp_nyaggle.nyaggle.experiment,auto_prep,,autoprep_gbdt,24,9,4
nyanp_nyaggle.nyaggle.experiment,auto_prep,,_fill_na_by_unique_value,8,1,2
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,__init__,24,4,4
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,__enter__,3,1,0
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,__exit__,2,1,3
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,continue_from,2,1,3
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,start,19,3,0
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,_load_dict,8,1,1
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,_save_dict,7,2,2
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,stop,20,6,0
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,get_logger,4,1,0
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,get_run,7,1,0
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,log,4,1,1
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,log_param,17,3,2
nyanp_nyaggle.nyaggle.experiment,experiment,Experiment,log_params,5,2,1
