Package,Module,Class,Smell,Function/Method,Line no,File,Details
nyu-mll_jiant,conftest,,Complex method,pytest_collection_modifyitems,22 - 37,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/conftest.py,"Method 'pytest_collection_modifyitems' has a cyclomatic complexity of 10, exceeding the max of 6."
nyu-mll_jiant,setup,,Long statement,,1,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/setup.py,A line with 2158 chars in setup exceeds the maximum length of 120 characters.
nyu-mll_jiant,setup,,Long statement,,55,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/setup.py,A line with 1478 chars in setup exceeds the maximum length of 120 characters.
nyu-mll_jiant.jiant.ext,allennlp,,Long identifier,flatten_and_batch_shift_indices,275,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,Identifier'flatten_and_batch_shift_indices' exceeds the maximum length of 30 characters.
nyu-mll_jiant.jiant.ext,allennlp,,Long statement,weighted_sum,153,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,A line with 1301 chars in weighted_sum exceeds the maximum length of 120 characters.
nyu-mll_jiant.jiant.ext,allennlp,,Long statement,masked_softmax,192,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,A line with 889 chars in masked_softmax exceeds the maximum length of 120 characters.
nyu-mll_jiant.jiant.ext,allennlp,,Long statement,batched_index_select,224,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,A line with 2025 chars in batched_index_select exceeds the maximum length of 120 characters.
nyu-mll_jiant.jiant.ext,allennlp,,Long statement,flatten_and_batch_shift_indices,276,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,A line with 1244 chars in flatten_and_batch_shift_indices exceeds the maximum length of 120 characters.
nyu-mll_jiant.jiant.ext,allennlp,,Long statement,get_range_vector,320,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,A line with 148 chars in get_range_vector exceeds the maximum length of 120 characters.
nyu-mll_jiant.jiant.ext,allennlp,,Magic number,weighted_sum,177,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,Magic number 2 used in weighted_sum.
nyu-mll_jiant.jiant.ext,allennlp,,Magic number,weighted_sum,177,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,Magic number 3 used in weighted_sum.
nyu-mll_jiant.jiant.ext,allennlp,,Magic number,weighted_sum,179,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,Magic number 3 used in weighted_sum.
nyu-mll_jiant.jiant.ext,allennlp,,Magic number,weighted_sum,179,/Volumes/BrokeExt/NICHE/nyu-mll_jiant/jiant/ext/allennlp.py,Magic number 3 used in weighted_sum.
