Package,Module,Class,Function,LOC,CC,PC
onnx_onnxmltools.docs,conf,,setup,2,1,1
onnx_onnxmltools.docs.examples,plot_convert_sparkml,,start_spark,14,3,1
onnx_onnxmltools.docs.examples,plot_convert_sparkml,,stop_spark,2,1,1
onnx_onnxmltools.onnxmltools.convert,main,,convert_coreml,20,3,8
onnx_onnxmltools.onnxmltools.convert,main,,convert_keras,94,16,10
onnx_onnxmltools.onnxmltools.convert,main,,convert_libsvm,20,3,8
onnx_onnxmltools.onnxmltools.convert,main,,convert_catboost,14,2,5
onnx_onnxmltools.onnxmltools.convert,main,,convert_lightgbm,23,3,11
onnx_onnxmltools.onnxmltools.convert,main,,convert_sklearn,23,4,8
onnx_onnxmltools.onnxmltools.convert,main,,convert_sparkml,21,3,9
onnx_onnxmltools.onnxmltools.convert,main,,convert_xgboost,11,3,0
onnx_onnxmltools.onnxmltools.convert,main,,convert_h2o,11,3,0
onnx_onnxmltools.onnxmltools.convert,main,,_collect_input_nodes,15,4,2
onnx_onnxmltools.onnxmltools.convert,main,,_convert_tf_wrapper,32,4,9
onnx_onnxmltools.onnxmltools.convert,main,,convert_tensorflow,18,2,9
onnx_onnxmltools.onnxmltools.convert.common,_container,SparkmlModelContainer,__init__,4,1,1
onnx_onnxmltools.onnxmltools.convert.common,_container,SparkmlModelContainer,input_names,2,1,0
onnx_onnxmltools.onnxmltools.convert.common,_container,SparkmlModelContainer,output_names,2,1,0
onnx_onnxmltools.onnxmltools.convert.common,_container,SparkmlModelContainer,add_input,3,2,1
onnx_onnxmltools.onnxmltools.convert.common,_container,SparkmlModelContainer,add_output,3,2,1
onnx_onnxmltools.onnxmltools.convert.common,_container,CoremlModelContainer,__init__,2,1,1
onnx_onnxmltools.onnxmltools.convert.common,_container,CoremlModelContainer,input_names,2,1,0
onnx_onnxmltools.onnxmltools.convert.common,_container,CoremlModelContainer,output_names,2,1,0
onnx_onnxmltools.onnxmltools.convert.common,onnx_ex,,get_maximum_opset_supported,2,1,0
onnx_onnxmltools.onnxmltools.convert.common,tree_ensemble,,_process_process_tree_attributes,21,9,1
onnx_onnxmltools.onnxmltools.convert.common,utils,,tf2onnx_installed,9,1,0
onnx_onnxmltools.onnxmltools.convert.coreml,_parse,,_parse_coreml_feature,110,11,3
onnx_onnxmltools.onnxmltools.convert.coreml,_parse,,_parse_model,18,5,5
onnx_onnxmltools.onnxmltools.convert.coreml,_parse,,_parse_simple_model,40,5,5
onnx_onnxmltools.onnxmltools.convert.coreml,_parse,,_parse_pipeline_model,90,11,5
onnx_onnxmltools.onnxmltools.convert.coreml,_parse,,_parse_neural_network_model,192,26,5
onnx_onnxmltools.onnxmltools.convert.coreml,_parse,,parse_coreml,37,6,5
onnx_onnxmltools.onnxmltools.convert.coreml,convert,,convert,40,9,8
