Package,Module,Smell,Class/Module,Line no,File,Details
open-mmlab_mmfashion,setup,Multifaceted abstraction,setup,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/setup.py,"Class 'setup' has a high LCOM value of 1, indicating it may have multiple responsibilities."
open-mmlab_mmfashion.configs.attribute_predict_coarse,global_predictor_resnet_attr,Broken modularization,global_predictor_resnet_attr,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/attribute_predict_coarse/global_predictor_resnet_attr.py,Module 'global_predictor_resnet_attr' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.attribute_predict_coarse,global_predictor_vgg_attr,Broken modularization,global_predictor_vgg_attr,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/attribute_predict_coarse/global_predictor_vgg_attr.py,Module 'global_predictor_vgg_attr' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.attribute_predict_coarse,roi_predictor_resnet_attr,Broken modularization,roi_predictor_resnet_attr,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/attribute_predict_coarse/roi_predictor_resnet_attr.py,Module 'roi_predictor_resnet_attr' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.attribute_predict_coarse,roi_predictor_resnet_inshop,Broken modularization,roi_predictor_resnet_inshop,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/attribute_predict_coarse/roi_predictor_resnet_inshop.py,Module 'roi_predictor_resnet_inshop' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.attribute_predict_coarse,roi_predictor_vgg_attr,Broken modularization,roi_predictor_vgg_attr,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/attribute_predict_coarse/roi_predictor_vgg_attr.py,Module 'roi_predictor_vgg_attr' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.attribute_predict_coarse,roi_predictor_vgg_inshop,Broken modularization,roi_predictor_vgg_inshop,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/attribute_predict_coarse/roi_predictor_vgg_inshop.py,Module 'roi_predictor_vgg_inshop' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.category_attribute_predict,global_predictor_resnet,Broken modularization,global_predictor_resnet,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/category_attribute_predict/global_predictor_resnet.py,Module 'global_predictor_resnet' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.category_attribute_predict,global_predictor_vgg,Broken modularization,global_predictor_vgg,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/category_attribute_predict/global_predictor_vgg.py,Module 'global_predictor_vgg' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.category_attribute_predict,roi_predictor_resnet,Broken modularization,roi_predictor_resnet,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/category_attribute_predict/roi_predictor_resnet.py,Module 'roi_predictor_resnet' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.category_attribute_predict,roi_predictor_vgg,Broken modularization,roi_predictor_vgg,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/category_attribute_predict/roi_predictor_vgg.py,Module 'roi_predictor_vgg' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.fashion_parsing_segmentation,mask_rcnn_r50_fpn_1x,Broken modularization,mask_rcnn_r50_fpn_1x,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/fashion_parsing_segmentation/mask_rcnn_r50_fpn_1x.py,Module 'mask_rcnn_r50_fpn_1x' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.fashion_recommendation,type_aware_recommendation_polyvore_disjoint,Broken modularization,type_aware_recommendation_polyvore_disjoint,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/fashion_recommendation/type_aware_recommendation_polyvore_disjoint.py,Module 'type_aware_recommendation_polyvore_disjoint' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.fashion_recommendation,type_aware_recommendation_polyvore_disjoint_l2_embed,Broken modularization,type_aware_recommendation_polyvore_disjoint_l2_embed,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/fashion_recommendation/type_aware_recommendation_polyvore_disjoint_l2_embed.py,Module 'type_aware_recommendation_polyvore_disjoint_l2_embed' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.fashion_recommendation,type_aware_recommendation_polyvore_nondisjoint,Broken modularization,type_aware_recommendation_polyvore_nondisjoint,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/fashion_recommendation/type_aware_recommendation_polyvore_nondisjoint.py,Module 'type_aware_recommendation_polyvore_nondisjoint' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.landmark_detect,landmark_detect_resnet,Broken modularization,landmark_detect_resnet,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/landmark_detect/landmark_detect_resnet.py,Module 'landmark_detect_resnet' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.landmark_detect,landmark_detect_vgg,Broken modularization,landmark_detect_vgg,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/landmark_detect/landmark_detect_vgg.py,Module 'landmark_detect_vgg' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_consumer_to_shop,roi_retriever_vgg,Broken modularization,roi_retriever_vgg,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_consumer_to_shop/roi_retriever_vgg.py,Module 'roi_retriever_vgg' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,global_retriever_resnet,Broken modularization,global_retriever_resnet,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/global_retriever_resnet.py,Module 'global_retriever_resnet' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,global_retriever_vgg,Broken modularization,global_retriever_vgg,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/global_retriever_vgg.py,Module 'global_retriever_vgg' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,global_retriever_vgg_loss_id,Broken modularization,global_retriever_vgg_loss_id,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/global_retriever_vgg_loss_id.py,Module 'global_retriever_vgg_loss_id' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,global_retriever_vgg_loss_id_triplet,Broken modularization,global_retriever_vgg_loss_id_triplet,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/global_retriever_vgg_loss_id_triplet.py,Module 'global_retriever_vgg_loss_id_triplet' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,roi_retriever_resnet,Broken modularization,roi_retriever_resnet,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/roi_retriever_resnet.py,Module 'roi_retriever_resnet' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,roi_retriever_resnet_loss_id_triplet,Broken modularization,roi_retriever_resnet_loss_id_triplet,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/roi_retriever_resnet_loss_id_triplet.py,Module 'roi_retriever_resnet_loss_id_triplet' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,roi_retriever_vgg,Broken modularization,roi_retriever_vgg,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/roi_retriever_vgg.py,Module 'roi_retriever_vgg' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,roi_retriever_vgg_loss_id,Broken modularization,roi_retriever_vgg_loss_id,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/roi_retriever_vgg_loss_id.py,Module 'roi_retriever_vgg_loss_id' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.retriever_in_shop,roi_retriever_vgg_loss_id_triplet,Broken modularization,roi_retriever_vgg_loss_id_triplet,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/retriever_in_shop/roi_retriever_vgg_loss_id_triplet.py,Module 'roi_retriever_vgg_loss_id_triplet' contains only data members without any method implementations.
open-mmlab_mmfashion.configs.virtual_tryon,cp_vton,Broken modularization,cp_vton,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/configs/virtual_tryon/cp_vton.py,Module 'cp_vton' contains only data members without any method implementations.
open-mmlab_mmfashion.data,prepare_attr_pred,Multifaceted abstraction,prepare_attr_pred,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/data/prepare_attr_pred.py,"Class 'prepare_attr_pred' has a high LCOM value of 1, indicating it may have multiple responsibilities."
open-mmlab_mmfashion.data,prepare_consumer_to_shop,Multifaceted abstraction,prepare_consumer_to_shop,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/data/prepare_consumer_to_shop.py,"Class 'prepare_consumer_to_shop' has a high LCOM value of 1, indicating it may have multiple responsibilities."
open-mmlab_mmfashion.data,prepare_in_shop,Multifaceted abstraction,prepare_in_shop,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/data/prepare_in_shop.py,"Class 'prepare_in_shop' has a high LCOM value of 1, indicating it may have multiple responsibilities."
open-mmlab_mmfashion.data,prepare_landmark_detect,Multifaceted abstraction,prepare_landmark_detect,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/data/prepare_landmark_detect.py,"Class 'prepare_landmark_detect' has a high LCOM value of 1, indicating it may have multiple responsibilities."
open-mmlab_mmfashion.mmfashion.models,builder,Insufficient modularization,builder,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/mmfashion/models/builder.py,"Module 'builder' is insufficiently modularized with NOPM: 26, WMC: 34, NOM: 27."
open-mmlab_mmfashion.mmfashion.models,registry,Broken modularization,registry,1,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/mmfashion/models/registry.py,Module 'registry' contains only data members without any method implementations.
open-mmlab_mmfashion.mmfashion.models.feature_extractor,feature_extractor,Multifaceted abstraction,FeatureExtractor,8,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/mmfashion/models/feature_extractor/feature_extractor.py,"Class 'FeatureExtractor' has a high LCOM value of 1, indicating it may have multiple responsibilities."
open-mmlab_mmfashion.mmfashion.models.type_specific_net,type_specific_net,Multifaceted abstraction,ListModule,11,/Volumes/BrokeExt/NICHE/open-mmlab_mmfashion/mmfashion/models/type_specific_net/type_specific_net.py,"Class 'ListModule' has a high LCOM value of 1, indicating it may have multiple responsibilities."
