Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
openvinotoolkit_model_server,windows_change_test_configs,,53,14,3,3,6,6,0,0,0
openvinotoolkit_model_server,windows_set_ovms_version,,55,12,5,5,8,8,0,0,0
openvinotoolkit_model_server.ci,lib_search,,265,33,5,5,10,10,0,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_async_infer_resnet,,0,0,0,0,27,27,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_infer_binary_resnet,,0,0,0,0,34,34,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_infer_resnet,,0,0,0,0,28,28,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_model_metadata,,0,0,0,0,7,7,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_model_ready,,0,0,0,0,7,7,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_server_live,,0,0,0,0,7,7,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_server_metadata,,0,0,0,0,4,4,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_server_ready,,0,0,0,0,7,7,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,http_async_infer_resnet,,0,0,0,0,26,26,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,http_infer_binary_resnet,,0,0,0,0,35,35,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,http_infer_resnet,,0,0,0,0,29,29,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,http_model_metadata,,0,0,0,0,4,4,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,http_model_ready,,0,0,0,0,4,4,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,http_server_live,,0,0,0,0,4,4,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,http_server_metadata,,0,0,0,0,4,4,-1,0,0
openvinotoolkit_model_server.client.python.kserve-api.samples,http_server_ready,,0,0,0,0,4,4,-1,0,0
openvinotoolkit_model_server.client.python.ovmsclient.lib,setup,,13,5,0,0,2,2,-1,0,0
