Package,Module,Class,Smell,Function/Method,Line no,File,Details
openvinotoolkit_model_server,windows_change_test_configs,,Complex method,main,32 - 83,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/windows_change_test_configs.py,"Method 'main' has a cyclomatic complexity of 12, exceeding the max of 6."
openvinotoolkit_model_server,windows_change_test_configs,,Long method,main,32 - 83,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/windows_change_test_configs.py,Method 'main' is too long (41 lines).
openvinotoolkit_model_server,windows_change_test_configs,,Long statement,help,19,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/windows_change_test_configs.py,A line with 188 chars in help exceeds the maximum length of 120 characters.
openvinotoolkit_model_server,windows_change_test_configs,,Magic number,main,35,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/windows_change_test_configs.py,Magic number 2 used in main.
openvinotoolkit_model_server,windows_set_ovms_version,,Long statement,help,26,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/windows_set_ovms_version.py,A line with 206 chars in help exceeds the maximum length of 120 characters.
openvinotoolkit_model_server,windows_set_ovms_version,,Magic number,main,67,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/windows_set_ovms_version.py,Magic number 2 used in main.
openvinotoolkit_model_server,windows_set_ovms_version,,Magic number,main,75,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/windows_set_ovms_version.py,Magic number 3 used in main.
openvinotoolkit_model_server,windows_set_ovms_version,,Magic number,main,80,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/windows_set_ovms_version.py,Magic number 2 used in main.
openvinotoolkit_model_server.ci,lib_search,,Complex method,check_dir,57 - 174,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,"Method 'check_dir' has a cyclomatic complexity of 8, exceeding the max of 6."
openvinotoolkit_model_server.ci,lib_search,,Complex method,check_func,176 - 269,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,"Method 'check_func' has a cyclomatic complexity of 8, exceeding the max of 6."
openvinotoolkit_model_server.ci,lib_search,,Complex method,main,271 - 302,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,"Method 'main' has a cyclomatic complexity of 8, exceeding the max of 6."
openvinotoolkit_model_server.ci,lib_search,,Long method,check_dir,57 - 174,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,Method 'check_dir' is too long (116 lines).
openvinotoolkit_model_server.ci,lib_search,,Long method,check_func,176 - 269,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,Method 'check_func' is too long (91 lines).
openvinotoolkit_model_server.ci,lib_search,,Long statement,check_dir,59,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,A line with 1634 chars in check_dir exceeds the maximum length of 120 characters.
openvinotoolkit_model_server.ci,lib_search,,Long statement,check_func,179,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,A line with 1170 chars in check_func exceeds the maximum length of 120 characters.
openvinotoolkit_model_server.ci,lib_search,,Long statement,,20,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,A line with 138 chars in lib_search exceeds the maximum length of 120 characters.
openvinotoolkit_model_server.ci,lib_search,,Long statement,,21,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,A line with 167 chars in lib_search exceeds the maximum length of 120 characters.
openvinotoolkit_model_server.ci,lib_search,,Magic number,main,272,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,Magic number 2 used in main.
openvinotoolkit_model_server.ci,lib_search,,Magic number,main,279,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,Magic number 2 used in main.
openvinotoolkit_model_server.ci,lib_search,,Magic number,main,279,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/ci/lib_search.py,Magic number 2 used in main.
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_async_infer_resnet,,Long statement,,30,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/client/python/kserve-api/samples/grpc_async_infer_resnet.py,A line with 181 chars in grpc_async_infer_resnet exceeds the maximum length of 120 characters.
openvinotoolkit_model_server.client.python.kserve-api.samples,grpc_async_infer_resnet,,Long statement,,34,/Volumes/BrokeExt/NICHE/openvinotoolkit_model_server/client/python/kserve-api/samples/grpc_async_infer_resnet.py,A line with 125 chars in grpc_async_infer_resnet exceeds the maximum length of 120 characters.
