Package,Module,Class,Smell,Function/Method,Line no,File,Details
openvinotoolkit_openvino..github.actions.common,action_utils,,Long statement,init_logger,6,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/action_utils.py,A line with 131 chars in init_logger exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.common,artifact_utils,,Long parameter list,get_storage_dir,39 - 50,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/artifact_utils.py,"get_storage_dir has 6 parameters, exceeding the max of 5."
openvinotoolkit_openvino..github.actions.common,artifact_utils,,Long statement,add_common_args,11,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/artifact_utils.py,A line with 224 chars in add_common_args exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.common,artifact_utils,,Long statement,add_common_args,15,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/artifact_utils.py,A line with 126 chars in add_common_args exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.common,artifact_utils,,Long statement,add_common_args,17,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/artifact_utils.py,A line with 134 chars in add_common_args exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.common,artifact_utils,,Long statement,add_common_args,20,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/artifact_utils.py,A line with 165 chars in add_common_args exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.common,artifact_utils,,Long statement,add_common_args,22,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/artifact_utils.py,A line with 190 chars in add_common_args exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.common,constants,,Long statement,,9,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/constants.py,A line with 422 chars in constants exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.common,constants,,Long statement,,24,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/common/constants.py,A line with 201 chars in constants exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.create_manifest,create_manifest,,Long statement,init_logger,32,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/create_manifest/create_manifest.py,A line with 131 chars in init_logger exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.create_manifest,create_manifest,,Long statement,get_repo_data,63,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/create_manifest/create_manifest.py,A line with 264 chars in get_repo_data exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.create_manifest,create_manifest,,Long statement,parse_ov_version,78,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/create_manifest/create_manifest.py,A line with 139 chars in parse_ov_version exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.create_manifest,create_manifest,,Long statement,generate_manifest,112,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/create_manifest/create_manifest.py,A line with 257 chars in generate_manifest exceeds the maximum length of 120 characters.
openvinotoolkit_openvino..github.actions.create_manifest,create_manifest,,Magic number,generate_manifest,101,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/create_manifest/create_manifest.py,Magic number 11 used in generate_manifest.
openvinotoolkit_openvino..github.actions.create_manifest,manifest_manager,Component,Long parameter list,__init__,191 - 224,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/create_manifest/manifest_manager.py,"__init__ has 8 parameters, exceeding the max of 5."
openvinotoolkit_openvino..github.actions.create_manifest,manifest_manager,Manifest,Long statement,_prepare_manifest,68,/Volumes/BrokeExt/NICHE/openvinotoolkit_openvino/.github/actions/create_manifest/manifest_manager.py,A line with 310 chars in _prepare_manifest exceeds the maximum length of 120 characters.
