Package,Module,Class,Smell,Function/Method,Line no,File,Details
philipperemy_keract,setup,,Long statement,,3,/Volumes/BrokeExt/NICHE/philipperemy_keract/setup.py,A line with 254 chars in setup exceeds the maximum length of 120 characters.
philipperemy_keract.examples,data,MNIST,Magic number,get_mnist_data,21,/Volumes/BrokeExt/NICHE/philipperemy_keract/examples/data.py,Magic number 255 used in get_mnist_data.
philipperemy_keract.examples,data,MNIST,Magic number,get_mnist_data,22,/Volumes/BrokeExt/NICHE/philipperemy_keract/examples/data.py,Magic number 255 used in get_mnist_data.
philipperemy_keract.examples,mnist,,Long statement,,87,/Volumes/BrokeExt/NICHE/philipperemy_keract/examples/mnist.py,A line with 155 chars in mnist exceeds the maximum length of 120 characters.
philipperemy_keract.examples,mnist,,Long statement,,90,/Volumes/BrokeExt/NICHE/philipperemy_keract/examples/mnist.py,A line with 123 chars in mnist exceeds the maximum length of 120 characters.
philipperemy_keract.examples,model_in_model,,Magic number,create_network_with_one_subnet,23,/Volumes/BrokeExt/NICHE/philipperemy_keract/examples/model_in_model.py,Magic number 32 used in create_network_with_one_subnet.
philipperemy_keract.examples,model_in_model,,Magic number,create_network_with_one_subnet,23,/Volumes/BrokeExt/NICHE/philipperemy_keract/examples/model_in_model.py,Magic number 32 used in create_network_with_one_subnet.
philipperemy_keract.keract,keract,,Complex method,_get_gradients,160 - 190,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"Method '_get_gradients' has a cyclomatic complexity of 7, exceeding the max of 6."
philipperemy_keract.keract,keract,,Complex method,_get_nodes,193 - 221,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"Method '_get_nodes' has a cyclomatic complexity of 11, exceeding the max of 6."
philipperemy_keract.keract,keract,,Complex method,get_activations,277 - 373,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"Method 'get_activations' has a cyclomatic complexity of 18, exceeding the max of 6."
philipperemy_keract.keract,keract,,Complex method,display_activations,376 - 460,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"Method 'display_activations' has a cyclomatic complexity of 17, exceeding the max of 6."
philipperemy_keract.keract,keract,,Complex method,display_heatmaps,463 - 603,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"Method 'display_heatmaps' has a cyclomatic complexity of 33, exceeding the max of 6."
philipperemy_keract.keract,keract,,Complex method,display_gradients_of_trainable_weights,606 - 644,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"Method 'display_gradients_of_trainable_weights' has a cyclomatic complexity of 7, exceeding the max of 6."
philipperemy_keract.keract,keract,,Empty catch block,_evaluate,103,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Empty catch block found in _evaluate.
philipperemy_keract.keract,keract,,Empty catch block,_get_gradients,182,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Empty catch block found in _get_gradients.
philipperemy_keract.keract,keract,,Empty catch block,_get_nodes,216,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Empty catch block found in _get_nodes.
philipperemy_keract.keract,keract,,Empty catch block,_get_nodes,211,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Empty catch block found in _get_nodes.
philipperemy_keract.keract,keract,,Long identifier,get_gradients_of_trainable_weights,107,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Identifier'get_gradients_of_trainable_weights' exceeds the maximum length of 30 characters.
philipperemy_keract.keract,keract,,Long identifier,display_gradients_of_trainable_weights,606,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Identifier'display_gradients_of_trainable_weights' exceeds the maximum length of 30 characters.
philipperemy_keract.keract,keract,,Long identifier,load_activations_from_json_file,658,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Identifier'load_activations_from_json_file' exceeds the maximum length of 30 characters.
philipperemy_keract.keract,keract,,Long method,_evaluate,53 - 104,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Method '_evaluate' is too long (50 lines).
philipperemy_keract.keract,keract,,Long method,get_activations,277 - 373,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Method 'get_activations' is too long (54 lines).
philipperemy_keract.keract,keract,,Long method,display_activations,376 - 460,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Method 'display_activations' is too long (71 lines).
philipperemy_keract.keract,keract,,Long method,display_heatmaps,463 - 603,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,Method 'display_heatmaps' is too long (128 lines).
philipperemy_keract.keract,keract,,Long parameter list,get_gradients_of_activations,121 - 157,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"get_gradients_of_activations has 6 parameters, exceeding the max of 5."
philipperemy_keract.keract,keract,,Long parameter list,_get_nodes,193 - 221,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"_get_nodes has 6 parameters, exceeding the max of 5."
philipperemy_keract.keract,keract,,Long parameter list,get_activations,277 - 373,/Volumes/BrokeExt/NICHE/philipperemy_keract/keract/keract.py,"get_activations has 7 parameters, exceeding the max of 5."
