Package,Module,Smell,Class/Module,Line no,File,Details
piEsposito_blitz-bayesian-deep-learning.blitz.losses.tests,kl_divergence_test,Multifaceted abstraction,TestKLDivergence,9,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/losses/tests/kl_divergence_test.py,"Class 'TestKLDivergence' has a high LCOM value of 1, indicating it may have multiple responsibilities."
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,Broken hierarchy,BayesianRNN,13,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/base_bayesian_module.py,Class 'BayesianRNN' and its superclass 'BayesianModule' may not share a proper 'IS-A' relationship.
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,Wide hierarchy,BayesianModule,0,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/base_bayesian_module.py,Class 'BayesianModule' has a wide hierarchy with 6 direct subclasses.
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,Broken hierarchy,BayesianConv1d,9,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/conv_bayesian_layer.py,Class 'BayesianConv1d' and its superclass 'BayesianModule' may not share a proper 'IS-A' relationship.
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,Broken hierarchy,BayesianConv2d,141,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/conv_bayesian_layer.py,Class 'BayesianConv2d' and its superclass 'BayesianModule' may not share a proper 'IS-A' relationship.
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,Broken hierarchy,BayesianConv3d,272,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/conv_bayesian_layer.py,Class 'BayesianConv3d' and its superclass 'BayesianModule' may not share a proper 'IS-A' relationship.
piEsposito_blitz-bayesian-deep-learning.blitz.modules,embedding_bayesian_layer,Broken hierarchy,BayesianEmbedding,7,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/embedding_bayesian_layer.py,Class 'BayesianEmbedding' and its superclass 'BayesianModule' may not share a proper 'IS-A' relationship.
piEsposito_blitz-bayesian-deep-learning.blitz.modules,linear_bayesian_layer,Broken hierarchy,BayesianLinear,8,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/linear_bayesian_layer.py,Class 'BayesianLinear' and its superclass 'BayesianModule' may not share a proper 'IS-A' relationship.
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,base_bayesian_module_test,Multifaceted abstraction,TestLinearBayesian,8,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/tests/base_bayesian_module_test.py,"Class 'TestLinearBayesian' has a high LCOM value of 1, indicating it may have multiple responsibilities."
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,conv_bayesian_layer_test,Multifaceted abstraction,TestConv1DBayesian,8,/Volumes/BrokeExt/NICHE/piEsposito_blitz-bayesian-deep-learning/blitz/modules/tests/conv_bayesian_layer_test.py,"Class 'TestConv1DBayesian' has a high LCOM value of 1, indicating it may have multiple responsibilities."
