Package,Module,Class,Function,LOC,CC,PC
piEsposito_blitz-bayesian-deep-learning.blitz.examples,bayesian_LeNet_mnist,BayesianCNN,__init__,7,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.examples,bayesian_LeNet_mnist,BayesianCNN,forward,10,1,1
piEsposito_blitz-bayesian-deep-learning.blitz.examples,bayesian_regression_boston,BayesianRegressor,__init__,4,1,2
piEsposito_blitz-bayesian-deep-learning.blitz.examples,bayesian_regression_boston,BayesianRegressor,forward,4,1,1
piEsposito_blitz-bayesian-deep-learning.blitz.examples,bayesian_regression_boston,,evaluate_regression,10,1,5
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,AverageMeter,__init__,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,AverageMeter,reset,5,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,AverageMeter,update,5,1,2
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,,main,70,9,0
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,,train,55,5,5
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,,validate,43,5,3
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,,save_checkpoint,4,1,3
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,,adjust_learning_rate,4,2,2
piEsposito_blitz-bayesian-deep-learning.blitz.examples,cifar10_bvgg,,accuracy,11,2,3
piEsposito_blitz-bayesian-deep-learning.blitz.losses,kl_divergence,,kl_divergence_from_nn,8,3,1
piEsposito_blitz-bayesian-deep-learning.blitz.losses.tests,kl_divergence_test,TestKLDivergence,test_kl_divergence_bayesian_linear_module,8,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.losses.tests,kl_divergence_test,TestKLDivergence,test_kl_divergence_bayesian_conv2d_module,10,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.losses.tests,kl_divergence_test,TestKLDivergence,test_kl_divergence_non_bayesian_module,7,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,VGG,__init__,17,3,2
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,VGG,forward,5,1,1
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,make_layers,14,4,2
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,vgg11,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,vgg11_bn,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,vgg13,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,vgg13_bn,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,vgg16,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,vgg16_bn,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,vgg19,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.models,b_vgg,,vgg19_bn,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,BayesianModule,init,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,BayesianRNN,__init__,17,1,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,BayesianRNN,sample_weights,2,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,BayesianRNN,init_sharpen_parameters,9,2,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,BayesianRNN,init_eta,5,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,BayesianRNN,set_loss_to_sharpen,2,1,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,base_bayesian_module,BayesianRNN,sharpen_posterior,24,2,2
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv1d,__init__,31,2,15
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv1d,forward,22,2,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv1d,forward_frozen,13,2,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv2d,__init__,30,2,15
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv2d,forward,22,2,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv2d,forward_frozen,13,2,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv3d,__init__,30,2,15
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv3d,forward,22,2,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,conv_bayesian_layer,BayesianConv3d,forward_frozen,13,2,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,embedding_bayesian_layer,BayesianEmbedding,__init__,22,1,14
piEsposito_blitz-bayesian-deep-learning.blitz.modules,embedding_bayesian_layer,BayesianEmbedding,forward,13,1,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,embedding_bayesian_layer,BayesianEmbedding,forward_frozen,8,1,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,gru_bayesian_layer,BayesianGRU,__init__,30,1,10
piEsposito_blitz-bayesian-deep-learning.blitz.modules,gru_bayesian_layer,BayesianGRU,sample_weights,17,2,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,gru_bayesian_layer,BayesianGRU,get_frozen_weights,8,2,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,gru_bayesian_layer,BayesianGRU,forward_,35,5,3
piEsposito_blitz-bayesian-deep-learning.blitz.modules,gru_bayesian_layer,BayesianGRU,forward_frozen,27,3,2
piEsposito_blitz-bayesian-deep-learning.blitz.modules,gru_bayesian_layer,BayesianGRU,forward,6,2,3
piEsposito_blitz-bayesian-deep-learning.blitz.modules,linear_bayesian_layer,BayesianLinear,__init__,22,1,10
piEsposito_blitz-bayesian-deep-learning.blitz.modules,linear_bayesian_layer,BayesianLinear,forward,16,2,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,linear_bayesian_layer,BayesianLinear,forward_frozen,7,1,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,lstm_bayesian_layer,BayesianLSTM,__init__,31,1,11
piEsposito_blitz-bayesian-deep-learning.blitz.modules,lstm_bayesian_layer,BayesianLSTM,sample_weights,17,2,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,lstm_bayesian_layer,BayesianLSTM,get_frozen_weights,8,2,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,lstm_bayesian_layer,BayesianLSTM,forward_,46,7,3
piEsposito_blitz-bayesian-deep-learning.blitz.modules,lstm_bayesian_layer,BayesianLSTM,forward_frozen,38,5,2
piEsposito_blitz-bayesian-deep-learning.blitz.modules,lstm_bayesian_layer,BayesianLSTM,forward,6,2,3
piEsposito_blitz-bayesian-deep-learning.blitz.modules,weight_sampler,TrainableRandomDistribution,__init__,8,1,2
piEsposito_blitz-bayesian-deep-learning.blitz.modules,weight_sampler,TrainableRandomDistribution,sample,7,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules,weight_sampler,TrainableRandomDistribution,log_posterior,9,2,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules,weight_sampler,PriorWeightDistribution,__init__,12,3,4
piEsposito_blitz-bayesian-deep-learning.blitz.modules,weight_sampler,PriorWeightDistribution,log_prior,10,3,1
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,base_bayesian_module_test,TestLinearBayesian,test_init_bayesian_layer,3,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,base_bayesian_module_test,TestLinearBayesian,test_init_brnn,3,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,base_bayesian_module_test,TestLinearBayesian,test_brnn_sharpen_posterior_lstm,6,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,base_bayesian_module_test,TestLinearBayesian,test_brnn_sharpen_posterior_on_forward_lstm,6,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,base_bayesian_module_test,TestLinearBayesian,test_brnn_sharpen_posterior_gru,6,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,base_bayesian_module_test,TestLinearBayesian,test_brnn_sharpen_posterior_on_forward_gru,6,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,conv_bayesian_layer_test,TestConv1DBayesian,test_init_bayesian_layer,3,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,conv_bayesian_layer_test,TestConv1DBayesian,test_weights_shape,12,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,conv_bayesian_layer_test,TestConv1DBayesian,test_weights_shape_cuda,13,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,conv_bayesian_layer_test,TestConv1DBayesian,test_variational_inference,11,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,conv_bayesian_layer_test,TestConv1DBayesian,test_freeze_module,11,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,conv_bayesian_layer_test,TestConv1DBayesian,test_inheritance,7,1,0
piEsposito_blitz-bayesian-deep-learning.blitz.modules.tests,conv_bayesian_layer_test,TestConv1DBayesian,test_kl_divergence,9,1,0
