Package,Module,Class,Function,LOC,CC,PC
pyannote_pyannote-audio.doc,gen_docs,,capitalise,5,2,1
pyannote_pyannote-audio.doc,gen_docs,,process_dir,23,4,2
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,__init__,12,1,9
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,randomize_parameters,48,5,4
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,TorchAudiomentationsWaveformTransformWrapper,__init__,14,3,3
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,TorchAudiomentationsWaveformTransformWrapper,forward,4,1,1
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,,register_augmentation,24,4,3
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,,unregister_augmentation,7,3,2
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,,wrap_augmentation,2,1,3
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,,_,2,1,3
pyannote_pyannote-audio.pyannote.audio.cli,evaluate,,evaluate,48,4,1
pyannote_pyannote-audio.pyannote.audio.cli,pretrained,,pretrained,2,1,1
pyannote_pyannote-audio.pyannote.audio.cli,train,,train,81,9,1
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CosineAnnealingWarmRestarts,,CosineAnnealingWarmRestarts,11,2,5
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CyclicLR,,CyclicLR,14,1,6
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,ReduceLROnPlateau,,ReduceLROnPlateau,21,2,7
pyannote_pyannote-audio.pyannote.audio.core,calibration,Calibration,__init__,2,1,0
pyannote_pyannote-audio.pyannote.audio.core,calibration,Calibration,save,15,2,1
pyannote_pyannote-audio.pyannote.audio.core,calibration,Calibration,from_file,25,2,2
pyannote_pyannote-audio.pyannote.audio.core,calibration,Calibration,from_pretrained,14,1,5
pyannote_pyannote-audio.pyannote.audio.core,callback,GraduallyUnfreeze,__init__,8,4,2
pyannote_pyannote-audio.pyannote.audio.core,callback,GraduallyUnfreeze,on_fit_start,20,6,2
pyannote_pyannote-audio.pyannote.audio.core,callback,GraduallyUnfreeze,on_train_epoch_start,4,3,2
pyannote_pyannote-audio.pyannote.audio.core,inference,Inference,__init__,61,13,10
pyannote_pyannote-audio.pyannote.audio.core,inference,Inference,to,9,2,1
pyannote_pyannote-audio.pyannote.audio.core,inference,Inference,infer,18,2,1
pyannote_pyannote-audio.pyannote.audio.core,inference,Inference,slide,114,8,3
pyannote_pyannote-audio.pyannote.audio.core,inference,Inference,__call__,13,0,2
pyannote_pyannote-audio.pyannote.audio.core,inference,Inference,crop,38,1,4
pyannote_pyannote-audio.pyannote.audio.core,inference,Inference,aggregate,70,3,7
pyannote_pyannote-audio.pyannote.audio.core,inference,Inference,trim,22,2,2
pyannote_pyannote-audio.pyannote.audio.core,io,Audio,power_normalize,4,1,1
pyannote_pyannote-audio.pyannote.audio.core,io,Audio,validate_file,44,9,1
pyannote_pyannote-audio.pyannote.audio.core,io,Audio,__init__,10,2,3
pyannote_pyannote-audio.pyannote.audio.core,io,Audio,downmix_and_resample,15,6,2
pyannote_pyannote-audio.pyannote.audio.core,io,Audio,get_duration,16,3,1
pyannote_pyannote-audio.pyannote.audio.core,io,Audio,get_num_samples,7,3,2
pyannote_pyannote-audio.pyannote.audio.core,io,Audio,__call__,17,5,1
pyannote_pyannote-audio.pyannote.audio.core,io,Audio,crop,93,15,4
pyannote_pyannote-audio.pyannote.audio.core,io,,get_torchaudio_info,11,3,2
pyannote_pyannote-audio.pyannote.audio.core,model,Model,__init__,8,1,3
pyannote_pyannote-audio.pyannote.audio.core,model,Model,task,2,1,0
pyannote_pyannote-audio.pyannote.audio.core,model,Model,task,3,1,1
pyannote_pyannote-audio.pyannote.audio.core,model,Model,build,2,1,0
pyannote_pyannote-audio.pyannote.audio.core,model,Model,specifications,14,3,0
pyannote_pyannote-audio.pyannote.audio.core,model,Model,specifications,12,4,1
pyannote_pyannote-audio.pyannote.audio.core,model,Model,specifications,3,2,0
pyannote_pyannote-audio.pyannote.audio.core,model,Model,__example_input_array,10,2,1
pyannote_pyannote-audio.pyannote.audio.core,model,Model,example_input_array,2,1,0
pyannote_pyannote-audio.pyannote.audio.core,model,Model,receptive_field,13,1,0
pyannote_pyannote-audio.pyannote.audio.core,model,Model,prepare_data,2,1,0
pyannote_pyannote-audio.pyannote.audio.core,model,Model,setup,37,8,1
pyannote_pyannote-audio.pyannote.audio.core,model,Model,on_save_checkpoint,12,1,1
pyannote_pyannote-audio.pyannote.audio.core,model,Model,on_load_checkpoint,21,1,1
pyannote_pyannote-audio.pyannote.audio.core,model,Model,forward,3,1,1
pyannote_pyannote-audio.pyannote.audio.core,model,Model,default_activation,18,1,0
pyannote_pyannote-audio.pyannote.audio.core,model,Model,train_dataloader,2,1,0
