Package,Module,Class,Smell,Function/Method,Line no,File,Details
pyannote_pyannote-audio,setup,,Long statement,,42,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/setup.py,A line with 711 chars in setup exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.doc,gen_docs,,Magic number,process_dir,33,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/doc/gen_docs.py,Magic number 3 used in process_dir.
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,Long method,randomize_parameters,81 - 141,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/mix.py,Method 'randomize_parameters' is too long (48 lines).
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,Long parameter list,__init__,57 - 79,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/mix.py,"__init__ has 9 parameters, exceeding the max of 5."
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,Long statement,__init__,69,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/mix.py,A line with 180 chars in __init__ exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,Long statement,randomize_parameters,89,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/mix.py,A line with 231 chars in randomize_parameters exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,Long statement,randomize_parameters,131,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/mix.py,A line with 121 chars in randomize_parameters exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,Magic number,__init__,60,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/mix.py,Magic number 5.0 used in __init__.
pyannote_pyannote-audio.pyannote.audio.augmentation,mix,MixSpeakerDiarization,Magic number,__init__,62,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/mix.py,Magic number 0.5 used in __init__.
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,TorchAudiomentationsWaveformTransformWrapper,Long identifier,,162,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/registry.py,Identifier'TorchAudiomentationsWaveformTransformWrapper' exceeds the maximum length of 30 characters.
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,,Long statement,register_augmentation,37,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/registry.py,A line with 1688 chars in register_augmentation exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,,Long statement,unregister_augmentation,127,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/registry.py,A line with 371 chars in unregister_augmentation exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,TorchAudiomentationsWaveformTransformWrapper,Long statement,__init__,171,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/registry.py,A line with 172 chars in __init__ exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.augmentation,registry,TorchAudiomentationsWaveformTransformWrapper,Long statement,__init__,176,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/augmentation/registry.py,A line with 129 chars in __init__ exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli,evaluate,,Long method,evaluate,38 - 97,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/evaluate.py,Method 'evaluate' is too long (48 lines).
pyannote_pyannote-audio.pyannote.audio.cli,train,,Complex method,train,47 - 167,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/train.py,"Method 'train' has a cyclomatic complexity of 9, exceeding the max of 6."
pyannote_pyannote-audio.pyannote.audio.cli,train,,Long method,train,47 - 167,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/train.py,Method 'train' is too long (81 lines).
pyannote_pyannote-audio.pyannote.audio.cli,train,,Long statement,train,92,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/train.py,A line with 135 chars in train exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli,train,,Long statement,train,116,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/train.py,A line with 275 chars in train exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli,train,,Long statement,train,130,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/train.py,A line with 139 chars in train exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CosineAnnealingWarmRestarts,,Long statement,CosineAnnealingWarmRestarts,39,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CosineAnnealingWarmRestarts.py,A line with 406 chars in CosineAnnealingWarmRestarts exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CosineAnnealingWarmRestarts,,Magic number,CosineAnnealingWarmRestarts,33,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CosineAnnealingWarmRestarts.py,Magic number 1e-08 used in CosineAnnealingWarmRestarts.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CosineAnnealingWarmRestarts,,Magic number,CosineAnnealingWarmRestarts,34,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CosineAnnealingWarmRestarts.py,Magic number 0.001 used in CosineAnnealingWarmRestarts.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CyclicLR,,Long parameter list,CyclicLR,29 - 67,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CyclicLR.py,"CyclicLR has 6 parameters, exceeding the max of 5."
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CyclicLR,,Long statement,CyclicLR,38,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CyclicLR.py,A line with 500 chars in CyclicLR exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CyclicLR,,Long statement,CyclicLR,58,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CyclicLR.py,A line with 153 chars in CyclicLR exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CyclicLR,,Magic number,CyclicLR,31,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CyclicLR.py,Magic number 1e-08 used in CyclicLR.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CyclicLR,,Magic number,CyclicLR,32,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CyclicLR.py,Magic number 0.001 used in CyclicLR.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,CyclicLR,,Magic number,CyclicLR,34,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/CyclicLR.py,Magic number 50 used in CyclicLR.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,ReduceLROnPlateau,,Long parameter list,ReduceLROnPlateau,30 - 80,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/ReduceLROnPlateau.py,"ReduceLROnPlateau has 7 parameters, exceeding the max of 5."
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,ReduceLROnPlateau,,Long statement,ReduceLROnPlateau,40,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/ReduceLROnPlateau.py,A line with 619 chars in ReduceLROnPlateau exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,ReduceLROnPlateau,,Long statement,ReduceLROnPlateau,65,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/ReduceLROnPlateau.py,A line with 251 chars in ReduceLROnPlateau exceeds the maximum length of 120 characters.
pyannote_pyannote-audio.pyannote.audio.cli.lr_schedulers,ReduceLROnPlateau,,Magic number,ReduceLROnPlateau,34,/Volumes/BrokeExt/NICHE/pyannote_pyannote-audio/pyannote/audio/cli/lr_schedulers/ReduceLROnPlateau.py,Magic number 1e-08 used in ReduceLROnPlateau.
