Package,Module,Class,Smell,Function/Method,Line no,File,Details
pymc-devs_pymc4,nbconfig,,Long statement,,1,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/nbconfig.py,A line with 411 chars in nbconfig exceeds the maximum length of 120 characters.
pymc-devs_pymc4,nbconfig,,Long statement,,14,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/nbconfig.py,A line with 121 chars in nbconfig exceeds the maximum length of 120 characters.
pymc-devs_pymc4,setup,,Long statement,,21,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/setup.py,A line with 387 chars in setup exceeds the maximum length of 120 characters.
pymc-devs_pymc4,setup,,Long statement,,55,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/setup.py,A line with 407 chars in setup exceeds the maximum length of 120 characters.
pymc-devs_pymc4.notebooks,utils,,Complex method,plot_samples,5 - 31,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/notebooks/utils.py,"Method 'plot_samples' has a cyclomatic complexity of 8, exceeding the max of 6."
pymc-devs_pymc4.notebooks,utils,,Complex method,plot_cov_matrix,34 - 63,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/notebooks/utils.py,"Method 'plot_cov_matrix' has a cyclomatic complexity of 7, exceeding the max of 6."
pymc-devs_pymc4.notebooks,utils,,Long parameter list,plot_cov_matrix,34 - 63,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/notebooks/utils.py,"plot_cov_matrix has 7 parameters, exceeding the max of 5."
pymc-devs_pymc4.notebooks,utils,,Magic number,plot_samples,12,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/notebooks/utils.py,Magic number 0.2 used in plot_samples.
pymc-devs_pymc4.notebooks,utils,,Magic number,plot_samples,12,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/notebooks/utils.py,Magic number 0.2 used in plot_samples.
pymc-devs_pymc4.pymc4,coroutine_model,,Long statement,get_name,36,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/pymc4/coroutine_model.py,A line with 442 chars in get_name exceeds the maximum length of 120 characters.
pymc-devs_pymc4.pymc4,coroutine_model,ModelTemplate,Long statement,__call__,89,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/pymc4/coroutine_model.py,A line with 2806 chars in __call__ exceeds the maximum length of 120 characters.
pymc-devs_pymc4.pymc4,coroutine_model,Model,Long statement,__init__,208,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/pymc4/coroutine_model.py,A line with 123 chars in __init__ exceeds the maximum length of 120 characters.
pymc-devs_pymc4.pymc4,forward_sampling,,Complex method,sample_posterior_predictive,237 - 427,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/pymc4/forward_sampling.py,"Method 'sample_posterior_predictive' has a cyclomatic complexity of 11, exceeding the max of 6."
pymc-devs_pymc4.pymc4,forward_sampling,,Long method,sample_prior_predictive,26 - 234,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/pymc4/forward_sampling.py,Method 'sample_prior_predictive' is too long (53 lines).
pymc-devs_pymc4.pymc4,forward_sampling,,Long method,sample_posterior_predictive,237 - 427,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/pymc4/forward_sampling.py,Method 'sample_posterior_predictive' is too long (90 lines).
pymc-devs_pymc4.pymc4,forward_sampling,,Long parameter list,sample_prior_predictive,26 - 234,/Volumes/BrokeExt/NICHE/pymc-devs_pymc4/pymc4/forward_sampling.py,"sample_prior_predictive has 6 parameters, exceeding the max of 5."
