Package,Module,Class,Function,LOC,CC,PC
pytorch_builder.tools.linter.adapters,grep_linter,,eprint,2,1,0
pytorch_builder.tools.linter.adapters,grep_linter,,as_posix,2,1,1
pytorch_builder.tools.linter.adapters,grep_linter,,run_command,11,1,1
pytorch_builder.tools.linter.adapters,grep_linter,,lint_file,82,7,6
pytorch_builder.tools.linter.adapters,grep_linter,,main,108,7,0
pytorch_builder.tools.linter.adapters,pip_init,,run_command,8,1,1
pytorch_builder.tools.linter.adapters,ruff_linter,LintMessage,asdict,2,1,0
pytorch_builder.tools.linter.adapters,ruff_linter,LintMessage,display,2,1,0
pytorch_builder.tools.linter.adapters,ruff_linter,,eprint,2,1,0
pytorch_builder.tools.linter.adapters,ruff_linter,,as_posix,2,1,1
pytorch_builder.tools.linter.adapters,ruff_linter,,_run_command,27,1,1
pytorch_builder.tools.linter.adapters,ruff_linter,,run_command,18,4,1
pytorch_builder.tools.linter.adapters,ruff_linter,,add_default_options,18,1,1
pytorch_builder.tools.linter.adapters,ruff_linter,,explain_rule,7,1,1
pytorch_builder.tools.linter.adapters,ruff_linter,,get_issue_severity,20,1,1
pytorch_builder.tools.linter.adapters,ruff_linter,,format_lint_message,7,4,4
pytorch_builder.tools.linter.adapters,ruff_linter,,check_files,68,4,2
pytorch_builder.tools.linter.adapters,ruff_linter,,check_file_for_fixes,61,3,1
pytorch_builder.tools.linter.adapters,ruff_linter,,main,89,9,0
