Package,Module,Class,Smell,Function/Method,Line no,File,Details
pytorch_builder.tools.linter.adapters,grep_linter,,Complex method,lint_file,61 - 153,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,"Method 'lint_file' has a cyclomatic complexity of 7, exceeding the max of 6."
pytorch_builder.tools.linter.adapters,grep_linter,,Complex method,main,157 - 268,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,"Method 'main' has a cyclomatic complexity of 7, exceeding the max of 6."
pytorch_builder.tools.linter.adapters,grep_linter,,Empty catch block,lint_file,77,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,Empty catch block found in lint_file.
pytorch_builder.tools.linter.adapters,grep_linter,,Empty catch block,lint_file,117,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,Empty catch block found in lint_file.
pytorch_builder.tools.linter.adapters,grep_linter,,Long method,lint_file,61 - 153,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,Method 'lint_file' is too long (82 lines).
pytorch_builder.tools.linter.adapters,grep_linter,,Long method,main,157 - 268,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,Method 'main' is too long (108 lines).
pytorch_builder.tools.linter.adapters,grep_linter,,Long parameter list,lint_file,61 - 153,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,"lint_file has 6 parameters, exceeding the max of 5."
pytorch_builder.tools.linter.adapters,grep_linter,,Long statement,lint_file,144,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,A line with 235 chars in lint_file exceeds the maximum length of 120 characters.
pytorch_builder.tools.linter.adapters,grep_linter,,Long statement,main,191,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,A line with 148 chars in main exceeds the maximum length of 120 characters.
pytorch_builder.tools.linter.adapters,grep_linter,,Long statement,main,210,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,A line with 202 chars in main exceeds the maximum length of 120 characters.
pytorch_builder.tools.linter.adapters,grep_linter,,Long statement,main,259,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/grep_linter.py,A line with 135 chars in main exceeds the maximum length of 120 characters.
pytorch_builder.tools.linter.adapters,pip_init,,Long statement,,39,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/pip_init.py,A line with 122 chars in pip_init exceeds the maximum length of 120 characters.
pytorch_builder.tools.linter.adapters,pip_init,,Long statement,,47,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/pip_init.py,A line with 150 chars in pip_init exceeds the maximum length of 120 characters.
pytorch_builder.tools.linter.adapters,pip_init,,Long statement,,71,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/pip_init.py,A line with 147 chars in pip_init exceeds the maximum length of 120 characters.
pytorch_builder.tools.linter.adapters,ruff_linter,,Complex method,main,365 - 458,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/ruff_linter.py,"Method 'main' has a cyclomatic complexity of 9, exceeding the max of 6."
pytorch_builder.tools.linter.adapters,ruff_linter,,Empty catch block,check_files,238,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/ruff_linter.py,Empty catch block found in check_files.
pytorch_builder.tools.linter.adapters,ruff_linter,,Empty catch block,check_file_for_fixes,322,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/ruff_linter.py,Empty catch block found in check_file_for_fixes.
pytorch_builder.tools.linter.adapters,ruff_linter,,Long method,check_files,212 - 290,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/ruff_linter.py,Method 'check_files' is too long (68 lines).
pytorch_builder.tools.linter.adapters,ruff_linter,,Long method,check_file_for_fixes,294 - 360,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/ruff_linter.py,Method 'check_file_for_fixes' is too long (61 lines).
pytorch_builder.tools.linter.adapters,ruff_linter,,Long method,main,365 - 458,/Volumes/BrokeExt/NICHE/pytorch_builder/tools/linter/adapters/ruff_linter.py,Method 'main' is too long (89 lines).
