Package,Module,Class,Function,LOC,CC,PC
pytorch_text,run-clang-format,DiffError,__init__,3,2,2
pytorch_text,run-clang-format,UnexpectedError,__init__,4,1,2
pytorch_text,run-clang-format,,list_files,23,10,4
pytorch_text,run-clang-format,,make_diff,6,1,3
pytorch_text,run-clang-format,,run_clang_format_diff_wrapper,8,3,2
pytorch_text,run-clang-format,,run_clang_format_diff,26,4,2
pytorch_text,run-clang-format,,bold_red,2,1,1
pytorch_text,run-clang-format,,colorize,20,3,1
pytorch_text,run-clang-format,,print_diff,4,2,2
pytorch_text,run-clang-format,,print_trouble,5,2,3
pytorch_text,run-clang-format,,main,110,14,0
pytorch_text,setup,clean,run,13,4,0
pytorch_text,setup,,read,3,1,0
pytorch_text,setup,,_get_version,16,5,0
pytorch_text,setup,,_export_version,5,1,2
pytorch_text,setup,,_init_submodule,10,2,0
pytorch_text.benchmark,benchmark_basic_english_normalize,,benchmark_basic_english_normalize,18,2,0
pytorch_text.benchmark,benchmark_bert_tokenizer,,benchmark_bert_tokenizer,24,9,1
pytorch_text.benchmark,benchmark_experimental_vectors,,benchmark_experimental_vectors,27,4,0
pytorch_text.benchmark,benchmark_pytext_vocab,,_run_benchmark_lookup,39,18,3
pytorch_text.benchmark,benchmark_pytext_vocab,,_run_benchmark_lookup_jit_for_loop,37,16,3
pytorch_text.benchmark,benchmark_pytext_vocab,,benchmark_experimental_vocab,60,3,0
pytorch_text.benchmark,benchmark_roberta_model,,basic_model_input,4,1,1
pytorch_text.benchmark,benchmark_roberta_model,,_train,4,1,2
pytorch_text.benchmark,benchmark_roberta_model,,run,24,6,1
pytorch_text.benchmark,benchmark_roberta_pipeline,,benchmark_roberta_datapipe,20,1,1
pytorch_text.benchmark,benchmark_roberta_pipeline,,benchmark_roberta_dataframe,32,3,2
pytorch_text.benchmark,benchmark_sentencepiece,,benchmark_sentencepiece,17,2,1
pytorch_text.benchmark,benchmark_torcharrow_ops,,run_torchtext_ops,25,1,0
pytorch_text.benchmark,benchmark_torcharrow_ops,,run_torcharrow_ops,19,1,0
pytorch_text.benchmark,benchmark_vocab,,build_vocab,7,2,2
pytorch_text.benchmark,benchmark_vocab,,benchmark_new_vocab_construction,14,4,3
pytorch_text.benchmark,benchmark_vocab,,benchmark_new_vocab_lookup,56,9,2
pytorch_text.benchmark,data_construction,,benchmark_construction,6,1,2
pytorch_text.benchmark,data_construction,,benchmark_raw_construction,7,2,2
pytorch_text.benchmark,mha_block,,benchmark_mha_block,108,26,0
pytorch_text.benchmark,utils,Timer,__init__,3,1,1
pytorch_text.benchmark,utils,Timer,start,4,2,0
pytorch_text.benchmark,utils,Timer,stop,5,2,0
pytorch_text.benchmark,utils,Timer,__enter__,3,1,0
pytorch_text.benchmark,utils,Timer,__exit__,2,1,0
pytorch_text.docs.source,conf,,_get_var,13,2,2
pytorch_text.docs.source,conf,,_get_pattern,16,3,0
pytorch_text.docs.source,conf,,patched_make_field,35,6,3
pytorch_text.docs.source,conf,,_has_backref,4,2,1
pytorch_text.docs.source,conf,,inject_minigalleries,5,3,6
pytorch_text.docs.source,conf,,setup,2,1,1
pytorch_text.examples.data_pipeline,roberta_dataframe,RobertaTransformDataFrameNativeOps,__init__,6,1,0
pytorch_text.examples.data_pipeline,roberta_dataframe,RobertaTransformDataFrameNativeOps,forward,7,1,1
pytorch_text.examples.data_pipeline,roberta_dataframe,RobertaTransformDataFrameUDF,__init__,9,1,0
pytorch_text.examples.data_pipeline,roberta_dataframe,RobertaTransformDataFrameUDF,forward,7,1,1
pytorch_text.examples.data_pipeline,roberta_dataframe,,init_ta_gpt2bpe_encoder,15,1,0
pytorch_text.examples.data_pipeline,roberta_dataframe,,init_ta_gpt2bpe_vocab,6,1,0
