Package,Module,Class,Smell,Function/Method,Line no,File,Details
pytorch_text,run-clang-format,,Complex method,list_files,60 - 83,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,"Method 'list_files' has a cyclomatic complexity of 10, exceeding the max of 6."
pytorch_text,run-clang-format,,Complex method,main,208 - 327,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,"Method 'main' has a cyclomatic complexity of 14, exceeding the max of 6."
pytorch_text,run-clang-format,,Empty catch block,main,250,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,Empty catch block found in main.
pytorch_text,run-clang-format,,Long method,main,208 - 327,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,Method 'main' is too long (110 lines).
pytorch_text,run-clang-format,,Long statement,make_diff,87,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 124 chars in make_diff exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Long statement,run_clang_format_diff,143,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 126 chars in run_clang_format_diff exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Long statement,run_clang_format_diff,156,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 131 chars in run_clang_format_diff exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Long statement,main,210,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 138 chars in main exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Long statement,main,216,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 144 chars in main exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Long statement,main,224,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 132 chars in main exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Long statement,main,231,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 125 chars in main exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Long statement,main,234,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 170 chars in main exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Long statement,,2,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,A line with 1404 chars in run-clang-format exceeds the maximum length of 120 characters.
pytorch_text,run-clang-format,,Magic number,colorize,183,/Volumes/BrokeExt/NICHE/pytorch_text/run-clang-format.py,Magic number 4 used in colorize.
pytorch_text,setup,,Long statement,,93,/Volumes/BrokeExt/NICHE/pytorch_text/setup.py,A line with 697 chars in setup exceeds the maximum length of 120 characters.
pytorch_text,setup,,Magic number,_get_version,34,/Volumes/BrokeExt/NICHE/pytorch_text/setup.py,Magic number 7 used in _get_version.
pytorch_text.benchmark,benchmark_basic_english_normalize,,Long identifier,benchmark_basic_english_normalize,9,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_basic_english_normalize.py,Identifier'benchmark_basic_english_normalize' exceeds the maximum length of 30 characters.
pytorch_text.benchmark,benchmark_basic_english_normalize,,Long identifier,benchmark_basic_english_normalize,9,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_basic_english_normalize.py,Identifier'existing_basic_english_tokenizer' exceeds the maximum length of 30 characters.
pytorch_text.benchmark,benchmark_basic_english_normalize,,Long identifier,benchmark_basic_english_normalize,9,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_basic_english_normalize.py,Identifier'experimental_basic_english_normalize' exceeds the maximum length of 30 characters.
pytorch_text.benchmark,benchmark_basic_english_normalize,,Long identifier,benchmark_basic_english_normalize,9,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_basic_english_normalize.py,Identifier'experimental_jit_basic_english_normalize' exceeds the maximum length of 30 characters.
pytorch_text.benchmark,benchmark_bert_tokenizer,,Complex method,benchmark_bert_tokenizer,13 - 41,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_bert_tokenizer.py,"Method 'benchmark_bert_tokenizer' has a cyclomatic complexity of 9, exceeding the max of 6."
pytorch_text.benchmark,benchmark_pytext_vocab,,Complex method,_run_benchmark_lookup,18 - 60,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_pytext_vocab.py,"Method '_run_benchmark_lookup' has a cyclomatic complexity of 18, exceeding the max of 6."
pytorch_text.benchmark,benchmark_pytext_vocab,,Complex method,_run_benchmark_lookup_jit_for_loop,63 - 109,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_pytext_vocab.py,"Method '_run_benchmark_lookup_jit_for_loop' has a cyclomatic complexity of 16, exceeding the max of 6."
pytorch_text.benchmark,benchmark_pytext_vocab,,Long identifier,_run_benchmark_lookup_jit_for_loop,63,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_pytext_vocab.py,Identifier'_run_benchmark_lookup_jit_for_loop' exceeds the maximum length of 30 characters.
pytorch_text.benchmark,benchmark_pytext_vocab,,Long method,benchmark_experimental_vocab,112 - 195,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_pytext_vocab.py,Method 'benchmark_experimental_vocab' is too long (60 lines).
pytorch_text.benchmark,benchmark_sentencepiece,,Long statement,benchmark_sentencepiece,18,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_sentencepiece.py,A line with 121 chars in benchmark_sentencepiece exceeds the maximum length of 120 characters.
pytorch_text.benchmark,benchmark_vocab,,Complex method,benchmark_new_vocab_lookup,39 - 100,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_vocab.py,"Method 'benchmark_new_vocab_lookup' has a cyclomatic complexity of 9, exceeding the max of 6."
pytorch_text.benchmark,benchmark_vocab,,Long identifier,benchmark_new_vocab_construction,23,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_vocab.py,Identifier'benchmark_new_vocab_construction' exceeds the maximum length of 30 characters.
pytorch_text.benchmark,benchmark_vocab,,Long method,benchmark_new_vocab_lookup,39 - 100,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_vocab.py,Method 'benchmark_new_vocab_lookup' is too long (56 lines).
pytorch_text.benchmark,benchmark_vocab,,Long statement,,105,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_vocab.py,A line with 140 chars in benchmark_vocab exceeds the maximum length of 120 characters.
pytorch_text.benchmark,benchmark_vocab,,Long statement,,114,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/benchmark_vocab.py,A line with 136 chars in benchmark_vocab exceeds the maximum length of 120 characters.
pytorch_text.benchmark,mha_block,,Complex method,benchmark_mha_block,8 - 121,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,"Method 'benchmark_mha_block' has a cyclomatic complexity of 26, exceeding the max of 6."
pytorch_text.benchmark,mha_block,,Long method,benchmark_mha_block,8 - 121,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,Method 'benchmark_mha_block' is too long (108 lines).
pytorch_text.benchmark,mha_block,,Long statement,benchmark_mha_block,11,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,A line with 152 chars in benchmark_mha_block exceeds the maximum length of 120 characters.
pytorch_text.benchmark,mha_block,,Long statement,benchmark_mha_block,16,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,A line with 129 chars in benchmark_mha_block exceeds the maximum length of 120 characters.
pytorch_text.benchmark,mha_block,,Long statement,benchmark_mha_block,34,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,A line with 204 chars in benchmark_mha_block exceeds the maximum length of 120 characters.
pytorch_text.benchmark,mha_block,,Long statement,benchmark_mha_block,49,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,A line with 149 chars in benchmark_mha_block exceeds the maximum length of 120 characters.
pytorch_text.benchmark,mha_block,,Long statement,benchmark_mha_block,60,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,A line with 205 chars in benchmark_mha_block exceeds the maximum length of 120 characters.
pytorch_text.benchmark,mha_block,,Magic number,benchmark_mha_block,82,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,Magic number 64 used in benchmark_mha_block.
pytorch_text.benchmark,mha_block,,Magic number,benchmark_mha_block,82,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,Magic number 768 used in benchmark_mha_block.
pytorch_text.benchmark,mha_block,,Magic number,benchmark_mha_block,94,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,Magic number 64 used in benchmark_mha_block.
pytorch_text.benchmark,mha_block,,Magic number,benchmark_mha_block,94,/Volumes/BrokeExt/NICHE/pytorch_text/benchmark/mha_block.py,Magic number 256 used in benchmark_mha_block.
