Package,Module,Class,Smell,Function/Method,Line no,File,Details
regel_loudml,setup,,Long statement,,22,/Volumes/BrokeExt/NICHE/regel_loudml/setup.py,A line with 1092 chars in setup exceeds the maximum length of 120 characters.
regel_loudml.loudml,__init__,,Long statement,,13,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/__init__.py,A line with 378 chars in __init__ exceeds the maximum length of 120 characters.
regel_loudml.loudml,annotations,AnnotationHook,Empty catch block,on_anomaly_end,65,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/annotations.py,Empty catch block found in on_anomaly_end.
regel_loudml.loudml,annotations,AnnotationHook,Long statement,on_anomaly_start,38,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/annotations.py,A line with 168 chars in on_anomaly_start exceeds the maximum length of 120 characters.
regel_loudml.loudml,api,Plugin,Empty catch block,__init__,33,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/api.py,Empty catch block found in __init__.
regel_loudml.loudml,api,Hook,Long statement,on_anomaly_start,120,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/api.py,A line with 332 chars in on_anomaly_start exceeds the maximum length of 120 characters.
regel_loudml.loudml,api,Hook,Long statement,on_anomaly_end,133,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/api.py,A line with 188 chars in on_anomaly_end exceeds the maximum length of 120 characters.
regel_loudml.loudml,api,Hook,Long statement,set_object,142,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/api.py,A line with 178 chars in set_object exceeds the maximum length of 120 characters.
regel_loudml.loudml,bucket,Bucket,Long parameter list,insert_annotation,255 - 267,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/bucket.py,"insert_annotation has 6 parameters, exceeding the max of 5."
regel_loudml.loudml,bucket,Bucket,Long statement,__init__,49,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/bucket.py,A line with 560 chars in __init__ exceeds the maximum length of 120 characters.
regel_loudml.loudml,bucket,Bucket,Long statement,init,92,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/bucket.py,A line with 365 chars in init exceeds the maximum length of 120 characters.
regel_loudml.loudml,bucket,Bucket,Long statement,send_bulk,150,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/bucket.py,A line with 160 chars in send_bulk exceeds the maximum length of 120 characters.
regel_loudml.loudml,bucket,Bucket,Long statement,get_times_data,165,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/bucket.py,A line with 1241 chars in get_times_data exceeds the maximum length of 120 characters.
regel_loudml.loudml,bucket,Bucket,Long statement,insert_times_data,211,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/bucket.py,A line with 684 chars in insert_times_data exceeds the maximum length of 120 characters.
regel_loudml.loudml,bucket,Bucket,Magic number,must_commit,133,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/bucket.py,Magic number 1000 used in must_commit.
regel_loudml.loudml,bucket,Bucket,Magic number,get_top_abnormal_keys,284,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/bucket.py,Magic number 10 used in get_top_abnormal_keys.
regel_loudml.loudml,config,Config,Complex method,__init__,23 - 88,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/config.py,"Method '__init__' has a cyclomatic complexity of 18, exceeding the max of 6."
regel_loudml.loudml,config,Config,Long method,__init__,23 - 88,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/config.py,Method '__init__' is too long (55 lines).
regel_loudml.loudml,config,Config,Magic number,__init__,66,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/config.py,Magic number 5 used in __init__.
regel_loudml.loudml,config,Config,Magic number,__init__,68,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/config.py,Magic number 64 used in __init__.
regel_loudml.loudml,config,Config,Magic number,__init__,70,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/config.py,Magic number 100 used in __init__.
regel_loudml.loudml,config,Config,Magic number,__init__,84,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/config.py,Magic number 100 used in __init__.
regel_loudml.loudml,config,Config,Magic number,__init__,86,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/config.py,Magic number 60 used in __init__.
regel_loudml.loudml,donut,DonutModel,Complex method,_train_on_dataset,679 - 855,/Volumes/BrokeExt/NICHE/regel_loudml/loudml/donut.py,"Method '_train_on_dataset' has a cyclomatic complexity of 8, exceeding the max of 6."
