Package,Module,Class,Smell,Function/Method,Line no,File,Details
ria-com_nomeroff-net,setup,,Long statement,,31,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/setup.py,A line with 921 chars in setup exceeds the maximum length of 120 characters.
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Complex method,add_np,129 - 176,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,"Method 'add_np' has a cyclomatic complexity of 8, exceeding the max of 6."
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Complex method,fix_lines,326 - 357,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,"Method 'fix_lines' has a cyclomatic complexity of 14, exceeding the max of 6."
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Complex method,create_dataset,500 - 654,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,"Method 'create_dataset' has a cyclomatic complexity of 24, exceeding the max of 6."
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Long method,add_np,129 - 176,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,Method 'add_np' is too long (45 lines).
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Long method,create_dataset,500 - 654,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,Method 'create_dataset' is too long (149 lines).
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,NomeroffNetReader,Long method,__init__,404 - 486,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,Method '__init__' is too long (84 lines).
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Long parameter list,add_np,129 - 176,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,"add_np has 10 parameters, exceeding the max of 5."
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Long parameter list,create_dataset,500 - 654,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,"create_dataset has 8 parameters, exceeding the max of 5."
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,NumberplateDatasetItem,Long parameter list,__init__,192 - 246,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,"__init__ has 17 parameters, exceeding the max of 5."
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Long statement,fix_lines,334,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,A line with 169 chars in fix_lines exceeds the maximum length of 120 characters.
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Long statement,fix_lines,336,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,A line with 167 chars in fix_lines exceeds the maximum length of 120 characters.
ria-com_nomeroff-net.data.dataset.Dataset,make_dataset_from_image_name,,Long statement,create_dataset,611,/Volumes/BrokeExt/NICHE/ria-com_nomeroff-net/data/dataset/Dataset/make_dataset_from_image_name.py,A line with 131 chars in create_dataset exceeds the maximum length of 120 characters.
