Package,Module,Class,Function,LOC,CC,PC
rusty1s_pytorch_scatter,setup,,get_extensions,72,14,0
rusty1s_pytorch_scatter.benchmark,gather,,correctness,21,4,1
rusty1s_pytorch_scatter.benchmark,gather,,time_func,24,7,2
rusty1s_pytorch_scatter.benchmark,gather,,timing,49,2,1
rusty1s_pytorch_scatter.benchmark,scatter_segment,,download,7,3,1
rusty1s_pytorch_scatter.benchmark,scatter_segment,,bold,2,1,2
rusty1s_pytorch_scatter.benchmark,scatter_segment,,correctness,43,4,1
rusty1s_pytorch_scatter.benchmark,scatter_segment,,time_func,25,7,2
rusty1s_pytorch_scatter.benchmark,scatter_segment,,timing,90,1,1
rusty1s_pytorch_scatter.test,test_broadcasting,,test_broadcasting,14,1,2
rusty1s_pytorch_scatter.test,test_gather,,test_forward,9,1,3
rusty1s_pytorch_scatter.test,test_gather,,test_backward,7,1,2
rusty1s_pytorch_scatter.test,test_gather,,test_out,13,1,3
rusty1s_pytorch_scatter.test,test_gather,,test_non_contiguous,15,4,3
rusty1s_pytorch_scatter.test,test_multi_gpu,,test_forward,13,1,3
rusty1s_pytorch_scatter.test,test_scatter,,test_forward,17,2,4
rusty1s_pytorch_scatter.test,test_scatter,,test_backward,7,1,3
rusty1s_pytorch_scatter.test,test_scatter,,test_out,20,7,4
rusty1s_pytorch_scatter.test,test_scatter,,test_non_contiguous,15,4,4
rusty1s_pytorch_scatter.test,test_segment,,test_forward,29,3,4
rusty1s_pytorch_scatter.test,test_segment,,test_backward,8,1,3
rusty1s_pytorch_scatter.test,test_segment,,test_out,21,6,4
rusty1s_pytorch_scatter.test,test_segment,,test_non_contiguous,23,6,4
rusty1s_pytorch_scatter.test,test_zero_tensors,,test_zero_elements,20,1,3
rusty1s_pytorch_scatter.test.composite,test_logsumexp,,test_logsumexp,23,3,0
rusty1s_pytorch_scatter.test.composite,test_logsumexp,,test_logsumexp_out,6,1,0
rusty1s_pytorch_scatter.test.composite,test_softmax,,test_softmax,16,1,0
rusty1s_pytorch_scatter.test.composite,test_softmax,,test_log_softmax,16,1,0
rusty1s_pytorch_scatter.test.composite,test_std,,test_std,11,1,0
rusty1s_pytorch_scatter.torch_scatter,placeholder,,cuda_version_placeholder,2,1,0
rusty1s_pytorch_scatter.torch_scatter,placeholder,,scatter_placeholder,3,1,5
rusty1s_pytorch_scatter.torch_scatter,placeholder,,scatter_arg_placeholder,3,1,5
rusty1s_pytorch_scatter.torch_scatter,placeholder,,segment_csr_placeholder,3,1,3
rusty1s_pytorch_scatter.torch_scatter,placeholder,,segment_csr_arg_placeholder,3,1,3
rusty1s_pytorch_scatter.torch_scatter,placeholder,,gather_csr_placeholder,3,1,3
rusty1s_pytorch_scatter.torch_scatter,placeholder,,segment_coo_placeholder,3,1,4
rusty1s_pytorch_scatter.torch_scatter,placeholder,,segment_coo_arg_placeholder,3,1,4
rusty1s_pytorch_scatter.torch_scatter,placeholder,,gather_coo_placeholder,3,1,3
rusty1s_pytorch_scatter.torch_scatter,scatter,,scatter_sum,14,3,5
rusty1s_pytorch_scatter.torch_scatter,scatter,,scatter_add,2,1,5
rusty1s_pytorch_scatter.torch_scatter,scatter,,scatter_mul,2,1,5
rusty1s_pytorch_scatter.torch_scatter,scatter,,scatter_mean,17,4,5
rusty1s_pytorch_scatter.torch_scatter,scatter,,scatter_min,2,1,5
rusty1s_pytorch_scatter.torch_scatter,scatter,,scatter_max,2,1,5
rusty1s_pytorch_scatter.torch_scatter,scatter,,scatter,15,3,6
rusty1s_pytorch_scatter.torch_scatter,segment_coo,,segment_sum_coo,2,1,4
rusty1s_pytorch_scatter.torch_scatter,segment_coo,,segment_add_coo,2,1,4
rusty1s_pytorch_scatter.torch_scatter,segment_coo,,segment_mean_coo,2,1,4
rusty1s_pytorch_scatter.torch_scatter,segment_coo,,segment_min_coo,2,1,4
rusty1s_pytorch_scatter.torch_scatter,segment_coo,,segment_max_coo,2,1,4
rusty1s_pytorch_scatter.torch_scatter,segment_coo,,segment_coo,13,3,5
rusty1s_pytorch_scatter.torch_scatter,segment_coo,,gather_coo,2,1,3
rusty1s_pytorch_scatter.torch_scatter,segment_csr,,segment_sum_csr,2,1,3
rusty1s_pytorch_scatter.torch_scatter,segment_csr,,segment_add_csr,2,1,3
rusty1s_pytorch_scatter.torch_scatter,segment_csr,,segment_mean_csr,2,1,3
rusty1s_pytorch_scatter.torch_scatter,segment_csr,,segment_min_csr,2,1,3
rusty1s_pytorch_scatter.torch_scatter,segment_csr,,segment_max_csr,2,1,3
rusty1s_pytorch_scatter.torch_scatter,segment_csr,,segment_csr,13,3,4
rusty1s_pytorch_scatter.torch_scatter,segment_csr,,gather_csr,2,1,3
rusty1s_pytorch_scatter.torch_scatter,testing,,tensor,2,1,3
rusty1s_pytorch_scatter.torch_scatter,utils,,broadcast,10,5,3
rusty1s_pytorch_scatter.torch_scatter.composite,logsumexp,,scatter_logsumexp,34,5,6
rusty1s_pytorch_scatter.torch_scatter.composite,softmax,,scatter_softmax,14,2,4
rusty1s_pytorch_scatter.torch_scatter.composite,softmax,,scatter_log_softmax,13,2,5
rusty1s_pytorch_scatter.torch_scatter.composite,std,,scatter_std,21,5,6
