Package,Module,Class,Smell,Function/Method,Line no,File,Details
rusty1s_pytorch_scatter,setup,,Complex method,get_extensions,32 - 107,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/setup.py,"Method 'get_extensions' has a cyclomatic complexity of 14, exceeding the max of 6."
rusty1s_pytorch_scatter,setup,,Long method,get_extensions,32 - 107,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/setup.py,Method 'get_extensions' is too long (72 lines).
rusty1s_pytorch_scatter,setup,,Long statement,get_extensions,96,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/setup.py,A line with 224 chars in get_extensions exceeds the maximum length of 120 characters.
rusty1s_pytorch_scatter,setup,,Long statement,,122,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/setup.py,A line with 629 chars in setup exceeds the maximum length of 120 characters.
rusty1s_pytorch_scatter,setup,,Magic number,get_extensions,84,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/setup.py,Magic number 4 used in get_extensions.
rusty1s_pytorch_scatter.benchmark,gather,,Complex method,time_func,38 - 61,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/benchmark/gather.py,"Method 'time_func' has a cyclomatic complexity of 7, exceeding the max of 6."
rusty1s_pytorch_scatter.benchmark,gather,,Long method,timing,64 - 119,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/benchmark/gather.py,Method 'timing' is too long (49 lines).
rusty1s_pytorch_scatter.benchmark,scatter_segment,,Complex method,time_func,82 - 106,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/benchmark/scatter_segment.py,"Method 'time_func' has a cyclomatic complexity of 7, exceeding the max of 6."
rusty1s_pytorch_scatter.benchmark,scatter_segment,,Long method,correctness,36 - 79,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/benchmark/scatter_segment.py,Method 'correctness' is too long (43 lines).
rusty1s_pytorch_scatter.benchmark,scatter_segment,,Long method,timing,109 - 210,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/benchmark/scatter_segment.py,Method 'timing' is too long (90 lines).
rusty1s_pytorch_scatter.docs.source,conf,,Long statement,,7,/Volumes/BrokeExt/NICHE/rusty1s_pytorch_scatter/docs/source/conf.py,A line with 129 chars in conf exceeds the maximum length of 120 characters.
