Package,Module,Class,Function,LOC,CC,PC
scikit-learn-contrib_imbalanced-learn,conftest,,pytest_runtest_setup,11,4,1
scikit-learn-contrib_imbalanced-learn.doc,conf,,generate_min_dependency_table,39,2,1
scikit-learn-contrib_imbalanced-learn.doc,conf,,generate_min_dependency_substitutions,10,2,1
scikit-learn-contrib_imbalanced-learn.doc,conf,,setup,3,1,1
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,github_link,,_get_git_revision,7,1,0
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,github_link,,_linkcode_resolve,29,6,5
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,github_link,,make_linkcode_resolve,6,1,2
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,sphinx_issues,IssueRole,__init__,5,2,4
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,sphinx_issues,IssueRole,default_format_text,2,1,1
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,sphinx_issues,IssueRole,make_node,39,6,4
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,sphinx_issues,IssueRole,__call__,13,5,7
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,sphinx_issues,,user_role,18,5,7
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,sphinx_issues,,cve_role,11,3,7
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,sphinx_issues,,format_commit_text,2,1,1
scikit-learn-contrib_imbalanced-learn.doc.sphinxext,sphinx_issues,,setup,16,1,1
scikit-learn-contrib_imbalanced-learn.examples.api,plot_sampling_strategy_usage,,ratio_multiplier,8,3,1
scikit-learn-contrib_imbalanced-learn.examples.applications,plot_outlier_rejections,,plot_scatter,6,1,3
scikit-learn-contrib_imbalanced-learn.examples.applications,plot_outlier_rejections,,outlier_rejection,5,1,2
scikit-learn-contrib_imbalanced-learn.examples.applications,porto_seguro_keras_under_sampling,,convert_float64,2,1,1
scikit-learn-contrib_imbalanced-learn.examples.applications,porto_seguro_keras_under_sampling,,make_model,21,1,1
scikit-learn-contrib_imbalanced-learn.examples.applications,porto_seguro_keras_under_sampling,,timeit,8,0,1
scikit-learn-contrib_imbalanced-learn.examples.applications,porto_seguro_keras_under_sampling,,fit_predict_imbalanced_model,10,2,4
scikit-learn-contrib_imbalanced-learn.examples.applications,porto_seguro_keras_under_sampling,,fit_predict_balanced_model,8,1,4
scikit-learn-contrib_imbalanced-learn.examples.combine,plot_comparison_combine,,plot_resampling,6,1,4
scikit-learn-contrib_imbalanced-learn.examples.combine,plot_comparison_combine,,plot_decision_function,12,1,4
scikit-learn-contrib_imbalanced-learn.examples.datasets,plot_make_imbalance,,ratio_func,3,1,3
scikit-learn-contrib_imbalanced-learn.examples.ensemble,plot_bagging_classifier,,roughly_balanced_bagging,18,1,3
scikit-learn-contrib_imbalanced-learn.examples.over-sampling,plot_comparison_over_sampling,,create_dataset,13,1,5
