Package,Module,Class,Smell,Function/Method,Line no,File,Details
shibing624_pycorrector,setup,,Long statement,,20,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/setup.py,A line with 1108 chars in setup exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.data.grammar,convert_dataset,,Long statement,,1,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/data/grammar/convert_dataset.py,A line with 149 chars in convert_dataset exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.deepcontext,demo,,Long statement,main,15,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/deepcontext/demo.py,A line with 159 chars in main exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.deepcontext,train,,Long method,main,14 - 59,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/deepcontext/train.py,Method 'main' is too long (41 lines).
shibing624_pycorrector.examples.deepcontext,train,,Long statement,main,17,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/deepcontext/train.py,A line with 174 chars in main exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.deepcontext,train,,Long statement,main,35,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/deepcontext/train.py,A line with 132 chars in main exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,download,,Long statement,,27,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/download.py,A line with 134 chars in download exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,export_model,,Long statement,main,56,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/export_model.py,A line with 177 chars in main exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,export_model,,Long statement,,28,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/export_model.py,A line with 136 chars in export_model exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,export_model,,Long statement,,30,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/export_model.py,A line with 156 chars in export_model exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,export_model,,Long statement,,32,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/export_model.py,A line with 136 chars in export_model exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,predict,Predictor,Long Lambda Function,predict,77,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,A Lambda with 320 chars in predict exceeds the maximum length of 80 characters.
shibing624_pycorrector.examples.ernie_csc,predict,Predictor,Long method,predict,56 - 118,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,Method 'predict' is too long (50 lines).
shibing624_pycorrector.examples.ernie_csc,predict,Predictor,Long parameter list,__init__,29 - 54,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,"__init__ has 6 parameters, exceeding the max of 5."
shibing624_pycorrector.examples.ernie_csc,predict,Predictor,Long statement,predict,57,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,A line with 426 chars in predict exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,predict,Predictor,Long statement,predict,70,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,A line with 145 chars in predict exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,predict,Predictor,Long statement,predict,77,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,A line with 334 chars in predict exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,predict,,Long statement,,124,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,A line with 149 chars in predict exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,predict,,Long statement,,126,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,A line with 152 chars in predict exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,predict,,Long statement,,130,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict.py,A line with 149 chars in predict exceeds the maximum length of 120 characters.
shibing624_pycorrector.examples.ernie_csc,predict_sighan,,Long Lambda Function,do_predict,93,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict_sighan.py,A Lambda with 300 chars in do_predict exceeds the maximum length of 80 characters.
shibing624_pycorrector.examples.ernie_csc,predict_sighan,,Long method,do_predict,72 - 133,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict_sighan.py,Method 'do_predict' is too long (54 lines).
shibing624_pycorrector.examples.ernie_csc,predict_sighan,,Long statement,do_predict,87,/Volumes/BrokeExt/NICHE/shibing624_pycorrector/examples/ernie_csc/predict_sighan.py,A line with 135 chars in do_predict exceeds the maximum length of 120 characters.
