Package,Module,Smell,Class/Module,Line no,File,Details
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_from_scratch,Multifaceted abstraction,LoadModelFromScratch,5,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/distilbert_data_model_loaders/load_transformer_from_scratch.py,"Class 'LoadModelFromScratch' has a high LCOM value of 1, indicating it may have multiple responsibilities."
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_hpo_parameters,Broken modularization,SGDHyperparameter,10,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/distilbert_run_and_hpo_configurations/distilbert_squad_hpo_parameters.py,Class 'SGDHyperparameter' contains only data members without any method implementations.
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_hpo_parameters,Broken modularization,ArchitectureHyperparameter,30,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/distilbert_run_and_hpo_configurations/distilbert_squad_hpo_parameters.py,Class 'ArchitectureHyperparameter' contains only data members without any method implementations.
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_run_parameters,Broken modularization,RunParameters,4,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/distilbert_run_and_hpo_configurations/distilbert_squad_run_parameters.py,Class 'RunParameters' contains only data members without any method implementations.
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_run_parameters,Broken modularization,OptimizationRunParameters,43,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/distilbert_run_and_hpo_configurations/distilbert_squad_run_parameters.py,Class 'OptimizationRunParameters' contains only data members without any method implementations.
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_run_parameters,Broken modularization,RayTuneRunParameters,55,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/distilbert_run_and_hpo_configurations/distilbert_squad_run_parameters.py,Class 'RayTuneRunParameters' contains only data members without any method implementations.
sigopt_sigopt-examples.bert-distillation-multimetric.squad_fine_tuning,a_squad_w_distillation,Multifaceted abstraction,a_squad_w_distillation,1,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/squad_fine_tuning/a_squad_w_distillation.py,"Class 'a_squad_w_distillation' has a high LCOM value of 1, indicating it may have multiple responsibilities."
sigopt_sigopt-examples.bert-distillation-multimetric.squad_fine_tuning,optimize_squad_distillation,Multifaceted abstraction,optimize_squad_distillation,1,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/squad_fine_tuning/optimize_squad_distillation.py,"Class 'optimize_squad_distillation' has a high LCOM value of 1, indicating it may have multiple responsibilities."
sigopt_sigopt-examples.bert-distillation-multimetric.squad_fine_tuning,squad_w_distillation,Multifaceted abstraction,RunSquadDistillation,10,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/bert-distillation-multimetric/squad_fine_tuning/squad_w_distillation.py,"Class 'RunSquadDistillation' has a high LCOM value of 1, indicating it may have multiple responsibilities."
sigopt_sigopt-examples.classifier,constant,Broken modularization,constant,1,/Volumes/BrokeExt/NICHE/sigopt_sigopt-examples/classifier/constant.py,Module 'constant' contains only data members without any method implementations.
