Package,Module,Class,Function,LOC,CC,PC
sigopt_sigopt-examples.bert-distillation-multimetric,run_squad_w_distillation_cli,RunDistilBertSquadCLI,__init__,2,1,0
sigopt_sigopt-examples.bert-distillation-multimetric,run_squad_w_distillation_cli,RunDistilBertSquadCLI,define_hpo_commandline_args,61,1,1
sigopt_sigopt-examples.bert-distillation-multimetric,run_squad_w_distillation_cli,RunDistilBertSquadCLI,get_commandline_args,5,1,0
sigopt_sigopt-examples.bert-distillation-multimetric,sigopt_optimization_cli,SigOptDistilBertQuadCLI,__init__,2,1,0
sigopt_sigopt-examples.bert-distillation-multimetric,sigopt_optimization_cli,SigOptDistilBertQuadCLI,get_commandline_args,2,1,0
sigopt_sigopt-examples.bert-distillation-multimetric,sigopt_ray_optimization_cli,RayTuneSigOptDistilBertSquadCLI,__init__,2,1,0
sigopt_sigopt-examples.bert-distillation-multimetric,sigopt_ray_optimization_cli,RayTuneSigOptDistilBertSquadCLI,define_run_commandline_args,18,1,0
sigopt_sigopt-examples.bert-distillation-multimetric,sigopt_ray_optimization_cli,RayTuneSigOptDistilBertSquadCLI,get_commandline_args,2,1,0
sigopt_sigopt-examples.bert-distillation-multimetric,sigopt_ray_optimization_cli,,clean_up_ray_output,4,2,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_squad_dataset,,load_and_cache_examples,62,11,4
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_squad_dataset,,download_cache_from_s3,10,5,2
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_squad_dataset,,get_file_s3,8,1,4
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transfomer_model,LoadModel,__init__,7,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_from_scratch,LoadModelFromScratch,__init__,2,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_from_scratch,LoadModelFromScratch,get_model,2,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_from_scratch,LoadModelFromScratch,get_config,2,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_from_scratch,,get_model_from_scratch,5,1,2
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_pretrained,LoadPretrainedModel,__init__,4,1,3
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_pretrained,LoadPretrainedModel,get_pretrained_model,7,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_pretrained,LoadPretrainedModel,get_pretrained_config,5,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_pretrained,LoadPretrainedModel,get_tokenizer,7,1,3
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_pretrained,,get_pretrained_model,9,1,3
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_pretrained,,get_pretrained_tokenizer,8,1,4
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_semi_pretrained,LoadSemiPretrainedModel,__init__,4,1,3
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_semi_pretrained,LoadSemiPretrainedModel,get_pretrained_model,7,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_semi_pretrained,LoadSemiPretrainedModel,get_config,2,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_data_model_loaders,load_transformer_semi_pretrained,,get_semi_pretrained_model,6,1,4
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_hpo_parameters,,get_default_hyperparameters,2,1,0
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_hpo_parameters,,get_all_hyperparameter_names,11,5,0
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_run_parameters,,get_default_run_parameters,2,1,0
sigopt_sigopt-examples.bert-distillation-multimetric.distilbert_run_and_hpo_configurations,distilbert_squad_run_parameters,,get_all_run_parameter_names,7,3,0
sigopt_sigopt-examples.bert-distillation-multimetric.raytune_wrapper,ray_optimize_squad_distillation,RayTuneOptimizeSquadDistillation,__init__,2,1,1
sigopt_sigopt-examples.bert-distillation-multimetric.raytune_wrapper,ray_optimize_squad_distillation,RayTuneOptimizeSquadDistillation,sync_ray_checkpoints,8,3,1
sigopt_sigopt-examples.bert-distillation-multimetric.raytune_wrapper,ray_optimize_squad_distillation,,tune_track_metrics,13,4,1
sigopt_sigopt-examples.bert-distillation-multimetric.raytune_wrapper,ray_optimize_squad_distillation,,sync_ray_output,15,5,4
sigopt_sigopt-examples.bert-distillation-multimetric.raytune_wrapper,ray_optimize_squad_distillation,,main,41,3,1
sigopt_sigopt-examples.bert-distillation-multimetric.raytune_wrapper,sigopt_ray_multimetric_wrapper_distilbert,SigOptMultimetricSearch,__init__,21,3,10
sigopt_sigopt-examples.bert-distillation-multimetric.raytune_wrapper,sigopt_ray_multimetric_wrapper_distilbert,SigOptMultimetricSearch,suggest,14,1,1
