Package,Module,Class,Function,LOC,CC,PC
silvandeleemput_memcnn,setup,VerifyVersionCommand,run,7,2,0
silvandeleemput_memcnn.memcnn,train,,run_experiment,24,6,7
silvandeleemput_memcnn.memcnn,train,,main,34,3,2
silvandeleemput_memcnn.memcnn.config,__init__,Config,__init__,9,3,2
silvandeleemput_memcnn.memcnn.config,__init__,Config,get_filename,2,1,0
silvandeleemput_memcnn.memcnn.config,__init__,Config,get_dir,2,1,0
silvandeleemput_memcnn.memcnn.config.tests,test_config,ConfigTestCase,setUp,9,1,0
silvandeleemput_memcnn.memcnn.config.tests,test_config,ConfigTestCase,test_loading_main_config,6,1,0
silvandeleemput_memcnn.memcnn.config.tests,test_config,ConfigTestCase,test_loading_experiments_config,4,1,0
silvandeleemput_memcnn.memcnn.config.tests,test_config,ConfigTestCase,test_experiment_configs,9,3,0
silvandeleemput_memcnn.memcnn.config.tests,test_config,ConfigTestCase,test_config_get_filename,2,1,0
silvandeleemput_memcnn.memcnn.config.tests,test_config,ConfigTestCase,test_config_get_dir,2,1,0
silvandeleemput_memcnn.memcnn.config.tests,test_config,ConfigTestCase,test_verbose,2,1,0
silvandeleemput_memcnn.memcnn.data,cifar,,random_crop_transform,5,1,3
silvandeleemput_memcnn.memcnn.data,cifar,,tonumpy_fn,2,1,1
silvandeleemput_memcnn.memcnn.data,cifar,,random_lr_flip_fn,2,1,1
silvandeleemput_memcnn.memcnn.data,cifar,,mean_subtract_fn,2,1,2
silvandeleemput_memcnn.memcnn.data,cifar,,reformat_fn,2,1,1
silvandeleemput_memcnn.memcnn.data,cifar,,get_cifar_data_loaders,32,1,5
silvandeleemput_memcnn.memcnn.data,sampling,NSamplesRandomSampler,nsamples,2,1,0
silvandeleemput_memcnn.memcnn.data,sampling,NSamplesRandomSampler,nsamples,2,1,1
silvandeleemput_memcnn.memcnn.data,sampling,NSamplesRandomSampler,__init__,3,1,2
silvandeleemput_memcnn.memcnn.data,sampling,NSamplesRandomSampler,__iter__,8,3,0
silvandeleemput_memcnn.memcnn.data,sampling,NSamplesRandomSampler,__len__,2,1,0
silvandeleemput_memcnn.memcnn.data.tests,test_cifar,,test_random_crop_transform,8,2,2
silvandeleemput_memcnn.memcnn.data.tests,test_cifar,,test_cifar_data_loaders,41,3,2
silvandeleemput_memcnn.memcnn.data.tests,test_sampling,,test_random_sampler,25,3,3
silvandeleemput_memcnn.memcnn.examples,minimal,ExampleOperation,__init__,8,1,1
silvandeleemput_memcnn.memcnn.examples,minimal,ExampleOperation,forward,2,1,1
silvandeleemput_memcnn.memcnn.examples,test_examples,,test_minimal,10,1,0
silvandeleemput_memcnn.memcnn.experiment,factory,,get_attr_from_module,4,1,1
silvandeleemput_memcnn.memcnn.experiment,factory,,load_experiment_config,7,2,2
silvandeleemput_memcnn.memcnn.experiment,factory,,_inject_items,9,4,2
silvandeleemput_memcnn.memcnn.experiment,factory,,build_dict,12,4,3
silvandeleemput_memcnn.memcnn.experiment,factory,,experiment_config_parser,25,4,3
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,__init__,9,1,3
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,make_dirs,5,3,0
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,delete_dirs,5,3,0
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,any_dir_exists,2,1,0
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,all_dirs_exists,2,1,0
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,save_model_state,4,1,1
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,load_model_state,4,1,1
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,save_optimizer_state,4,1,1
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,load_optimizer_state,4,1,1
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,save_train_state,3,1,1
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,load_train_state,3,1,1
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,get_last_model_iteration,3,1,0
silvandeleemput_memcnn.memcnn.experiment,manager,ExperimentManager,load_last_train_state,2,1,0
silvandeleemput_memcnn.memcnn.experiment.tests,test_factory,,test_get_attr_from_module,3,1,0
silvandeleemput_memcnn.memcnn.experiment.tests,test_factory,,test_load_experiment_config,3,1,0
silvandeleemput_memcnn.memcnn.experiment.tests,test_factory,,test_experiment_config_parser,5,1,1
silvandeleemput_memcnn.memcnn.experiment.tests,test_factory,,test_circular_dependency,9,1,1
silvandeleemput_memcnn.memcnn.experiment.tests,test_manager,,test_experiment_manager,64,1,1
silvandeleemput_memcnn.memcnn.models,additive,AdditiveCoupling,__init__,15,4,5
silvandeleemput_memcnn.memcnn.models,additive,AdditiveCoupling,forward,18,4,1
silvandeleemput_memcnn.memcnn.models,additive,AdditiveCoupling,inverse,18,4,1
silvandeleemput_memcnn.memcnn.models,additive,AdditiveBlock,__init__,6,1,4
silvandeleemput_memcnn.memcnn.models,additive,AdditiveBlockFunction,forward,25,1,4
silvandeleemput_memcnn.memcnn.models,additive,AdditiveBlockFunction,backward,23,1,2
silvandeleemput_memcnn.memcnn.models,additive,AdditiveBlockInverseFunction,forward,27,1,4
silvandeleemput_memcnn.memcnn.models,additive,AdditiveBlockInverseFunction,backward,23,1,2
silvandeleemput_memcnn.memcnn.models,additive,AdditiveBlockFunction2,forward,25,1,4
