Package,Module,Class,Smell,Function/Method,Line no,File,Details
snipsco_tract.api.py,setup,,Long statement,,9,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/setup.py,A line with 151 chars in setup exceeds the maximum length of 120 characters.
snipsco_tract.api.py,setup,,Long statement,,24,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/setup.py,A line with 1280 chars in setup exceeds the maximum length of 120 characters.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Long identifier,test_set_output_names_on_inference_model,77,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,Identifier'test_set_output_names_on_inference_model' exceeds the maximum length of 30 characters.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Long identifier,test_typed_model_to_nnef_and_back,150,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,Identifier'test_typed_model_to_nnef_and_back' exceeds the maximum length of 30 characters.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Long statement,setup_module,15,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,A line with 141 chars in setup_module exceeds the maximum length of 120 characters.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Long statement,test_cost,188,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,A line with 121 chars in test_cost exceeds the maximum length of 120 characters.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Long statement,test_profile,205,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,A line with 121 chars in test_profile exceeds the maximum length of 120 characters.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Magic number,test_onnx,36,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,Magic number 652 used in test_onnx.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Magic number,test_state,48,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,Magic number 652 used in test_state.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Magic number,test_nnef,62,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,Magic number 652 used in test_nnef.
snipsco_tract.api.py.tests,mobilenet_onnx_test,,Magic number,test_cost,185,/Volumes/BrokeExt/NICHE/snipsco_tract/api/py/tests/mobilenet_onnx_test.py,Magic number 10 used in test_cost.
