Package,Module,Class,Function,LOC,CC,PC
snorkel-team_snorkel.docs,conf,,linkcode_resolve,11,1,2
snorkel-team_snorkel.docs,conf,,skip_torch_module_member,5,4,6
snorkel-team_snorkel.docs,conf,,setup,2,1,1
snorkel-team_snorkel.scripts,check_requirements,,parse_section_name,2,1,1
snorkel-team_snorkel.scripts,check_requirements,,parse_package,5,1,1
snorkel-team_snorkel.scripts,check_requirements,,parse_requirements,27,8,0
snorkel-team_snorkel.scripts,check_requirements,,parse_setup,30,7,0
snorkel-team_snorkel.scripts,check_requirements,,main,64,16,0
snorkel-team_snorkel.scripts,sync_api_docs,,get_title_and_underscore,4,1,1
snorkel-team_snorkel.scripts,sync_api_docs,,get_package_members,9,5,1
snorkel-team_snorkel.scripts,sync_api_docs,,main,42,6,1
snorkel-team_snorkel.snorkel.analysis,error_analysis,,get_label_buckets,9,3,0
snorkel-team_snorkel.snorkel.analysis,error_analysis,,get_label_instances,17,3,2
snorkel-team_snorkel.snorkel.analysis,metrics,,metric_score,26,6,5
snorkel-team_snorkel.snorkel.analysis,metrics,,_coverage_score,2,1,1
snorkel-team_snorkel.snorkel.analysis,metrics,,_roc_auc_score,6,2,2
snorkel-team_snorkel.snorkel.analysis,metrics,,_f1_score,7,2,2
snorkel-team_snorkel.snorkel.analysis,metrics,,_f1_micro_score,2,1,2
snorkel-team_snorkel.snorkel.analysis,metrics,,_f1_macro_score,2,1,2
snorkel-team_snorkel.snorkel.analysis,scorer,Scorer,__init__,23,6,3
snorkel-team_snorkel.snorkel.analysis,scorer,Scorer,score,12,4,3
snorkel-team_snorkel.snorkel.analysis,scorer,Scorer,score_slices,15,3,5
snorkel-team_snorkel.snorkel.augmentation.apply,core,BaseTFApplier,__init__,5,1,2
snorkel-team_snorkel.snorkel.augmentation.apply,core,BaseTFApplier,_apply_policy_to_data_point,18,5,1
snorkel-team_snorkel.snorkel.augmentation.apply,core,BaseTFApplier,__repr__,3,1,0
snorkel-team_snorkel.snorkel.augmentation.apply,core,TFApplier,apply_generator,7,3,2
snorkel-team_snorkel.snorkel.augmentation.apply,core,TFApplier,apply,6,2,2
snorkel-team_snorkel.snorkel.augmentation.apply,pandas,PandasTFApplier,apply_generator,9,3,2
snorkel-team_snorkel.snorkel.augmentation.apply,pandas,PandasTFApplier,apply,6,2,2
snorkel-team_snorkel.snorkel.augmentation.policy,core,Policy,__init__,4,1,3
snorkel-team_snorkel.snorkel.augmentation.policy,core,Policy,generate_for_example,9,3,0
snorkel-team_snorkel.snorkel.augmentation.policy,core,Policy,generate,3,1,0
snorkel-team_snorkel.snorkel.augmentation.policy,core,ApplyAllPolicy,generate,3,1,0
snorkel-team_snorkel.snorkel.augmentation.policy,core,ApplyOnePolicy,__init__,4,1,2
snorkel-team_snorkel.snorkel.augmentation.policy,core,ApplyEachPolicy,__init__,2,1,2
snorkel-team_snorkel.snorkel.augmentation.policy,core,ApplyEachPolicy,generate_for_example,7,2,0
snorkel-team_snorkel.snorkel.augmentation.policy,sampling,MeanFieldPolicy,__init__,6,1,5
snorkel-team_snorkel.snorkel.augmentation.policy,sampling,MeanFieldPolicy,generate,3,1,0
snorkel-team_snorkel.snorkel.augmentation.policy,sampling,RandomPolicy,__init__,8,1,4
snorkel-team_snorkel.snorkel.classification,data,DictDataset,__init__,10,3,4
snorkel-team_snorkel.snorkel.classification,data,DictDataset,__getitem__,4,1,1
snorkel-team_snorkel.snorkel.classification,data,DictDataset,__len__,5,1,0
snorkel-team_snorkel.snorkel.classification,data,DictDataset,__repr__,7,1,0
snorkel-team_snorkel.snorkel.classification,data,DictDataset,from_tensors,8,1,7
snorkel-team_snorkel.snorkel.classification,data,DictDataLoader,__init__,3,1,2
snorkel-team_snorkel.snorkel.classification,data,,collate_dicts,16,7,1
snorkel-team_snorkel.snorkel.classification,loss,,cross_entropy_with_probs,18,4,4
snorkel-team_snorkel.snorkel.classification,multitask_classifier,MultitaskClassifier,__init__,22,2,2
snorkel-team_snorkel.snorkel.classification,multitask_classifier,MultitaskClassifier,__repr__,3,1,0
snorkel-team_snorkel.snorkel.classification,multitask_classifier,MultitaskClassifier,_build_network,11,4,1
snorkel-team_snorkel.snorkel.classification,multitask_classifier,MultitaskClassifier,add_task,19,5,1
snorkel-team_snorkel.snorkel.classification,multitask_classifier,MultitaskClassifier,forward,39,8,2
snorkel-team_snorkel.snorkel.classification,multitask_classifier,MultitaskClassifier,calculate_loss,32,6,2
snorkel-team_snorkel.snorkel.classification,multitask_classifier,MultitaskClassifier,_calculate_probs,10,2,2
