Package,Module,Class,Function,LOC,CC,PC
sshuair_torchsat.scripts,train_cd,,train_one_epoch,14,2,7
sshuair_torchsat.scripts,train_cd,,evalidation,36,3,7
sshuair_torchsat.scripts,train_cd,,load_data,16,1,2
sshuair_torchsat.scripts,train_cd,,main,22,4,1
sshuair_torchsat.scripts,train_cd,,parse_args,20,1,0
sshuair_torchsat.scripts,train_cls,,train_one_epoch,14,3,8
sshuair_torchsat.scripts,train_cls,,evaluate,21,2,6
sshuair_torchsat.scripts,train_cls,,load_data,14,1,2
sshuair_torchsat.scripts,train_cls,,main,20,3,1
sshuair_torchsat.scripts,train_cls,,parse_args,18,1,0
sshuair_torchsat.scripts,train_seg,,train_one_epoch,14,2,7
sshuair_torchsat.scripts,train_seg,,evalidation,31,2,6
sshuair_torchsat.scripts,train_seg,,load_data,16,1,2
sshuair_torchsat.scripts,train_seg,,main,20,3,1
sshuair_torchsat.scripts,train_seg,,parse_args,19,1,0
sshuair_torchsat.tests,test_models,,test_classification_models,19,2,1
sshuair_torchsat.tests,test_models,,test_segmentation_models,17,1,1
sshuair_torchsat.tests,test_models,,test_temp,2,1,0
sshuair_torchsat.tests,test_transform_cls,,read_img,6,2,1
sshuair_torchsat.tests,test_transform_cls,,test_ToTensor,8,1,1
sshuair_torchsat.tests,test_transform_cls,,test_Normalize,12,1,1
sshuair_torchsat.tests,test_transform_cls,,test_ToGray,12,1,1
sshuair_torchsat.tests,test_transform_cls,,test_GaussianBlur,7,1,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomNoise,8,2,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomBrightness,16,2,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomContrast,16,2,1
sshuair_torchsat.tests,test_transform_cls,,test_Resize,18,1,1
sshuair_torchsat.tests,test_transform_cls,,test_CenterCrop,15,1,1
sshuair_torchsat.tests,test_transform_cls,,test_Pad,32,4,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomCrop,8,1,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomHorizontalFlip,17,2,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomVerticalFlip,17,2,1
sshuair_torchsat.tests,test_transform_cls,,test_Flip,17,2,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomResizedCrop,7,1,1
sshuair_torchsat.tests,test_transform_cls,,test_ElasticTransform,5,1,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomRotation,11,1,1
sshuair_torchsat.tests,test_transform_cls,,test_RandomShift,5,1,1
sshuair_torchsat.tests,test_transform_det,,read_img,6,2,1
sshuair_torchsat.tests,test_transform_det,,test_ToTensor,9,1,1
sshuair_torchsat.tests,test_transform_det,,test_Normalize,13,1,1
sshuair_torchsat.tests,test_transform_det,,test_ToGray,16,1,1
sshuair_torchsat.tests,test_transform_seg,,read_img,6,2,1
sshuair_torchsat.tests,test_transform_seg,,test_ToTensor,11,1,1
sshuair_torchsat.tests,test_transform_seg,,test_Normalize,15,1,1
sshuair_torchsat.tests,test_transform_seg,,test_ToGray,15,1,1
sshuair_torchsat.tests,test_transform_seg,,test_GaussianBlur,10,1,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomNoise,12,2,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomBrightness,21,2,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomContrast,21,2,1
sshuair_torchsat.tests,test_transform_seg,,test_Resize,21,1,1
sshuair_torchsat.tests,test_transform_seg,,test_CenterCrop,16,1,1
sshuair_torchsat.tests,test_transform_seg,,test_Pad,30,3,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomCrop,9,1,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomHorizontalFlip,18,2,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomVerticalFlip,18,2,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomFlip,18,2,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomResizedCrop,8,1,1
sshuair_torchsat.tests,test_transform_seg,,test_ElasticTransform,7,1,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomRotation,13,1,1
sshuair_torchsat.tests,test_transform_seg,,test_RandomShift,6,1,1
sshuair_torchsat.torchsat.cli,calcuate_mean_std,,img_loader,6,2,1
sshuair_torchsat.torchsat.cli,calcuate_mean_std,,calcuate_mean_std,20,4,5
sshuair_torchsat.torchsat.cli,cli,,entry_point,2,1,0
sshuair_torchsat.torchsat.cli,make_mask_cls,,patch_image,18,4,6
sshuair_torchsat.torchsat.cli,make_mask_cls,,make_mask_cls,9,4,7
sshuair_torchsat.torchsat.cli,make_mask_seg,,make_mask_seg,50,6,7
