Package,Module,Class,Smell,Function/Method,Line no,File,Details
sshuair_torchsat,setup,,Long statement,,12,/Volumes/BrokeExt/NICHE/sshuair_torchsat/setup.py,A line with 520 chars in setup exceeds the maximum length of 120 characters.
sshuair_torchsat.docs.source,conf,,Long statement,,30,/Volumes/BrokeExt/NICHE/sshuair_torchsat/docs/source/conf.py,A line with 163 chars in conf exceeds the maximum length of 120 characters.
sshuair_torchsat.scripts,train_cd,,Long parameter list,train_one_epoch,16 - 29,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cd.py,"train_one_epoch has 7 parameters, exceeding the max of 5."
sshuair_torchsat.scripts,train_cd,,Long parameter list,evalidation,32 - 69,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cd.py,"evalidation has 7 parameters, exceeding the max of 5."
sshuair_torchsat.scripts,train_cd,,Long statement,load_data,73,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cd.py,A line with 264 chars in load_data exceeds the maximum length of 120 characters.
sshuair_torchsat.scripts,train_cd,,Long statement,load_data,82,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cd.py,A line with 127 chars in load_data exceeds the maximum length of 120 characters.
sshuair_torchsat.scripts,train_cd,,Magic number,evalidation,63,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cd.py,Magic number 2 used in evalidation.
sshuair_torchsat.scripts,train_cd,,Magic number,evalidation,63,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cd.py,Magic number 1e-20 used in evalidation.
sshuair_torchsat.scripts,train_cd,,Magic number,main,132,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cd.py,Magic number 2 used in main.
sshuair_torchsat.scripts,train_cls,,Long parameter list,train_one_epoch,15 - 28,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cls.py,"train_one_epoch has 8 parameters, exceeding the max of 5."
sshuair_torchsat.scripts,train_cls,,Long parameter list,evaluate,31 - 51,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cls.py,"evaluate has 6 parameters, exceeding the max of 5."
sshuair_torchsat.scripts,train_cls,,Long statement,train_one_epoch,26,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cls.py,A line with 165 chars in train_one_epoch exceeds the maximum length of 120 characters.
sshuair_torchsat.scripts,train_cls,,Long statement,evaluate,47,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cls.py,A line with 166 chars in evaluate exceeds the maximum length of 120 characters.
sshuair_torchsat.scripts,train_cls,,Long statement,load_data,55,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_cls.py,A line with 128 chars in load_data exceeds the maximum length of 120 characters.
sshuair_torchsat.scripts,train_seg,,Long parameter list,train_one_epoch,18 - 31,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_seg.py,"train_one_epoch has 7 parameters, exceeding the max of 5."
sshuair_torchsat.scripts,train_seg,,Long parameter list,evalidation,34 - 66,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_seg.py,"evalidation has 6 parameters, exceeding the max of 5."
sshuair_torchsat.scripts,train_seg,,Long statement,load_data,70,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_seg.py,A line with 264 chars in load_data exceeds the maximum length of 120 characters.
sshuair_torchsat.scripts,train_seg,,Long statement,load_data,79,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_seg.py,A line with 151 chars in load_data exceeds the maximum length of 120 characters.
sshuair_torchsat.scripts,train_seg,,Magic number,evalidation,60,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_seg.py,Magic number 2 used in evalidation.
sshuair_torchsat.scripts,train_seg,,Magic number,evalidation,60,/Volumes/BrokeExt/NICHE/sshuair_torchsat/scripts/train_seg.py,Magic number 1e-20 used in evalidation.
sshuair_torchsat.tests,test_models,,Magic number,test_classification_models,20,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 10 used in test_classification_models.
sshuair_torchsat.tests,test_models,,Magic number,test_classification_models,21,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 5 used in test_classification_models.
sshuair_torchsat.tests,test_models,,Magic number,test_classification_models,22,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 2 used in test_classification_models.
sshuair_torchsat.tests,test_models,,Magic number,test_classification_models,26,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 299 used in test_classification_models.
sshuair_torchsat.tests,test_models,,Magic number,test_classification_models,26,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 299 used in test_classification_models.
sshuair_torchsat.tests,test_models,,Magic number,test_classification_models,28,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 256 used in test_classification_models.
sshuair_torchsat.tests,test_models,,Magic number,test_classification_models,28,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 256 used in test_classification_models.
sshuair_torchsat.tests,test_models,,Magic number,test_segmentation_models,44,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 10 used in test_segmentation_models.
sshuair_torchsat.tests,test_models,,Magic number,test_segmentation_models,45,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 5 used in test_segmentation_models.
sshuair_torchsat.tests,test_models,,Magic number,test_segmentation_models,46,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 2 used in test_segmentation_models.
sshuair_torchsat.tests,test_models,,Magic number,test_segmentation_models,49,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 256 used in test_segmentation_models.
sshuair_torchsat.tests,test_models,,Magic number,test_segmentation_models,49,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 256 used in test_segmentation_models.
sshuair_torchsat.tests,test_models,,Magic number,test_segmentation_models,53,/Volumes/BrokeExt/NICHE/sshuair_torchsat/tests/test_models.py,Magic number 2 used in test_segmentation_models.
