Package,Module,Class,Function,LOC,CC,PC
stephenhky_PyShortTextCategorization.shorttext,smartload,,smartload_compact_model,31,3,4
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,MaxEntClassifier,__init__,8,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,MaxEntClassifier,shorttext_to_vec,8,3,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,MaxEntClassifier,index_classlabels,4,1,0
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,MaxEntClassifier,convert_classdict_to_XY,15,5,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,MaxEntClassifier,train,14,1,5
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,MaxEntClassifier,savemodel,10,2,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,MaxEntClassifier,loadmodel,9,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,MaxEntClassifier,score,8,2,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,,logistic_framework,11,1,5
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.maxent,MaxEntClassification,,load_maxent_classifier,8,2,2
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,__init__,5,1,2
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,train,11,2,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,getvector,5,2,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,classify,6,2,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,score,8,2,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,savemodel,9,2,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,loadmodel,10,2,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,save_compact_model,6,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,TopicVectorSkLearnClassifier,load_compact_model,5,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,,train_gensim_topicvec_sklearnclassifier,10,1,9
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,,load_gensim_topicvec_sklearnclassifier,25,1,3
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,,train_autoencoder_topic_sklearnclassifier,7,1,7
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,SkLearnClassification,,load_autoencoder_topic_sklearnclassifier,23,1,3
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,TopicVecCosineDistanceClassifier,__init__,3,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,TopicVecCosineDistanceClassifier,score,3,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,TopicVecCosineDistanceClassifier,loadmodel,3,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,TopicVecCosineDistanceClassifier,savemodel,3,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,TopicVecCosineDistanceClassifier,load_compact_model,2,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,TopicVecCosineDistanceClassifier,save_compact_model,2,1,1
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,,train_gensimtopicvec_cosineClassifier,8,1,6
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,,load_gensimtopicvec_cosineClassifier,4,1,3
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,,train_autoencoder_cosineClassifier,5,1,4
stephenhky_PyShortTextCategorization.shorttext.classifiers.bow.topic,TopicVectorDistanceClassification,,load_autoencoder_cosineClassifier,4,1,3
stephenhky_PyShortTextCategorization.shorttext.classifiers.embed.nnlib,VarNNEmbedVecClassification,VarNNEmbeddedVecClassifier,__init__,8,1,4
