Package,Module,Class,Smell,Function/Method,Line no,File,Details
tensorflow_fairness-indicators,setup,,Long statement,,38,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/setup.py,A line with 215 chars in setup exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators,setup,,Long statement,,53,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/setup.py,A line with 1299 chars in setup exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,example_model,,Long statement,get_example_model,86,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/example_model.py,A line with 126 chars in get_example_model exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,example_model,,Long statement,get_example_model,93,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/example_model.py,A line with 126 chars in get_example_model exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,example_model,,Long statement,evaluate_model,117,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/example_model.py,A line with 308 chars in evaluate_model exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,example_model,,Long statement,evaluate_model,131,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/example_model.py,A line with 157 chars in evaluate_model exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,example_model,,Long statement,,15,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/example_model.py,A line with 239 chars in example_model exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,example_model_test,ExampleModelTest,Long method,test_example_model,86 - 164,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/example_model_test.py,Method 'test_example_model' is too long (74 lines).
tensorflow_fairness-indicators.fairness_indicators,example_model_test,ExampleModelTest,Long statement,test_example_model,90,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/example_model_test.py,A line with 170 chars in test_example_model exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,example_model_test,ExampleModelTest,Long statement,test_example_model,100,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/example_model_test.py,A line with 526 chars in test_example_model exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Complex method,_fairness_indicators_metrics_at_thresholds,100 - 205,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,"Method '_fairness_indicators_metrics_at_thresholds' has a cyclomatic complexity of 13, exceeding the max of 6."
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long identifier,_fairness_indicators_metrics_at_thresholds,100,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,Identifier'_fairness_indicators_metrics_at_thresholds' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long identifier,_fairness_indicators_metrics_at_thresholds,100,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,Identifier'metric_key_by_name_by_threshold' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long identifier,,24,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,Identifier'FAIRNESS_INDICATORS_METRICS_NAME' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long identifier,,25,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,Identifier'FAIRNESS_INDICATORS_SUB_METRICS' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long method,_fairness_indicators_metrics_at_thresholds,100 - 205,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,Method '_fairness_indicators_metrics_at_thresholds' is too long (90 lines).
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long parameter list,_fairness_indicators_metrics_at_thresholds,100 - 205,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,"_fairness_indicators_metrics_at_thresholds has 9 parameters, exceeding the max of 5."
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long statement,_fairness_indicators_metrics_at_thresholds,117,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,A line with 176 chars in _fairness_indicators_metrics_at_thresholds exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long statement,_fairness_indicators_metrics_at_thresholds,134,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,A line with 278 chars in _fairness_indicators_metrics_at_thresholds exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,FairnessIndicators,Long statement,computations_with_logging,64,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,A line with 152 chars in computations_with_logging exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,FairnessIndicators,Long statement,__init__,84,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,A line with 146 chars in __init__ exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Long statement,,25,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,A line with 228 chars in fairness_indicators_metrics exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators,fairness_indicators_metrics,,Magic number,calculate_digits,96,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/fairness_indicators_metrics.py,Magic number 2 used in calculate_digits.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils,,Long identifier,create_percentage_difference_dictionary,12,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils.py,Identifier'create_percentage_difference_dictionary' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils,,Long statement,create_percentage_difference_dictionary,15,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils.py,A line with 412 chars in create_percentage_difference_dictionary exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils,,Long statement,_get_metric_value,42,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils.py,A line with 492 chars in _get_metric_value exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils,,Long statement,get_baseline_value,75,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils.py,A line with 472 chars in get_baseline_value exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long identifier,test_get_metric_value_raise_key_error,164,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,Identifier'test_get_metric_value_raise_key_error' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long identifier,test_get_metric_value_raise_unsupported_value,170,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,Identifier'test_get_metric_value_raise_unsupported_value' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long identifier,test_get_metric_value_raise_empty_dict,184,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,Identifier'test_get_metric_value_raise_empty_dict' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long identifier,test_create_difference_dictionary,188,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,Identifier'test_create_difference_dictionary' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long identifier,test_create_difference_dictionary_baseline,198,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,Identifier'test_create_difference_dictionary_baseline' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long identifier,test_create_difference_dictionary_bounded_metrics,209,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,Identifier'test_create_difference_dictionary_bounded_metrics' exceeds the maximum length of 30 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long method,create_bounded_result,59 - 122,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,Method 'create_bounded_result' is too long (70 lines).
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long statement,create_eval_result,19,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,A line with 495 chars in create_eval_result exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long statement,create_bounded_result,60,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,A line with 1023 chars in create_bounded_result exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long statement,test_baseline,132,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,A line with 126 chars in test_baseline exceeds the maximum length of 120 characters.
tensorflow_fairness-indicators.fairness_indicators.remediation,weight_utils_test,WeightUtilsTest,Long statement,test_baseline,137,/Volumes/BrokeExt/NICHE/tensorflow_fairness-indicators/fairness_indicators/remediation/weight_utils_test.py,A line with 140 chars in test_baseline exceeds the maximum length of 120 characters.
