Package,Module,Class,Smell,Function/Method,Line no,File,Details
tlatkowski_multihead-siamese-nets,gui_demo,MultiheadSiameseNetGuiDemo,Long method,__init__,21 - 77,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/gui_demo.py,Method '__init__' is too long (48 lines).
tlatkowski_multihead-siamese-nets,gui_demo,MultiheadSiameseNetGuiDemo,Long statement,__init__,30,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/gui_demo.py,A line with 121 chars in __init__ exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets,gui_demo,MultiheadSiameseNetGuiDemo,Long statement,__init__,51,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/gui_demo.py,A line with 205 chars in __init__ exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets,gui_demo,MultiheadSiameseNetGuiDemo,Long statement,predict,89,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/gui_demo.py,A line with 180 chars in predict exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets,gui_demo,MultiheadSiameseNetGuiDemo,Magic number,predict,101,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/gui_demo.py,Magic number 0.5 used in predict.
tlatkowski_multihead-siamese-nets,run,,Long method,train,32 - 179,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/run.py,Method 'train' is too long (137 lines).
tlatkowski_multihead-siamese-nets,run,,Long method,main,224 - 276,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/run.py,Method 'main' is too long (43 lines).
tlatkowski_multihead-siamese-nets,run,,Long statement,train,44,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/run.py,A line with 133 chars in train exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets,run,,Long statement,train,68,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/run.py,A line with 132 chars in train exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets,run,,Long statement,train,150,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/run.py,A line with 165 chars in train exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets,run,,Long statement,train,173,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/run.py,A line with 146 chars in train exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets.data,dataset,Dataset,Long statement,__str__,88,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/data/dataset.py,A line with 205 chars in __str__ exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets.data,dataset,DatasetExperiment,Magic number,__init__,6,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/data/dataset.py,Magic number 0.01 used in __init__.
tlatkowski_multihead-siamese-nets.data,dataset,DatasetExperiment,Magic number,__init__,6,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/data/dataset.py,Magic number 0.1 used in __init__.
tlatkowski_multihead-siamese-nets.data,qqp,QQPDataset,Long statement,__init__,10,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/data/qqp.py,A line with 125 chars in __init__ exceeds the maximum length of 120 characters.
tlatkowski_multihead-siamese-nets.data,snli,SNLIDataset,Long statement,__init__,25,/Volumes/BrokeExt/NICHE/tlatkowski_multihead-siamese-nets/data/snli.py,A line with 127 chars in __init__ exceeds the maximum length of 120 characters.
