Package,Module,Class,Smell,Function/Method,Line no,File,Details
uber_causalml,setup,,Long statement,,6,/Volumes/BrokeExt/NICHE/uber_causalml/setup.py,A line with 164 chars in setup exceeds the maximum length of 120 characters.
uber_causalml,setup,,Long statement,,14,/Volumes/BrokeExt/NICHE/uber_causalml/setup.py,A line with 180 chars in setup exceeds the maximum length of 120 characters.
uber_causalml,setup,,Long statement,,21,/Volumes/BrokeExt/NICHE/uber_causalml/setup.py,A line with 635 chars in setup exceeds the maximum length of 120 characters.
uber_causalml,setup,,Long statement,,32,/Volumes/BrokeExt/NICHE/uber_causalml/setup.py,A line with 152 chars in setup exceeds the maximum length of 120 characters.
uber_causalml,setup,,Long statement,,51,/Volumes/BrokeExt/NICHE/uber_causalml/setup.py,A line with 126 chars in setup exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,,Long statement,load_data,233,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 355 chars in load_data exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,LabelEncoder,Long statement,__init__,26,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 147 chars in __init__ exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,LabelEncoder,Long statement,_get_label_encoder_and_max,38,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 311 chars in _get_label_encoder_and_max exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,LabelEncoder,Long statement,_transform_col,69,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 243 chars in _transform_col exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,LabelEncoder,Long statement,transform,93,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 224 chars in transform exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,LabelEncoder,Long statement,fit_transform,108,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 224 chars in fit_transform exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,OneHotEncoder,Long statement,__init__,143,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 156 chars in __init__ exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,OneHotEncoder,Long statement,_transform_col,156,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 369 chars in _transform_col exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,OneHotEncoder,Long statement,transform,189,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 340 chars in transform exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,OneHotEncoder,Long statement,fit_transform,218,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,A line with 261 chars in fit_transform exceeds the maximum length of 120 characters.
uber_causalml.causalml,features,LabelEncoder,Magic number,__init__,25,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,Magic number 10 used in __init__.
uber_causalml.causalml,features,OneHotEncoder,Magic number,__init__,142,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/features.py,Magic number 10 used in __init__.
uber_causalml.causalml,match,,Long Lambda Function,create_table_one,57,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A Lambda with 100 chars in create_table_one exceeds the maximum length of 80 characters.
uber_causalml.causalml,match,NearestNeighborMatch,Long Lambda Function,match_by_group,239,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A Lambda with 82 chars in match_by_group exceeds the maximum length of 80 characters.
uber_causalml.causalml,match,NearestNeighborMatch,Complex method,match,133 - 220,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,"Method 'match' has a cyclomatic complexity of 7, exceeding the max of 6."
uber_causalml.causalml,match,MatchOptimizer,Complex method,search_best_match,399 - 443,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,"Method 'search_best_match' has a cyclomatic complexity of 11, exceeding the max of 6."
uber_causalml.causalml,match,NearestNeighborMatch,Long method,match,133 - 220,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,Method 'match' is too long (73 lines).
uber_causalml.causalml,match,MatchOptimizer,Long method,check_table_one,329 - 381,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,Method 'check_table_one' is too long (48 lines).
uber_causalml.causalml,match,NearestNeighborMatch,Long parameter list,__init__,102 - 131,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,"__init__ has 7 parameters, exceeding the max of 5."
uber_causalml.causalml,match,MatchOptimizer,Long parameter list,__init__,247 - 318,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,"__init__ has 14 parameters, exceeding the max of 5."
uber_causalml.causalml,match,,Long statement,smd,15,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A line with 507 chars in smd exceeds the maximum length of 120 characters.
uber_causalml.causalml,match,,Long statement,create_table_one,35,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A line with 842 chars in create_table_one exceeds the maximum length of 120 characters.
uber_causalml.causalml,match,,Long statement,create_table_one,53,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A line with 190 chars in create_table_one exceeds the maximum length of 120 characters.
uber_causalml.causalml,match,NearestNeighborMatch,Long statement,__init__,112,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A line with 690 chars in __init__ exceeds the maximum length of 120 characters.
uber_causalml.causalml,match,NearestNeighborMatch,Long statement,match,134,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A line with 520 chars in match exceeds the maximum length of 120 characters.
uber_causalml.causalml,match,NearestNeighborMatch,Long statement,match,187,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A line with 161 chars in match exceeds the maximum length of 120 characters.
uber_causalml.causalml,match,NearestNeighborMatch,Long statement,match_by_group,224,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A line with 626 chars in match_by_group exceeds the maximum length of 120 characters.
uber_causalml.causalml,match,NearestNeighborMatch,Long statement,match_by_group,238,/Volumes/BrokeExt/NICHE/uber_causalml/causalml/match.py,A line with 125 chars in match_by_group exceeds the maximum length of 120 characters.
