Package,Module,Class,Smell,Function/Method,Line no,File,Details
ultralytics_yolov3,benchmarks,,Complex method,run,52 - 147,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,"Method 'run' has a cyclomatic complexity of 13, exceeding the max of 6."
ultralytics_yolov3,benchmarks,,Long method,run,52 - 147,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Method 'run' is too long (52 lines).
ultralytics_yolov3,benchmarks,,Long parameter list,run,52 - 147,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,"run has 9 parameters, exceeding the max of 5."
ultralytics_yolov3,benchmarks,,Long parameter list,test,150 - 221,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,"test has 9 parameters, exceeding the max of 5."
ultralytics_yolov3,benchmarks,,Long statement,run,63,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,A line with 1673 chars in run exceeds the maximum length of 120 characters.
ultralytics_yolov3,benchmarks,,Long statement,test,161,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,A line with 1574 chars in test exceeds the maximum length of 120 characters.
ultralytics_yolov3,benchmarks,,Long statement,test,204,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,A line with 121 chars in test exceeds the maximum length of 120 characters.
ultralytics_yolov3,benchmarks,,Long statement,parse_opt,225,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,A line with 1739 chars in parse_opt exceeds the maximum length of 120 characters.
ultralytics_yolov3,benchmarks,,Long statement,main,275,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,A line with 1290 chars in main exceeds the maximum length of 120 characters.
ultralytics_yolov3,benchmarks,,Long statement,,2,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,A line with 1493 chars in benchmarks exceeds the maximum length of 120 characters.
ultralytics_yolov3,benchmarks,,Magic number,run,54,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Magic number 640 used in run.
ultralytics_yolov3,benchmarks,,Magic number,run,102,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Magic number 9 used in run.
ultralytics_yolov3,benchmarks,,Magic number,run,102,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Magic number 10 used in run.
ultralytics_yolov3,benchmarks,,Magic number,run,103,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Magic number 5 used in run.
ultralytics_yolov3,benchmarks,,Magic number,run,121,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Magic number 7 used in run.
ultralytics_yolov3,benchmarks,,Magic number,run,124,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Magic number 3 used in run.
ultralytics_yolov3,benchmarks,,Magic number,run,125,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Magic number 2 used in run.
ultralytics_yolov3,benchmarks,,Magic number,test,152,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/benchmarks.py,Magic number 640 used in test.
ultralytics_yolov3,detect,,Complex method,run,69 - 285,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,"Method 'run' has a cyclomatic complexity of 31, exceeding the max of 6."
ultralytics_yolov3,detect,,Long method,run,69 - 285,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Method 'run' is too long (127 lines).
ultralytics_yolov3,detect,,Long parameter list,run,69 - 285,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,"run has 27 parameters, exceeding the max of 5."
ultralytics_yolov3,detect,,Long statement,run,98,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,A line with 3570 chars in run exceeds the maximum length of 120 characters.
ultralytics_yolov3,detect,,Long statement,parse_opt,289,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,A line with 2628 chars in parse_opt exceeds the maximum length of 120 characters.
ultralytics_yolov3,detect,,Long statement,parse_opt,331,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,A line with 121 chars in parse_opt exceeds the maximum length of 120 characters.
ultralytics_yolov3,detect,,Long statement,main,367,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,A line with 2731 chars in main exceeds the maximum length of 120 characters.
ultralytics_yolov3,detect,,Long statement,,2,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,A line with 2014 chars in detect exceeds the maximum length of 120 characters.
ultralytics_yolov3,detect,,Magic number,run,74,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 0.25 used in run.
ultralytics_yolov3,detect,,Magic number,run,75,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 0.45 used in run.
ultralytics_yolov3,detect,,Magic number,run,76,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 1000 used in run.
ultralytics_yolov3,detect,,Magic number,run,91,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 3 used in run.
ultralytics_yolov3,detect,,Magic number,run,73,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 640 used in run.
ultralytics_yolov3,detect,,Magic number,run,73,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 640 used in run.
ultralytics_yolov3,detect,,Magic number,run,190,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 255 used in run.
ultralytics_yolov3,detect,,Magic number,run,191,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 3 used in run.
ultralytics_yolov3,detect,,Magic number,run,200,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 2 used in run.
ultralytics_yolov3,detect,,Magic number,run,224,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 4 used in run.
ultralytics_yolov3,detect,,Magic number,run,270,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 30 used in run.
ultralytics_yolov3,detect,,Magic number,parse_opt,361,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/detect.py,Magic number 2 used in parse_opt.
ultralytics_yolov3,export,,Complex method,export_onnx,295 - 387,/Volumes/BrokeExt/NICHE/ultralytics_yolov3/export.py,"Method 'export_onnx' has a cyclomatic complexity of 8, exceeding the max of 6."
