Package,Module,Class,Function,LOC,CC,PC
yahoo_TensorFlowOnSpark,setup,,setuptools_version_supported,5,1,0
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_inference,,inference,30,4,3
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,main_fun,93,1,2
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_spark,,main_fun,95,1,2
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_spark_streaming,,main_fun,83,1,2
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_tf,,main_fun,66,0,2
yahoo_TensorFlowOnSpark.examples.mnist.keras,mnist_inference,,inference,25,3,2
yahoo_TensorFlowOnSpark.examples.mnist.keras,mnist_pipeline,,main_fun,44,2,2
yahoo_TensorFlowOnSpark.examples.mnist.keras,mnist_spark,,main_fun,44,2,2
yahoo_TensorFlowOnSpark.examples.mnist.keras,mnist_tf,,main_fun,40,0,2
yahoo_TensorFlowOnSpark.examples.mnist.keras,mnist_tf_ds,,main_fun,53,0,2
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_dist,LearningRateBatchScheduler,__init__,7,1,3
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_dist,LearningRateBatchScheduler,on_epoch_begin,4,2,2
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_dist,LearningRateBatchScheduler,on_batch_begin,13,3,2
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_dist,,learning_rate_schedule,11,3,4
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_dist,,run,127,18,1
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_dist,,define_cifar_flags,6,1,0
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_dist,,main_fun,6,1,2
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_main,LearningRateBatchScheduler,__init__,7,1,3
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_main,LearningRateBatchScheduler,on_epoch_begin,4,2,2
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_main,LearningRateBatchScheduler,on_batch_begin,13,3,2
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_main,,learning_rate_schedule,11,3,4
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_main,,run,127,18,1
yahoo_TensorFlowOnSpark.examples.resnet,resnet_cifar_main,,define_cifar_flags,6,1,0
