Package,Module,Class,Smell,Function/Method,Line no,File,Details
yahoo_TensorFlowOnSpark,setup,,Magic number,setuptools_version_supported,13,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/setup.py,Magic number 38 used in setuptools_version_supported.
yahoo_TensorFlowOnSpark.doc.source,conf,,Long statement,,163,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/doc/source/conf.py,A line with 172 chars in conf exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist,mnist_data_setup,,Long statement,,58,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/mnist_data_setup.py,A line with 222 chars in mnist_data_setup exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist,mnist_data_setup,,Long statement,,62,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/mnist_data_setup.py,A line with 220 chars in mnist_data_setup exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_inference,,Long statement,,79,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_inference.py,A line with 144 chars in mnist_inference exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_inference,,Magic number,inference,44,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_inference.py,Magic number 255.0 used in inference.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Long method,main_fun,6 - 117,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,Method 'main_fun' is too long (93 lines).
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Long statement,main_fun,45,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,A line with 128 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Long statement,main_fun,65,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,A line with 258 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Long statement,main_fun,80,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,A line with 128 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Long statement,main_fun,86,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,A line with 138 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Long statement,main_fun,108,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,A line with 212 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Long statement,,169,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,A line with 288 chars in mnist_pipeline exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Long statement,,181,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,A line with 205 chars in mnist_pipeline exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Magic number,main_fun,106,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,Magic number 0.9 used in main_fun.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Magic number,main_fun,104,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,Magic number 60000 used in main_fun.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Magic number,main_fun,34,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,Magic number 255.0 used in main_fun.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_pipeline,,Magic number,main_fun,50,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_pipeline.py,Magic number 255.0 used in main_fun.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_spark,,Long method,main_fun,4 - 118,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_spark.py,Method 'main_fun' is too long (95 lines).
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_spark,,Long statement,main_fun,46,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_spark.py,A line with 128 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_spark,,Long statement,main_fun,67,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_spark.py,A line with 258 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_spark,,Long statement,main_fun,82,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_spark.py,A line with 128 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_spark,,Long statement,main_fun,88,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_spark.py,A line with 138 chars in main_fun exceeds the maximum length of 120 characters.
yahoo_TensorFlowOnSpark.examples.mnist.estimator,mnist_spark,,Long statement,main_fun,109,/Volumes/BrokeExt/NICHE/yahoo_TensorFlowOnSpark/examples/mnist/estimator/mnist_spark.py,A line with 212 chars in main_fun exceeds the maximum length of 120 characters.
